Term,Variable,Description,Category1|Category2|...
"OpenCL","OpenCL","An open standard for parallel programming of heterogeneous systems","software|method"
"SYCL","SYCL","A higher-level programming model for heterogeneous computing","software|method"
"HIP","HIP","AMD's C++ Runtime API and Kernel Language for heterogeneous computing","software|method"
"MPI (Message Passing Interface)","MPI support","A standardized means of exchanging messages between multiple computers","software|method"
"FFT (Fast Fourier Transform)","Fast Fourier Transform library","An algorithm to compute the discrete Fourier transform efficiently","algorithm|software"
"FFTW","fftw3","A widely used C subroutine library for computing FFTs","software"
"Intel MKL","mkl","Intel's Math Kernel Library with optimized math routines","software"
"cuFFT","cuFFT","The CUDA FFT library for GPU-accelerated FFTs","software"
"QM/MM (Quantum Mechanics/Molecular Mechanics)","QM/MM support","A hybrid method combining quantum and classical mechanics","method|model"
"CP2K","CP2K","A quantum chemistry and solid state physics software package","software"
"PLUMED","PLUMED","A plugin for free energy calculations in molecular systems","software"
"Colvars","Colvars","A software module for collective variable-based calculations","software"
"Non-bonded interactions","Non-bonded interactions","Interactions between atoms not linked by covalent bonds","model"
"Bonded interactions","Bonded interactions","Interactions between atoms connected by covalent bonds","model"
"Position Restraints","position_restraints","Forces applied to keep atoms near specified reference positions","model"
"NVT Ensemble","NVT","A statistical ensemble with constant number, volume, and temperature","model|state"
"NPT Ensemble","NPT","A statistical ensemble with constant number, pressure, and temperature","model|state"
"Reproducibility","Reproducibility","The ability to obtain bit-identical results from a simulation","state|measure"
"Parameterization","Parameterization","The process of developing force field parameters for a molecule","process|method"
"AMBER","AMBER","A widely used family of molecular dynamics force fields","model"
"CHARMM","CHARMM","A widely used family of molecular dynamics force fields","model"
"GROMOS","GROMOS","A widely used family of molecular dynamics force fields","model"
"OPLS","OPLS","A widely used family of molecular dynamics force fields","model"
"Expanded Ensemble","Expanded ensemble","A simulation method for enhanced sampling of conformational space","method|algorithm"
"Replica Exchange","Replica exchange","A simulation method that exchanges temperatures between replicas","method|algorithm"
"Potential of Mean Force","Potential of Mean Force","The potential energy as a function of a reaction coordinate","measure|model"
"gmxapi","gmxapi","A Python and C++ API for interfacing with GROMACS","software"
"Double Precision","Double precision","A floating-point number format occupying 8 bytes in memory","state|method"
"Mixed Precision","Mixed precision","Using both single and double precision in a calculation","state|method"
"Static Linking","Static linking","The process of copying all library modules into the executable","process|method"
"Domain Decomposition","Domain decomposition","A parallelization strategy that divides the simulation box among processors","algorithm|method"
"PME (Particle Mesh Ewald)","tune_pme","An efficient method for calculating long-range electrostatic interactions","algorithm|method"
"Neural Network Potential","Neural Network potential","A machine learning-based potential for interatomic interactions","model"
"Libtorch","Libtorch","The C++ distribution of the PyTorch machine learning framework","software"
"MiMiC","MiMiC","A multiscale modeling environment for QM/MM simulations","software"
"oneAPI","oneAPI","An open, standards-based, unified programming model from Intel","software"
"AdaptiveCpp","AdaptiveCpp","An open-source SYCL implementation for various hardware platforms","software"
"ROCm","ROCm","AMD's open-source software platform for GPU computing","software"
"heFFTe","heFFTe","A library for fast Fourier transforms on large-scale systems","software"
"VkFFT","VkFFT","A multi-backend GPU-accelerated multidimensional Fast Fourier Transform library","software"
"BLAS","BLAS","A specification for a set of low-level linear algebra operations","software|algorithm"
"LAPACK","LAPACK","A standard software library for numerical linear algebra","software|algorithm"
"AMBER","AMBER","A set of force fields and a molecular simulation program package","model|software"
"AMBER94","AMBER94","A specific version of the AMBER force field","model"
"AMBER96","AMBER96","A specific version of the AMBER force field","model"
"AMBER99","AMBER99","A specific version of the AMBER force field","model"
"AMBER99SB","AMBER99SB","A specific version of the AMBER force field with improved backbone parameters","model"
"AMBER99SB-ILDN","AMBER99SB-ILDN","An AMBER force field with improved side-chain torsion parameters","model"
"AMBER03","AMBER03","A specific version of the AMBER force field","model"
"AMBERGS","AMBERGS","A specific version of the AMBER force field","model"
"ANTECHAMBER","ANTECHAMBER","A set of tools for generating parameters for organic molecules","software"
"GAFF","GAFF","Generalized Amber Force Field for small organic molecules","model"
"CHARMM","CHARMM","A set of force fields and a molecular simulation program package","model|software"
"CHARMM19","CHARMM19","A united-atom version of the CHARMM force field","model"
"CHARMM22","CHARMM22","An all-atom version of the CHARMM force field","model"
"CHARMM27","CHARMM27","An all-atom version of the CHARMM force field, officially supported in GROMACS","model"
"CHARMM36","CHARMM36","An all-atom version of the CHARMM force field, often used for lipids","model"
"GROMOS","GROMOS","A set of united-atom force fields and a simulation package","model|software"
"GROMOS 53a6","GROMOS 53a6","A specific version of the GROMOS force field","model"
"GROMOS 53a5","GROMOS 53a5","A specific version of the GROMOS force field","model"
"GROMOS 43a1p","GROMOS 43a1p","A modified GROMOS force field for phosphorylated residues","model"
"OPLS","OPLS","Optimized Potentials for Liquid Simulations force field family","model"
"OPLS-AA/M","OPLS-AA/M","An all-atom version of the OPLS force field","model"
"OPLS-UA","OPLS-UA","A united-atom version of the OPLS force field","model"
"BOSS","BOSS","A program for OPLS force field simulations","software"
"MCPRO","MCPRO","A program for OPLS force field simulations","software"
"Leap-frog integrator","md","A numerical integrator for Newton's equations of motion","algorithm"
"Velocity Verlet integrator","md-vv","A numerical integrator that is more accurate than leap-frog","algorithm"
"Stochastic Dynamics integrator","sd","An integrator that includes random forces and friction","algorithm"
"Brownian Dynamics integrator","bd","An integrator for systems where solvent is treated implicitly","algorithm"
"Steepest Descent","steep","An algorithm for energy minimization","algorithm"
"Conjugate Gradient","cg","An efficient algorithm for energy minimization","algorithm"
"L-BFGS","l-bfgs","A quasi-Newtonian method for energy minimization","algorithm"
"Normal Mode Analysis","nm","A method to find vibrational frequencies of a system","method"
"Test Particle Insertion","tpi","A method to calculate the chemical potential","method"
"Multiple Time-Stepping","mts","An integration scheme using different timesteps for different forces","algorithm|method"
"Center of Mass Motion Removal","comm-mode","A procedure to keep the system's center of mass stationary","process|method"
"Shell Molecular Dynamics","Shell Molecular Dynamics","A model for polarizability using fictitious charged shell particles","model|method"
"Verlet buffer","verlet-buffer-tolerance","A tolerance for pair list generation in the Verlet scheme","measure|unit"
"Neighbor searching","cutoff-scheme","The method used to generate a list of neighboring atoms","algorithm|method"
"Ewald summation","Ewald","A method for calculating long-range electrostatic interactions in periodic systems","algorithm|method"
"Particle Mesh Ewald (PME)","PME","An efficient grid-based version of the Ewald summation method","algorithm|method"
"P3M-AD","P3M-AD","Particle-Particle Particle-Mesh algorithm with analytical derivative","algorithm|method"
"Reaction Field","Reaction-Field","A method to approximate long-range electrostatics using a dielectric continuum","model|method"
"Van der Waals interactions","Van der Waals","Weak intermolecular forces including dispersion and repulsion","model"
"Lennard-Jones potential","LJ","A simple mathematical model for Van der Waals interactions","model"
"Buckingham potential","Buckingham","A potential model that includes an exponential repulsion term","model"
"Dispersion correction","DispCorr","A correction for the truncation of long-range van der Waals interactions","method|model"
"Berendsen thermostat","berendsen","A thermostat that weakly couples the system to a heat bath","algorithm|model"
"Nosé-Hoover thermostat","nose-hoover","A thermostat that generates a correct canonical ensemble","algorithm|model"
"Andersen thermostat","andersen","A thermostat that maintains temperature by random collisions","algorithm|model"
"v-rescale thermostat","v-rescale","A velocity-rescaling thermostat with a stochastic term","algorithm|model"
"Berendsen barostat","Berendsen","A barostat that weakly couples the system to a pressure bath","algorithm|model"
"Parrinello-Rahman barostat","Parrinello-Rahman","A barostat that allows the simulation box to change shape","algorithm|model"
"MTTK barostat","MTTK","Martyna-Tuckerman-Tobias-Klein barostat implementation","algorithm|model"
"Simulated Annealing","Simulated annealing","A method for finding the global minimum by slowly cooling the system","method|algorithm"
"Velocity generation","gen-vel","The process of assigning initial velocities to atoms","process"
"Maxwell distribution","Maxwell distribution","A probability distribution for the speeds of particles in a gas","model"
"Constraints","constraints","Methods to fix bond lengths or angles during a simulation","method|model"
"LINCS","LINCS","A linear constraint solver algorithm","algorithm"
"SHAKE","SHAKE","A popular algorithm for satisfying bond constraints","algorithm"
"COM pulling","pull","Applying a force to the center of mass of a group of atoms","method"
"Umbrella sampling","umbrella","An enhanced sampling technique using a biasing potential","method|algorithm"
"AWH (Adaptive Weight Histogram)","awh","An adaptive biasing method to explore free energy landscapes","method|algorithm"
"Enforced rotation","rotation","Applying a potential to enforce rotation of a group of atoms","method"
"NMR refinement","disre","Using experimental NMR data to restrain a simulation","method"
"Free energy calculations","free-energy","Methods to compute free energy differences between states","method"
"Thermodynamic Integration","Thermodynamic Integration","A method to calculate free energy differences by integrating dH/dλ","method"
"Expanded Ensemble","expanded","A simulation where the alchemical state is a dynamic variable","method|algorithm"
"Soft-core potentials","sc-function","Modified potentials to avoid singularities during alchemical transformations","model"
"Simulated Tempering","simulated-tempering","An enhanced sampling method where temperature is a dynamic variable","method|algorithm"
"Non-equilibrium MD","Non-equilibrium MD","Simulations where the system is not in thermodynamic equilibrium","method|process"
"Electric field","electric-field-x","An external electric field applied to the system","model"
"Computational Electrophysiology","swapcoords","Simulations of ion channels including ion/water exchanges","method"
"Density-guided simulations","density-guided-simulation-active","Simulations guided by an experimental density map (e.g., from cryo-EM)","method"
"Collective variables (Colvars)","colvars-active","A software module for defining and biasing collective variables","software|method"
"Replica-exchange","replex","A simulation method that exchanges configurations between replicas at different temperatures","method|algorithm"
"Multi-simulation","multidir","Running multiple related simulations in a single mdrun invocation","process|software"
"Thread pinning","thread affinity (pinning)","Binding a software thread to a specific hardware core","process|method"
"Domain Decomposition","Domain Decomposition","A parallelization strategy that divides the simulation box into spatial domains","algorithm|method"
"Hybrid/heterogeneous acceleration","Hybrid/heterogeneous acceleration","Distributing computational work between CPUs and GPUs","method|process"
"Intra-core parallelization","Intra-core parallelization via SIMD","Using SIMD instructions to perform multiple operations in a single core","method"
"Node level parallelization","Node level parallelization","Parallelizing a simulation across multiple compute nodes","method|process"
"Process(-or) level parallelization","Process(-or) level parallelization via OpenMP","Using OpenMP for multi-threading on a single processor","method|process"
"Dynamic load balancing","dynamic load balancing","A technique to distribute computation evenly across processors during a run","algorithm|method"
"Multi-level parallelization","Multi-level parallelization","Using a combination of MPI and OpenMP for parallel simulations","method"
"Thread-MPI","thread-MPI","GROMACS's internal implementation of MPI for single-node parallelism","software|method"
"Particle-Particle (PP) ranks","PP ranks","MPI ranks that compute short-range particle-particle interactions","process|state"
"PME ranks","PME ranks","MPI ranks dedicated to computing the long-range PME part of interactions","process|state"
"Wallcycle module","Wallcycle module","A module for runtime performance measurement in GROMACS","software"
"Update groups","update groups","Groups of atoms that are moved together between domains to avoid communication","method"
"gmx tune_pme","gmx tune_pme","A utility to optimize PME settings for a given simulation setup","software"
"GPU-resident mode","GPU-resident","A parallelization mode where force and coordinate data remain on the GPU","method|state"
"Force-offload mode","force-offload","A parallelization mode where forces are computed on the GPU and integration on the CPU","method|state"
"CUDA-graphs","CUDA-graphs","A CUDA feature to reduce CPU overhead by defining a persistent graph of operations","software|method"
"gmx anaeig","gmx anaeig","A GROMACS tool for analyzing eigenvectors from covariance or normal mode analysis","software"
"Principal Components","principal components","Projections of a trajectory onto the eigenvectors of its covariance matrix","measure"
"Quasiharmonic analysis","Quasiharmonic formula","A method to estimate conformational entropy from a covariance matrix","method"
"Schlitter's formula","Schlitter's formula","An alternative formula for estimating conformational entropy","method"
"gmx analyze","gmx analyze","A GROMACS tool for general data analysis of ASCII files","software"
"Autocorrelation function","autocorrelation function","A function that measures the correlation of a signal with a delayed copy of itself","measure"
"Mean square displacement","mean square displacement","A measure of the average distance a particle travels over time","measure"
"Block averaging","block averaging","A method to estimate statistical errors from correlated data","method"
"Luzar & Chandler kinetics","Luzar & Chandler kinetics","A method for analyzing the kinetics of hydrogen bond formation and breaking","method"
"gmx angle","gmx angle","A GROMACS tool to compute and analyze angle distributions","software"
"Dihedral correlation function","dihedral correlation function","A function that measures the time correlation of dihedral angles","measure"
"Chandler correlation function","Chandler correlation function","A function used to analyze transitions between dihedral rotamers","measure"
"gmx awh","gmx awh","A GROMACS tool to extract and analyze data from AWH simulations","software"
"Friction tensor","friction_tensor","A tensor describing the frictional forces experienced by a particle","model|measure"
"gmx bar","gmx bar","A GROMACS tool for calculating free energy differences using BAR","software"
"Bennett's acceptance ratio (BAR)","Bennett's acceptance ratio method","A method for calculating free energy differences between two states","method|algorithm"
"Relative entropy","relative entropy","A measure of the 'distance' between two probability distributions","measure"
"gmx bundle","gmx bundle","A GROMACS tool for analyzing bundles of axes, such as in helices","software"
"gmx check","gmx check","A GROMACS tool for checking and comparing various simulation files","software"
"gmx chi","gmx chi","A GROMACS tool for analyzing backbone and sidechain dihedral angles","software"
"Karplus equation","Karplus equation","An equation that relates dihedral angles to NMR J-coupling constants","model"
"Rotamers","rotamer","Conformational isomers that differ by rotation about a single bond","state"
"Ramachandran plot","Ramachandran plot","A plot of the phi and psi backbone dihedral angles of amino acids","method"
"gmx cluster","gmx cluster","A GROMACS tool for clustering structures from a trajectory","software"
"NUMA (Non-Uniform Memory Access)","non-uniform memory access (NUMA)","A memory design where access time depends on memory location relative to a processor","model"
"P-LINCS","P-LINCS","A parallel version of the LINCS constraint algorithm","algorithm"
"Wait GPU NB local","Wait GPU NB local","A performance counter indicating CPU is waiting for GPU non-bonded calculations","state|measure"
"gmx_mpi","gmx_mpi","The executable name for an MPI-enabled GROMACS build","software"
"mpirun","mpirun","A common command to launch MPI parallel jobs","software"
"Rhombic dodecahedron","rhombic dodecahedron","A space-filling unit cell shape that is more spherical than a cube","model"
"Virtual interaction sites","virtual interaction sites","Fictitious particles used to represent charge distributions or lone pairs","model"
"Residue topology database",".rtp","A database file containing residue definitions for pdb2gmx","data format|data source"
"Hydrogen-bond database",".hdb","A database file defining hydrogen bond donors and acceptors","data format|data source"
"Counter-ions","counter-ions","Ions added to a simulation to neutralize the total charge of the system","chemical entity"
"Minimum image convention","minimum image convention","A principle in periodic systems where a particle interacts with the closest image of another","model|method"
"SETTLE","SETTLE","An analytical algorithm for constraining the geometry of water molecules","algorithm"
"Blowing up","blowing up","A term for a simulation that becomes numerically unstable and crashes","state"
"gmx-gangle","gmx-gangle","A GROMACS tool to calculate angles","software"
"gmx-convert-trj","gmx-convert-trj","A GROMACS tool to convert between trajectory file formats","software"
"gmx-distance","gmx-distance","A GROMACS tool to calculate distances between pairs of positions","software"
"gmx-dssp","gmx-dssp","A GROMACS tool to calculate secondary structure using the DSSP algorithm","software"
"gmx-extract-cluster","gmx-extract-cluster","A GROMACS tool to extract frames belonging to a specific cluster","software"
"gmx-freevolume","gmx-freevolume","A GROMACS tool to calculate the free volume of a system","software"
"gmx-hbond","gmx-hbond","A GROMACS tool to analyze hydrogen bonds","software"
"gmx-msd","gmx-msd","A GROMACS tool to compute mean squared displacement","software"
"gmx-pairdist","gmx-pairdist","A GROMACS tool to calculate pairwise distances between groups","software"
"gmx-rdf","gmx-rdf","A GROMACS tool to calculate radial distribution functions","software"
"gmx-sasa","gmx-sasa","A GROMACS tool to compute solvent accessible surface area","software"
"gmx-scattering","gmx-scattering","A GROMACS tool to calculate small-angle scattering profiles","software"
"gmx-select","gmx-select","A GROMACS tool for creating complex atom selections","software"
"gmx-trajectory","gmx-trajectory","A GROMACS tool to print coordinates, velocities, or forces from a trajectory","software"
"gmx-gyrate","gmx-gyrate","A GROMACS tool to calculate the radius of gyration","software"
"gmx-x2top","gmx-x2top","A GROMACS tool to generate a primitive topology from coordinates","software"
"gmx-insert-molecules","gmx-insert-molecules","A GROMACS tool to insert molecules into a system","software"
"gmx-genconf","gmx-genconf","A GROMACS tool to generate multiple conformations of a molecule","software"
"gmx-genion","gmx-genion","A GROMACS tool to add ions to a system","software"
"gmx-genrestr","gmx-genrestr","A GROMACS tool to generate position or distance restraints","software"
"gmx-convert-tpr","gmx-convert-tpr","A GROMACS tool to modify a run input file","software"
"gmx-nmtraj","gmx-nmtraj","A GROMACS tool to generate a trajectory from a normal mode eigenvector","software"
"gmx-enemat","gmx-enemat","A GROMACS tool to extract an energy matrix from an energy file","software"
"gmx-energy","gmx-energy","A GROMACS tool to extract and analyze energy terms from a simulation","software"
"gmx-eneconv","gmx-eneconv","A GROMACS tool to convert energy files","software"
"gmx-sigeps","gmx-sigeps","A GROMACS tool to convert between different Lennard-Jones parameter formats","software"
"gmx-trjcat","gmx-trjcat","A GROMACS tool to concatenate trajectory files","software"
"gmx-xpm2ps","gmx-xpm2ps","A GROMACS tool to convert XPM matrices to PostScript","software"
"gmx-filter","gmx-filter","A GROMACS tool to filter trajectories","software"
"gmx-lie","gmx-lie","A GROMACS tool to estimate free energy from linear combinations (LIE method)","software"
"gmx-pme_error","gmx-pme_error","A GROMACS tool to estimate the error of PME calculations","software"
"gmx-sham","gmx-sham","A GROMACS tool to compute free energies from histograms (SHAM method)","software"
"gmx-spatial","gmx-spatial","A GROMACS tool to calculate the spatial distribution function of molecules","software"
"gmx-traj","gmx-traj","A GROMACS tool to plot various properties from a trajectory file","software"
"gmx-wham","gmx-wham","A GROMACS tool to perform weighted histogram analysis (WHAM)","software"
"gmx-dump","gmx-dump","A GROMACS tool to make binary files human-readable","software"
"gmx-make_ndx","gmx-make_ndx","A GROMACS tool to create index files","software"
"gmx-mk_angndx","gmx-mk_angndx","A GROMACS tool to generate index files for angle analysis","software"
"gmx-trjorder","gmx-trjorder","A GROMACS tool to order molecules based on their distance to a group","software"
"gmx-report-methods","gmx-report-methods","A GROMACS tool to summarize the simulation methods used","software"
"gmx-confrms","gmx-confrms","A GROMACS tool to calculate RMSD between two structures","software"
"gmx-rms","gmx-rms","A GROMACS tool to calculate RMSD over a trajectory","software"
"gmx-rmsf","gmx-rmsf","A GROMACS tool to calculate root-mean-square fluctuations","software"
"gmx-mindist","gmx-mindist","A GROMACS tool to calculate the minimum distance between two groups","software"
"gmx-mdmat","gmx-mdmat","A GROMACS tool to calculate a residue contact map","software"
"gmx-polystat","gmx-polystat","A GROMACS tool to calculate static properties of polymers","software"
"gmx-rmsdist","gmx-rmsdist","A GROMACS tool to calculate averaged atom pair distances","software"
"gmx-gyrate-legacy","gmx-gyrate-legacy","A legacy version of the gmx-gyrate tool","software"
"gmx-sans-legacy","gmx-sans-legacy","A legacy version of a tool for small-angle neutron scattering","software"
"gmx-saxs-legacy","gmx-saxs-legacy","A legacy version of a tool for small-angle X-ray scattering","software"
"gmx-vanhove","gmx-vanhove","A GROMACS tool to compute Van Hove correlation functions","software"
"gmx-clustsize","gmx-clustsize","A GROMACS tool to calculate cluster size distributions","software"
"gmx-disre","gmx-disre","A GROMACS tool to analyze distance restraints","software"
"gmx-hbond-legacy","gmx-hbond-legacy","A legacy version of the gmx-hbond tool","software"
"gmx-order","gmx-order","A GROMACS tool to compute order parameters, e.g., for lipid tails","software"
"gmx-principal","gmx-principal","A GROMACS tool to calculate principal axes of inertia","software"
"gmx-saltbr","gmx-saltbr","A GROMACS tool to analyze salt bridges","software"
"gmx-sorient","gmx-sorient","A GROMACS tool to analyze solvent orientation","software"
"gmx-spol","gmx-spol","A GROMACS tool to analyze solvent dipole orientation and polarization","software"
"gmx-dos","gmx-dos","A GROMACS tool to analyze density of states","software"
"gmx-dyecoupl","gmx-dyecoupl","A GROMACS tool to extract dye dynamics from trajectories","software"
"gmx-tcaf","gmx-tcaf","A GROMACS tool to calculate viscosities","software"
"gmx-velacc","gmx-velacc","A GROMACS tool to calculate velocity autocorrelation functions","software"
"gmx-dielectric","gmx-dielectric","A GROMACS tool to calculate frequency-dependent dielectric constants","software"
"gmx-dipoles","gmx-dipoles","A GROMACS tool to compute the total dipole moment","software"
"gmx-potential","gmx-potential","A GROMACS tool to calculate the electrostatic potential across the box","software"
"gmx-helix","gmx-helix","A GROMACS tool to calculate basic properties of alpha-helices","software"
"gmx-helixorient","gmx-helixorient","A GROMACS tool to analyze the orientation of helices","software"
"gmx-rama","gmx-rama","A GROMACS tool to compute Ramachandran plots","software"
"gmx-wheel","gmx-wheel","A GROMACS tool to plot helical wheels","software"
"gmx-densmap","gmx-densmap","A GROMACS tool to calculate 2D density maps","software"
"gmx-densorder","gmx-densorder","A GROMACS tool to calculate surface fluctuations","software"
"gmx-h2order","gmx-h2order","A GROMACS tool to compute the orientation of water molecules","software"
"gmx-hydorder","gmx-hydorder","A GROMACS tool to compute tetrahedrality parameters","software"
"gmx-covar","gmx-covar","A GROMACS tool to calculate and diagonalize a covariance matrix","software"
"gmx-make_edi","gmx-make_edi","A GROMACS tool to generate input for essential dynamics sampling","software"
"gmx-nmeig","gmx-nmeig","A GROMACS tool to diagonalize the Hessian for normal mode analysis","software"
"gmx-nmens","gmx-nmens","A GROMACS tool to generate an ensemble of structures from normal modes","software"
"Single linkage","single linkage","A clustering method that adds a structure to a cluster based on its distance to any element","algorithm"
"Jarvis-Patrick","Jarvis-Patrick","A clustering method based on shared nearest neighbors","algorithm"
"Monte Carlo clustering","monte-carlo","A clustering method that reorders an RMSD matrix using Monte Carlo","algorithm"
"gromos clustering","gromos","A clustering algorithm based on counting neighbors within a cutoff","algorithm"
"RMSD matrix diagonalization","diagonalization","A method to find eigenvectors and eigenvalues of the RMSD matrix","method"
"gmx clustsize","gmx clustsize","A GROMACS tool to compute size distributions of molecular/atomic clusters","software"
"gmx confrms","gmx confrms","A GROMACS tool to compute the RMSD between two structures after fitting","software"
"Mass-weighted fitting","mw","A least-squares fitting procedure where atom positions are weighted by their mass","method"
"B-factors","bfac","Values stored in PDB files, often used to represent atomic fluctuations (MSD)","measure"
"Linear Interaction Energy (LIE)","LIE (Linear Interaction Energy) method","A method for estimating binding free energies","method"
"gmx density","gmx density","A GROMACS tool to compute partial densities across the simulation box","software"
"Undulatory fluctuations","undulatory fluctuations","Wave-like motions in large lipid bilayers","process|state"
"gmx densmap","gmx densmap","A GROMACS tool to compute 2D number-density maps","software"
"gmx densorder","gmx densorder","A GROMACS tool to analyze the interface of a two-phase system","software"
"Cole-Cole plot","Cole-Cole plot","A plot of the imaginary versus the real part of the dielectric permittivity","method"
"Kirkwood G-factor","Kirkwood G-factor","A factor that relates the dielectric constant to molecular dipole correlations","measure"
"Einstein-Helfand method","Einstein-Helfand method","A method to calculate transport coefficients like viscosity and conductivity","method"
"gmx current","gmx current","A GROMACS tool for calculating current autocorrelation and dielectric constants","software"
"gmx dos","gmx dos","A GROMACS tool to compute the Density of States from velocity data","software"
"Vibrational power spectrum","vibrational power spectrum","The Fourier transform of the velocity autocorrelation function","measure"
"DSSP algorithm","DSSP algorithm","An algorithm to assign secondary structure to proteins from atomic coordinates","algorithm"
"Alpha-helix","alpha-helix","A common secondary structure motif in proteins","chemical entity"
"Beta-bridge","beta-bridge","An isolated pair of hydrogen-bonded residues forming a small beta-sheet","chemical entity"
"Extended strand","extended strand","A stretch of polypeptide chain in a beta-sheet conformation","chemical entity"
"3_10-helix","3_10-helix","A type of helical secondary structure in proteins","chemical entity"
"Pi-helix","pi-helix","A type of helical secondary structure in proteins","chemical entity"
"Kappa-helix","kappa-helix","A type of helical secondary structure, also known as poly-proline II helix","chemical entity"
"Hydrogen-bonded turn","hydrogen-bonded turn","A region where the polypeptide chain reverses direction, stabilized by a hydrogen bond","chemical entity"
"FRET (Förster Resonance Energy Transfer)","(F)RET simulations","A mechanism describing energy transfer between two light-sensitive molecules","process|model"
"Foerster radius","Foerster radius","The distance at which FRET efficiency is 50%","measure"
"Triclinic box","triclinic","A simulation box defined by three vectors of arbitrary length and orientation","model"
"Dodecahedron box","dodecahedron","A rhombic dodecahedron-shaped simulation box","model"
"Octahedron box","octahedron","A truncated octahedron-shaped simulation box","model"
"MEAD electrostatics program","MEAD electrostatics program","A program for solving the Poisson-Boltzmann equation","software"
"gmx eneconv","gmx eneconv","A GROMACS tool to concatenate and modify energy files","software"
"gmx enemat","gmx enemat","A GROMACS tool to extract an energy matrix from an energy file","software"
"Heat capacity","Heat capacity C_p","A measure of the heat energy required to raise the temperature of a substance","measure"
"Thermal expansion coefficient","Thermal expansion coeff.","A measure of the fractional change in volume per degree change in temperature","measure"
"Isothermal compressibility","Isothermal compressibility","A measure of the relative volume change in response to a pressure change","measure"
"Adiabatic bulk modulus","Adiabatic bulk modulus","A measure of a substance's resistance to compression under adiabatic conditions","measure"
"Einstein relation (viscosity)","Einstein relation","A method to compute viscosity from the mean-square displacement of the pressure tensor","method"
"gmx extract-cluster","gmx extract-cluster","A GROMACS tool to extract trajectory frames corresponding to clusters","software"
"Frequency filtering","frequency filtering","A method to remove high or low-frequency motions from a trajectory","method"
"gmx freevolume","gmx freevolume","A GROMACS tool to calculate the free volume in a system","software"
"Fractional Free Volume (FFV)","Fractional Free Volume (FFV)","The fraction of the volume not occupied by the hard-sphere atoms","measure"
"gmx genconf","gmx genconf","A GROMACS tool to generate multiple copies of a molecule in a grid","software"
"gmx genion","gmx genion","A GROMACS tool to randomly replace solvent molecules with ions","software"
"gmx genrestr","gmx genrestr","A GROMACS tool to generate position restraint files","software"
"Position restraints","position_restraints","Harmonic potentials used to keep atoms close to reference positions","model"
"Distance restraints","disre_dist","Restraints used to enforce a specific distance between atoms","model"
"Freezing atoms","freeze","Completely immobilizing a group of atoms during a simulation","method"
"gmx grompp","gmx grompp","The GROMACS preprocessor that creates a binary run input file","software"
"Maxwellian distribution","Maxwellian distribution","A probability distribution for particle speeds at a given temperature","model"
"Nose-Hoover coupling","Nose-Hoover coupling","A method for temperature control that generates a canonical ensemble","method|algorithm"
"Parrinello-Rahman coupling","Parrinello-Rahman coupling","A method for pressure control that allows for box shape changes","method|algorithm"
"gmx gyrate","gmx gyrate","A GROMACS tool to compute the radius of gyration of a molecule","software"
"Radius of gyration","radius of gyration","A measure of the size of a molecule or group of atoms","measure"
"gmx gyrate-legacy","gmx gyrate-legacy","A legacy version of the gmx gyrate tool","software"
"Moments of inertia","moments of inertia","A measure of an object's resistance to rotational motion","measure"
"gmx h2order","gmx h2order","A GROMACS tool to compute the orientation of water molecules","software"
