"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count"
"&rism namelist","&rism","A namelist in the MMPBSA.py input file for 3D-RISM parameters","data format","yes","37419,37770,40359,40428,40504,190308,190314,191641,192257","9"
"Library file",".lib","Amber file format storing residue definitions and charges.","data format","yes","4940,4947,83609,180469,180531,180629,198848,198850,204391,204392,206962,206963,208752","13"
"lib file",".lib","An Amber library file containing residue topology information","data format","yes","7726,16660","2"
"12-6-4 Lennard-Jones Potential","12-6-4 Potential","An extension of the LJ potential including an ion-induced dipole term.","model","yes","98697,114355,114366,114374","4"
"12-6-4 Lennard-Jones Potential","lj1264","Flag to use a 12-6-4 potential for specific ions.","model|method","yes","114038,114332,114341,114367,114465,119683,119688,120276","8"
"12-6-4 Ionic Potential","12-6-4 potential","A specific potential form for modeling ion-atom interactions.","model","yes","98697,114355,114366,114374","4"
"3D Reference Interaction Site Model","3D-RISM","A statistical mechanical theory to calculate solvent distribution functions","model|method","yes","31137,31183,31188,31227,31449,31551,31741,32013,32017,32020,32028,32033,32039,32062,32084,32190,32232,32468,32603,32659,32665,32844,33151,33172,33212,33316,33471,33514,34164,34237,34463,34466,34495,34516,34525,34585,34601,34618,34644,34679,34806,34932,34967,35010,35014,35116,35140,35142,35148,35282,35285,35334,35357,35727,36561,36572,36577,36605,36616,36650,36690,36731,36746,36775,36778,36795,36919,36978,36995,37027,37036,37039,37057,37105,37417,37442,37493,37595,37644,37649,37750,38260,39222,39327,39376,39868,40287,40315,40383,40464,40541,40550,40554,40578,41556,43046,43070,43077,43547,43560","129"
"3D-RISM","3D-RISM","A version of RISM for calculating solvation properties of a solute","model|method","yes","31137,31183,31188,31227,31449,31551,31741,32013,32017,32020,32028,32033,32039,32062,32084,32190,32232,32468,32603,32659,32665,32844,33151,33172,33212,33316,33471,33514,34164,34237,34463,34466,34495,34516,34525,34585,34601,34618,34644,34679,34806,34932,34967,35010,35014,35116,35140,35142,35148,35282,35285,35334,35357,35727,36561,36572,36577,36605,36616,36650,36690,36731,36746,36775,36778,36795,36919,36978,36995,37027,37036,37039,37057,37105,37417,37442,37493,37595,37644,37649,37750,38260,39222,39327,39376,39868,40287,40315,40383,40464,40541,40550,40554,40578,41556,43046,43070,43077,43547,43560","129"
"3D-RISM","3D-RISM","Three-dimensional reference interaction site model for solvation calculations","method|model","yes","31137,31183,31188,31227,31449,31551,31741,32013,32017,32020,32028,32033,32039,32062,32084,32190,32232,32468,32603,32659,32665,32844,33151,33172,33212,33316,33471,33514,34164,34237,34463,34466,34495,34516,34525,34585,34601,34618,34644,34679,34806,34932,34967,35010,35014,35116,35140,35142,35148,35282,35285,35334,35357,35727,36561,36572,36577,36605,36616,36650,36690,36731,36746,36775,36778,36795,36919,36978,36995,37027,37036,37039,37057,37105,37417,37442,37493,37595,37644,37649,37750,38260,39222,39327,39376,39868,40287,40315,40383,40464,40541,40550,40554,40578,41556,43046,43070,43077,43547,43560","129"
"A","A","The effective electrostatic size of the molecule in the ALPB model","measure|identifier","yes","280,851,864,930,1364,1380,1438,1447,1449,1456,1460,1472,1477,1493,1494,1497,1499,1502,1518,1537,1540,1542,1546,1604,1607,1640,1648,1657,1709,1736,1744,1759,1781,1806,1974,1997,2006,2007,2018,2020,2025,2029,2039,2056,2070,2077,2095,2104,2139,2168,2175,2176,2312,2314,2315,2369,2373,2374,2522,2545,2550,2552,2556,2561,2637,2651,2722,2851,2887,2889,2890,2916,2920,2941,3005,3026,3059,3102,3164,3183,3195,3217,3333,3353,3363,3390,3392,3395,3396,3408,3434,3439,3441,3443,3450,3452,3471,3473,3481,3487","5930"
"A","A","The effective electrostatic size of the molecule in the ALPB model","measure|identifier","yes","280,851,864,930,1364,1380,1438,1447,1449,1456,1460,1472,1477,1493,1494,1497,1499,1502,1518,1537,1540,1542,1546,1604,1607,1640,1648,1657,1709,1736,1744,1759,1781,1806,1974,1997,2006,2007,2018,2020,2025,2029,2039,2056,2070,2077,2095,2104,2139,2168,2175,2176,2312,2314,2315,2369,2373,2374,2522,2545,2550,2552,2556,2561,2637,2651,2722,2851,2887,2889,2890,2916,2920,2941,3005,3026,3059,3102,3164,3183,3195,3217,3333,3353,3363,3390,3392,3395,3396,3408,3434,3439,3441,3443,3450,3452,3471,3473,3481,3487","5930"
"accept","accept","The iteration convergence criterion for the PB solver","identifier|measure","yes","3438,25334,25339,27351,28122,30235,30317,31048,97406,103999,107739,189899,190282,195507","14"
"accept","accept","The iteration convergence criterion for the PB solver","identifier|measure","yes","3438,25334,25339,27351,28122,30235,30317,31048,97406,103999,107739,189899,190282,195507","14"
"ACE","ACE","Residue name for an N-terminal acetyl capping group","chemical entity|identifier","yes","15089,18368,68000,68035,68042,68049,68054,68059,68149,68193,68690,68694,74229,74241,77063,100605,111838,111839,112580,112666,168500,168503,169004,185755,185769","27"
"ACE (acetyl cap)","ACE","An N-terminal capping group (CH3CO) for protein fragments.","chemical entity","yes","15089,18368,68000,68035,68042,68049,68054,68059,68149,68193,68690,68694,74229,74241,77063,100605,111838,111839,112580,112666,168500,168503,169004,185755,185769","27"
"ACE (acetyl cap)","ace","An N-terminal capping group (CH3CO) for protein fragments.","chemical entity|identifier","yes","15089,18368,68000,68035,68042,68049,68054,68059,68149,68193,68690,68694,74229,74241,77063,100605,111838,111839,112580,112666,168500,168503,169004,185755,185769","27"
"Active site focusing","Active site focusing","A method to focus PB calculations on a specific region of interest","method","yes","26750,26754","2"
"Active site focusing","Active site focusing","A method to focus PB calculations on a specific region of interest","method","yes","26750,26754","2"
"Adaptive Solvent QM/MM","vsolv=2","A QM/MM method where solvent molecules can dynamically enter the QM region","method|model","yes","50191,50233,50250,60060,61415,61564,61656,61706,61717,62013,62747,63272","12"
"Adaptive Solvent QM/MM","vsolv=2","A QM/MM method where solvent molecules can dynamically enter the QM region","method|model","yes","50191,50233,50250,60060,61415,61564,61656,61706,61717,62013,62747,63272","12"
"Adaptively Biased Molecular Dynamics","ABMD","An umbrella sampling method with a time-dependent biasing potential.","method|algorithm","yes","157989,158052,158122,158137,158236,158255,158290,158292,158374,158375,158376,158384,158403,158405,158406,158416,158420,158525,158552,158560,158705,158781,158878,158881,158888,158890,158895,158898,158899,158902,158906,158910,159009,159020,159036,159095,159109,162512,162529,162569,162603,162821,162915,162923,163055,163082,163130,163134,163140,163183,163197,163317,163331,163420,163440,163441,163443,163465,163501,163516,163545,163590,163631,163653,163657,163872,164063,164066,165180,165242,165276,165509","79"
"Adaptively Biased Molecular Dynamics","ABMD","A method for free energy calculation using an adaptive bias potential","method|algorithm","yes","157989,158052,158122,158137,158236,158255,158290,158292,158374,158375,158376,158384,158403,158405,158406,158416,158420,158525,158552,158560,158705,158781,158878,158881,158888,158890,158895,158898,158899,158902,158906,158910,159009,159020,159036,159095,159109,162512,162529,162569,162603,162821,162915,162923,163055,163082,163130,163134,163140,163183,163197,163317,163331,163420,163440,163441,163443,163465,163501,163516,163545,163590,163631,163653,163657,163872,164063,164066,165180,165242,165276,165509","79"
"add12_6_4","add12_6_4","A parmed command to add C₄ terms for the 12-6-4 potential","software|process","yes","16118,16135,74919,84410,84433,84438,84555,84616","8"
"add12_6_4","add12_6_4","ParmEd command to add C4 terms for a 12-6-4 potential.","software|process","yes","16118,16135,74919,84410,84433,84438,84555,84616","8"
"addIons","addIons","LEaP command to add counterions around a solute using a Coulombic grid","software|method","yes","18317,74953,74957,74962,75022,75061,75142,81220,81529,81533,81537","11"
"addions","addions","LEaP command to add counter-ions to neutralize a system.","software|process","yes","18317,74953,74957,74962,75022,75061,75142,81220,81529,81533,81537","11"
"AddToBox","AddToBox","A program to place solvent molecules into a crystal unit cell.","software","yes","105534,105537,105547,105567,105577,105585,105608,105627,105635,105643,105649,105671,105675,105679,105730,105766,105784,105796","18"
"AddToBox","AddToBox","A program to place solvent molecules into a crystal unit cell.","software","yes","105534,105537,105547,105567,105577,105585,105608,105627,105635,105643,105649,105671,105675,105679,105730,105766,105784,105796","18"
"Charge Adjustment","adjust_q","Controls how charge is conserved in QM/MM simulations with link atoms","method|state","yes","48629,50909,61430,121623,121628","5"
"Link Atom Charge Adjustment","adjust_q","Controls how charge is conserved with respect to link atoms.","method|algorithm","yes","48629,50909,61430,121623,121628","5"
"ala","ala","Input variable for the group transfer free energy of Alanine","identifier|measure","yes","12312,21757,21800,72620,73251,73254,73260,73272,73289,73305,73307,74237,74241,74260,75343,75355,75371,75381,75630,75634,75639,75689,75693,75709,75713,75725,75773,75798,76008,76012,76016,76020,76024,76036,76040,76117,76153,76158,76162,76167,76826,77063,77437,77450,77454,77466,77527,77531,77543,77547,77555,77563,77567,77575,77625,77629,77768,77772,77852,83609,92729,92733,93374,93378,93379,93396,93422,93500,93510,93520,111838,111839,112580,112622,112640,112666,128377,128607,129008,180114,180128,180459,180570,181821,181841,181857,185758,185769","109"
"ala","ala","Input variable for the group transfer free energy of Alanine","identifier|measure","yes","12312,21757,21800,72620,73251,73254,73260,73272,73289,73305,73307,74237,74241,74260,75343,75355,75371,75381,75630,75634,75639,75689,75693,75709,75713,75725,75773,75798,76008,76012,76016,76020,76024,76036,76040,76117,76153,76158,76162,76167,76826,77063,77437,77450,77454,77466,77527,77531,77543,77547,77555,77563,77567,77575,77625,77629,77768,77772,77852,83609,92729,92733,93374,93378,93379,93396,93422,93500,93510,93520,111838,111839,112580,112622,112640,112666,128377,128607,129008,180114,180128,180459,180570,181821,181841,181857,185758,185769","109"
"ALPB","ALPB","Analytical Linearized Poisson-Boltzmann implicit solvent model","model|method","yes","20630,21848,21851,21859,21869,21876,21907,21909,21910,21920,21922,21926,21929,21942,21947,21954,21969,21978,21985,22011,22038,22057,22094,22332,22378,22382,22413,22575,22588,22906,22914,22935,119638,119643,119652,120218,126137","38"
"ALPB","ALPB","Analytical Linearized Poisson-Boltzmann implicit solvent model","model|method","yes","20630,21848,21851,21859,21869,21876,21907,21909,21910,21920,21922,21926,21929,21942,21947,21954,21969,21978,21985,22011,22038,22057,22094,22332,22378,22382,22413,22575,22588,22906,22914,22935,119638,119643,119652,120218,126137","38"
"Analytical Linearized Poisson-Boltzmann","alpb","Flag to use the Analytical Linearized Poisson-Boltzmann model.","model|method","yes","20629,20630,21848,21851,21859,21869,21876,21907,21909,21910,21920,21922,21926,21929,21942,21947,21954,21969,21978,21985,22011,22038,22057,22094,22332,22378,22382,22413,22575,22588,22906,22914,22935,119638,119643,119648,119652,120218,126137","42"
"alpb","alpb","Flag to enable the ALPB implicit solvent model","identifier","yes","20630,21848,21851,21859,21869,21876,21907,21909,21910,21920,21922,21926,21929,21942,21947,21954,21969,21978,21985,22011,22038,22057,22094,22332,22378,22382,22413,22575,22588,22906,22914,22935,119638,119643,119652,120218,126137","38"
"alpb","alpb","Flag to enable the ALPB implicit solvent model","identifier","yes","20630,21848,21851,21859,21869,21876,21907,21909,21910,21920,21922,21926,21929,21942,21947,21954,21969,21978,21985,22011,22038,22057,22094,22332,22378,22382,22413,22575,22588,22906,22914,22935,119638,119643,119652,120218,126137","38"
"AM1","AM1","Austin Model 1, a semi-empirical quantum mechanics method","model|method","yes","16309,16320,16332,44578,44701,44765,44773,44868,44872,44949,45214,45851,45971,45972,45973,45974,45975,46858,46859,49950,59611,59657,64512,64693,64706,64779,65012,65060,65072,65923,83666,90410,90428,90838,91152,92088,92090,92170,92188,92228,92255,92279,92351,92420,92424,92433,92494,92503,92540,99134,196959,197501,197553,198161,198643,204350,206905,208194,209303","67"
"AM1","AM1","Austin Model 1, a semi-empirical Hamiltonian","model","yes","16309,16320,16332,44578,44701,44765,44773,44868,44872,44949,45214,45851,45971,45972,45973,45974,45975,46858,46859,49950,59611,59657,64512,64693,64706,64779,65012,65060,65072,65923,83666,90410,90428,90838,91152,92088,92090,92170,92188,92228,92255,92279,92351,92420,92424,92433,92494,92503,92540,99134,196959,197501,197553,198161,198643,204350,206905,208194,209303","67"
"AM1","am1","A semi-empirical quantum mechanics method for charge calculation","model|method","yes","16309,16320,16332,44578,44701,44765,44773,44868,44872,44949,45214,45851,45971,45972,45973,45974,45975,46858,46859,49950,59611,59657,64512,64693,64706,64779,65012,65060,65072,65923,83666,90410,90428,90838,91152,92088,92090,92170,92188,92228,92255,92279,92351,92420,92424,92433,92494,92503,92540,99134,196959,197501,197553,198161,198643,204350,206905,208194,209303","67"
"AM1-BCC","AM1-BCC","A semi-empirical method for calculating atomic partial charges.","method|model","yes","44578,90410,90428,90838,91152,92170,92255,92279,92351,92420,92424,92494,92503,92540,99134,196959,197501,197553,198161,198643","20"
"AM1-BCC","AM1-BCC","A semi-empirical charge model combining AM1 and bond charge corrections.","method|model","yes","44578,90410,90428,90838,91152,92170,92255,92279,92351,92420,92424,92494,92503,92540,99134,196959,197501,197553,198161,198643","20"
"AM1-BCC","AM1-BCC","A method for calculating atomic charges for organic molecules","method|model","yes","44578,90410,90428,90838,91152,92170,92255,92279,92351,92420,92424,92494,92503,92540,99134,196959,197501,197553,198161,198643","20"
"AM1-BCC","AM1-bcc","A method to derive atomic charges using the AM1 Hamiltonian","method|model","yes","44578,90410,90428,90838,91152,92170,92255,92279,92351,92420,92424,92494,92503,92540,99134,196959,197501,197553,198161,198643","20"
"amb2chm_psf_crd.py","amb2chm_psf_crd.py","A script to convert Amber files to CHARMM PSF/CRD format.","software","yes","89542,89547,89555,89569,98764","5"
"amb2chm_psf_crd.py","amb2chm_psf_crd.py","A script to convert Amber prmtop/inpcrd to CHARMM psf/crd.","software","yes","89542,89547,89555,89569,98764","5"
"amb2gro_top_gro.py","amb2gro_top_gro.py","A script to convert Amber files to GROMACS TOP/GRO format.","software","yes","89741,89746,89754,89768,98795","5"
"amb2gro_top_gro.py","amb2gro_top_gro.py","A script to convert Amber prmtop/inpcrd to GROMACS top/gro.","software","yes","89741,89746,89754,89768,98795","5"
"AMOEBA Force Field","iamoeba","A polarizable force field model.","model","yes","114286,114293,115921,126426,186041,186251,186256,186274,186452,187451","10"
"Amoeba force field","Amoeba force field","A multipolar, polarizable force field for detailed biomolecular simulations","model","yes","186041,186274,186452","3"
"Angle CV","ANGLE","Reaction coordinate defined as the angle formed by three atoms.","measure|model","yes","2153,5249,5438,5918,7578,8283,16469,22459,35284,46926,48575,50808,72881,74052,75649,77028,77029,77432,78580,79098,79115,79148,79164,79910,82126,82130,82145,82175,82205,82236,82250,82257,82526,84143,84798,85211,85463,85876,86958,87196,87206,88336,88771,88772,88773,88774,88928,88929,90474,90475,90476,90827,90833,91552,91553,91554,91555,91556,91558,91986,92007,93270,93294,94038,94517,94558,94733,94750,95181,95186,95243,95848,96036,97049,97248,97321,97401,97457,97492,97531,97679,97734,97736,97771,97792,97794,97802,98301,98558,98704,98726,99009,99014,99143,99229,99318,99323,99325,99337,99349","232"
"Angle Energy","angle","The energy contribution from valence angles.","measure","yes","2153,5249,5438,5918,7578,8283,16469,22459,35284,46926,48575,50808,72881,74052,75649,77028,77029,77432,78580,79098,79115,79148,79164,79910,82126,82130,82145,82175,82205,82236,82250,82257,82526,84143,84798,85211,85463,85876,86958,87196,87206,88336,88771,88772,88773,88774,88928,88929,90474,90475,90476,90827,90833,91552,91553,91554,91555,91556,91558,91986,92007,93270,93294,94038,94517,94558,94733,94750,95181,95186,95243,95848,96036,97049,97248,97321,97401,97457,97492,97531,97679,97734,97736,97771,97792,97794,97802,98301,98558,98704,98726,99009,99014,99143,99229,99318,99323,99325,99337,99349","232"
"Angstrom","Å","Unit of length equal to 10⁻¹⁰ meters","unit","yes","7878,15218,15488,15490,19522,20858,22561,22622,22629,22642,22775,22779,23637,23713,23717,23874,23886,24640,24869,24870,24875,24882,24890,25006,25035,25052,25081,25160,25416,25730,25747,25767,25827,26298,26393,26617,27117,27554,27562,27646,27650,27758,27760,28390,28396,28397,28636,29717,33634,33649,34652,34658,34797,34872,34876,34880,35404,35412,35642,35940,35956,36085,36383,37265,37871,38293,38382,38460,39787,41027,43426,43467,43518,43678,43682,43747,43766,43784,43829,43843,43861,43878,49272,49307,49725,49773,62045,62076,68657,68678,69269,70588,70624,70659,70719,70744,70816,73151,73163,73164","219"
"Angstrom","Å","Unit of length commonly used for atomic distances","unit","yes","7878,15218,15488,15490,19522,20858,22561,22622,22629,22642,22775,22779,23637,23713,23717,23874,23886,24640,24869,24870,24875,24882,24890,25006,25035,25052,25081,25160,25416,25730,25747,25767,25827,26298,26393,26617,27117,27554,27562,27646,27650,27758,27760,28390,28396,28397,28636,29717,33634,33649,34652,34658,34797,34872,34876,34880,35404,35412,35642,35940,35956,36085,36383,37265,37871,38293,38382,38460,39787,41027,43426,43467,43518,43678,43682,43747,43766,43784,43829,43843,43861,43878,49272,49307,49725,49773,62045,62076,68657,68678,69269,70588,70624,70659,70719,70744,70816,73151,73163,73164","219"
"Antechamber","Antechamber","A suite of tools to generate files for organic molecules.","software","yes","1847,2017,24581,49064,49084,80737,83672,90362,90366,90372,90554,90556,90559,90567,90580,90584,90589,90601,90643,90646,90650,91007,91038,91197,91208,91231,91236,91250,91268,91278,91332,91477,91714,91718,91721,91792,91799,92085,92100,92103,92113,92123,92126,92139,92144,92150,92159,92165,92217,92227,92290,92294,92296,92315,92560,92641,92645,92675,93089,93110,93123,93155,93157,93160,93167,93179,93206,93211,93233,93238,93357,93719,93844,96093,98736,98933,99133,100294,101451,103811,103816,105029,105037,168954,189969,195839,195845,195858","88"
"antechamber","antechamber","Program to develop force fields for small organic molecules","software|method","yes","1847,2017,24581,49064,49084,80737,83672,90362,90366,90372,90554,90556,90559,90567,90580,90584,90589,90601,90643,90646,90650,91007,91038,91197,91208,91231,91236,91250,91268,91278,91332,91477,91714,91718,91721,91792,91799,92085,92100,92103,92113,92123,92126,92139,92144,92150,92159,92165,92217,92227,92290,92294,92296,92315,92560,92641,92645,92675,93089,93110,93123,93155,93157,93160,93167,93179,93206,93211,93233,93238,93357,93719,93844,96093,98736,98933,99133,100294,101451,103811,103816,105029,105037,168954,189969,195839,195845,195858","88"
"antechamber","antechamber","An AmberTools program for generating parameters for organic molecules.","software","yes","1847,2017,24581,49064,49084,80737,83672,90362,90366,90372,90554,90556,90559,90567,90580,90584,90589,90601,90643,90646,90650,91007,91038,91197,91208,91231,91236,91250,91268,91278,91332,91477,91714,91718,91721,91792,91799,92085,92100,92103,92113,92123,92126,92139,92144,92150,92159,92165,92217,92227,92290,92294,92296,92315,92560,92641,92645,92675,93089,93110,93123,93155,93157,93160,93167,93179,93206,93211,93233,93238,93357,93719,93844,96093,98736,98933,99133,100294,101451,103811,103816,105029,105037,168954,189969,195839,195845,195858","88"
"antechamber (program)","antechamber","The main program in the Antechamber suite for file conversion and parameter assignment.","software","yes","1847,2017,24581,49064,49084,80737,83672,90362,90366,90372,90554,90556,90559,90567,90580,90584,90589,90601,90643,90646,90650,91007,91038,91197,91208,91231,91236,91250,91268,91278,91332,91477,91714,91718,91721,91792,91799,92085,92100,92103,92113,92123,92126,92139,92144,92150,92159,92165,92217,92227,92290,92294,92296,92315,92560,92641,92645,92675,93089,93110,93123,93155,93157,93160,93167,93179,93206,93211,93233,93238,93357,93719,93844,96093,98736,98933,99133,100294,101451,103811,103816,105029,105037,168954,189969,195839,195845,195858","88"
"APBS","APBS","Adaptive Poisson-Boltzmann Solver, a program for continuum electrostatics.","software","yes","3267,119018,119022,119023,119024,119033,119041,119042,119043,119047,119051,119123,119127,119175,119179,189863,189871,191015,191039,191113,191174,191183,191184,191185,193004,193523,193602,205230,205330,205432,205436,205888,206234","35"
"Adaptive Poisson-Boltzmann Solver","APBS","A software package for solving the Poisson-Boltzmann equation","software","yes","3267,119018,119022,119023,119024,119033,119041,119042,119043,119047,119051,119123,119127,119175,119179,189863,189871,191015,191039,191113,191174,191183,191184,191185,193004,193523,193602,205230,205330,205432,205436,205888,206234","36"
"arad","arad","Input variable for the effective electrostatic size (A) in ALPB","identifier|measure","yes","21899,21992,21997,22007,22035,22042,22064,22092,22207","9"
"arad","arad","Input variable for the effective electrostatic size (A) in ALPB","identifier|measure","yes","21899,21992,21997,22007,22035,22042,22064,22092,22207","9"
"arcres","arcres","The resolution of dots used to represent solvent accessible arcs","identifier|measure","yes","22641,22906,24845,24850,24869,24875,24878,29864,29884,30239","10"
"arcres","arcres","The resolution of dots used to represent solvent accessible arcs","identifier|measure","yes","22641,22906,24845,24850,24869,24875,24878,29864,29884,30239","10"
"ASM Flag","asm","Flag to enable Adaptive String Method calculations.","method|algorithm","yes","135349,135437,135463,135844,135846,135850,135852,135880,136227,136694","11"
"Adaptive String Method","ASM","Method for finding the Minimum Free Energy Path in CV space.","method|algorithm","yes","135337,135341,135349,135437,135463,135844,135846,135850,135852,135880,136227,136694","13"
"asymmetric unit","asymmetric unit","The smallest part of a crystal structure from which the whole is generated by symmetry.","chemical entity|model","yes","78208,105442","2"
"asymmetric unit","asymmetric unit","The smallest part of a crystal structure generated by symmetry operations.","chemical entity|model","yes","78208,105442","2"
"Atom Type","atom type","A label defining an atom's force field parameters","identifier|model","yes","4750,4754,4791,4801,4808,4810,4823,4825,4860,4861,4862,4864,4867,4868,4869,4905,4941,6620,7598,7810,8065,8239,8597,8601,8623,8648,8652,33525,37133,37156,37179,37206,37369,48558,51018,51022,59899,59910,59927,59945,64168,64177,64204,64205,64206,64207,64208,65997,66009,72922,75862,78286,78306,81956,81957,81962,81969,82089,82103,82852,82861,83229,83334,84254,84257,84273,84276,84443,84450,84521,84566,84605,84625,84626,86407,86479,88400,88522,88548,89171,89706,89732,89734,90232,90735,90843,90899,90909,91357,91499,91544,91549,91550,91633,91637,92321,92339,92367,92371,92400","125"
"Atom Type","type","A string property defining the AMBER force field atom type","identifier","yes","2190,2556,3146,4522,4750,4754,4755,4791,4801,4808,4810,4823,4825,4860,4861,4862,4864,4867,4868,4869,4905,4941,6620,6621,7598,7810,8065,8239,8597,8601,8603,8610,8613,8623,8648,8652,14647,15916,15939,15942,16073,16112,18080,20702,21013,21037,23140,23148,23788,24561,28035,28800,29514,29721,31107,31784,32140,33525,35536,37133,37156,37179,37206,37368,37369,44467,44645,44693,44938,45214,46131,46601,46919,46929,47692,48006,48558,48765,48906,49199,50837,51018,51022,52422,52700,52991,53008,53041,53427,53428,53432,53809,53811,54142,54261,54279,54471,54542,54878,54896","601"
"Surface Offset","b","Offset parameter in the nonpolar solvation energy calculation","measure|model","yes","2651,5352,5364,8455,8556,8558,8560,9573,9584,9610,9625,9651,9666,9697,9821,10454,11153,11378,11391,12273,12279,15484,15489,17940,20481,20494,20507,20511,20516,20531,20536,20542,20547,20551,20558,20562,20987,21010,21021,21046,21171,21183,21195,21207,21219,21231,21243,21255,21267,21279,21304,21309,21320,21332,21344,21356,21368,22553,22568,22569,22570,22906,23115,23153,31342,31362,31384,31487,31497,31614,32322,32340,32362,32507,32684,32704,32734,32795,35773,35774,37721,43117,43134,44858,44863,44901,45016,45112,45680,45717,48355,48401,48420,51119,51127,51541,51761,51782,52043,52060","276"
"bridge function","b","A term in the closure relation representing complex many-body correlations","model|measure","yes","2651,5352,5364,8455,8556,8558,8560,9573,9584,9610,9625,9651,9666,9697,9821,10454,11153,11378,11391,12273,12279,15484,15489,17940,20481,20494,20507,20511,20516,20531,20536,20542,20547,20551,20558,20562,20987,21010,21021,21046,21171,21183,21195,21207,21219,21231,21243,21255,21267,21279,21304,21309,21320,21332,21344,21356,21368,22553,22568,22569,22570,22906,23115,23153,31342,31362,31384,31487,31497,31500,31537,31542,31614,32322,32340,32362,32507,32684,32704,32734,32795,35773,35774,37721,43117,43134,44858,44863,44901,45016,45112,45680,45717,48355,48401,48420,51119,51127,51541,51761","279"
"bb","bb","Input variable for the group transfer free energy of the backbone","identifier|measure","yes","21579,21593,21785,21804,21809","6"
"bb","bb","Input variable for the group transfer free energy of the backbone","identifier|measure","yes","21579,21593,21785,21804,21809","6"
"bcopt","bcopt","Option for the boundary condition of the PB calculation","identifier","yes","23444,25264,25282,25528,25533,25648,27145,27175,27356,27477,27590,27648,28127,29876,29888,30174,30184,30191,30193,30195,30243,30325,31052,192309","24"
"bcopt","bcopt","Option for the boundary condition of the PB calculation","identifier","yes","23444,25264,25282,25528,25533,25648,27145,27175,27356,27477,27590,27648,28127,29876,29888,30174,30184,30191,30193,30195,30243,30325,31052,192309","24"
"Bennett Acceptance Ratio","BAR","A method for calculating free energy differences between two states","method|algorithm","yes","4883,4885,4915,4917,6020,6041,6062,6210,6240,6252,6272,6303,6324,6345,6462,6483,6504,15522,21396,21425,21447,21471,21487,21520,25045,25058,25152,25169,25408,25425,32569,32583,58114,58117,71190,71193,73468,73489,73493,73858,74057,97507,97564,104020,104022,104138,104140,104296,104298,104336,104338,104685,104687,109685,109961,109992,129001,140195,141542,141560,141578,141596,141616,141634,141652,141670,141699,141737,141755,141773,141791,141820,141838,141856,141885,141912,141932,141950,141968,141986,142015,142033,142051,142080,142098,142116,142145,142172,142192,142210,142228,142246,142275,142293,142311,142340,142358,142376,142405,142423","221"
"Bennett Acceptance Ratio","Bennett Acceptance Ratio","A statistical method for computing free energy differences from simulations.","method|algorithm","yes","140195,148225,214337","3"
