"Term","Variable","Description","Category1|Category2|...","really found?","page_numbers","occurrence_count","removal_reason"
"Autocorrelation function","autocorrelation function","A function that measures the correlation of a signal with a delayed copy of itself","measure","yes","131,136,161,162,163,168,170,213,263,285,304,314,321,322,541,566,567,568,569,575,594","33","Lower-priority member of semantic cluster led by row 26 (Champion: 'Autocorrelation function')"
"AVX 512 detection code","Fix error in AVX 512 detection code","A fix for a typo in the CMake code for AVX-512 detection","software","yes","845","1","Lower-priority member of semantic cluster led by row 28 (Champion: 'AVX 512 detection code')"
"AWH (Adaptive Weight Histogram)","awh","An adaptive biasing method to explore free energy landscapes","method|algorithm","no","","0","Lower-priority member of semantic cluster led by row 31 (Champion: 'Accelerated Weight Histogram')"
"AWH FEP dimension","AWH FEP dimension","A bug in grompp checks of AWH settings when sampling a free-energy dimension was fixed","method","no","","0","Lower-priority member of semantic cluster led by row 32 (Champion: 'AWH FEP dimension')"
"AWH FEP dimension","AWH FEP dimension","A bug in grompp checks of AWH settings when sampling a free-energy dimension was fixed","method","no","","0","Lower-priority member of semantic cluster led by row 32 (Champion: 'AWH FEP dimension')"
"AWH user PMF","AWH user PMF","A feature to provide a user-defined PMF as input, with a fix for large values","data source","yes","799","1","Lower-priority member of semantic cluster led by row 35 (Champion: 'AWH user PMF')"
"AWH with pull-geometry 'direction' periodic","Fix issues with AWH with pull-geometry 'direction' to be periodic","A fix to make this pull geometry periodic and clarify documentation","software","no","","0","Lower-priority member of semantic cluster led by row 37 (Champion: 'AWH with pull-geometry 'direction' periodic')"
"awh-potential = convolved","awh-potential = convolved","A combination of AWH with a pull dimension that was disabled","identifier","yes","806","1","Lower-priority member of semantic cluster led by row 40 (Champion: 'awh-potential = convolved')"
"awh-potential = convolved","awh-potential = convolved","A combination of AWH with a pull dimension that was disabled in grompp due to incorrectness","identifier","yes","806","1","Lower-priority member of semantic cluster led by row 40 (Champion: 'awh-potential = convolved')"
"Barostat","pcoupl","The algorithm used for pressure control (barostat)","identifier|algorithm","yes","45,65,391,392,394,395,495,736,775,807,808,830","20","Lower-priority member of semantic cluster led by row 42 (Champion: 'Barostat')"
"baseversion-gen.cpp","baseversion-gen.cpp","A generated source file providing version information","data format","yes","652","1","Lower-priority member of semantic cluster led by row 44 (Champion: 'baseversion-gen.cpp')"
"Bennett's acceptance ratio (BAR)","Bennett's acceptance ratio method","A method for calculating free energy differences between two states","method|algorithm","no","","0","Lower-priority member of semantic cluster led by row 46 (Champion: 'Bennett's Acceptance Ratio (BAR)')"
"Berendsen barostat","Berendsen","A barostat that weakly couples the system to a pressure bath","algorithm|model","no","","0","Lower-priority member of semantic cluster led by row 49 (Champion: 'Berendsen thermostat')"
"Berendsen coupling algorithms","Berendsen coupling algorithms","Thermostat and barostat methods whose use is now further discouraged with warnings","method|algorithm","yes","796","1","Lower-priority member of semantic cluster led by row 50 (Champion: 'Berendsen coupling')"
"Berendsen coupling algorithms","Berendsen coupling algorithms","Thermostat and barostat methods whose use is now further discouraged by changing notes to warnings in grompp","method|algorithm","yes","796","1","Lower-priority member of semantic cluster led by row 50 (Champion: 'Berendsen coupling')"
"Boltzmann inversion","Bolzmann inverting","A method to derive a potential of mean force from a probability distribution","method","yes","463","1","Lower-priority member of semantic cluster led by row 53 (Champion: 'Boltzmann inversion')"
"Bonded interactions on CUDA GPU","Bonded interactions are now supported for CUDA GPU offload","A feature to run common bonded and LJ-14 interactions on NVIDIA GPUs with CUDA","method|software","no","","0","Lower-priority member of semantic cluster led by row 55 (Champion: 'Bonded interactions on CUDA GPU')"
"Bonded lambda vector","bonded-lambdas","An mdp keyword for lambda values for bonded interactions","identifier|measure","no","","0","Lower-priority member of semantic cluster led by row 58 (Champion: 'Bonded lambdas')"
"Boost","Boost","A set of C++ libraries, for which the bundled version is now always used","software","yes","97,749,754","5","Lower-priority member of semantic cluster led by row 59 (Champion: 'Boost')"
"Buckingham potential","Buckingham potentials","An exponential-6 potential for non-bonded interactions","model","yes","278,416","4","Lower-priority member of semantic cluster led by row 61 (Champion: 'Buckingham potential')"
"buildinfo.h","buildinfo.h","A generated header file containing build environment information","data format","yes","652,664","2","Lower-priority member of semantic cluster led by row 63 (Champion: 'buildinfo.h')"
"Bundle muparser","Bundle muparser","GROMACS now bundles the muParser library","software","yes","794","1","Lower-priority member of semantic cluster led by row 66 (Champion: 'Bundle muparser')"
"C-rescale barostat","C-rescale barostat","A pressure coupling method that rescales coordinates","method|algorithm","yes","45,775","3","Lower-priority member of semantic cluster led by row 42 (Champion: 'Barostat')"
"C6/C12 parameters","C6/C12","Alternative parameters for the Lennard-Jones potential","model","no","","0","Lower-priority member of semantic cluster led by row 68 (Champion: 'C6/C12 parameters')"
"CamelCase","CamelCase","A naming convention where words are joined without spaces, with each word's first letter capitalized","identifier","yes","666,667","2","Lower-priority member of semantic cluster led by row 70 (Champion: 'CamelCase')"
"Chain separator","chainsep","An option in pdb2gmx to define how to separate chains in a PDB file","software","no","","0","Lower-priority member of semantic cluster led by row 72 (Champion: 'Chain separator')"
"Change Management","Change Management","The process and tools used for managing revisions to the source code","process","yes","9,640,652,653,654,655,656,657","11","Lower-priority member of semantic cluster led by row 74 (Champion: 'Change Management')"
"CHARMM","CHARMM","A widely used family of molecular dynamics force fields","model","yes","3,44,51,354,420,425,462,473,590,592,737,781,819,830,840,846,854,855,873,875,886,907","30","Lower-priority member of semantic cluster led by row 77 (Champion: 'CHARMM')"
"CHARMM force field","CHARMM","A force field for biomolecular simulation","model|data source","yes","51,425,462,592,830,846,855","8","Lower-priority member of semantic cluster led by row 77 (Champion: 'CHARMM')"
"CHARMM27 force field","CHARMM27","A specific all-atom force field, often with CMAP corrections","model|data source","yes","51,778,781","3","Lower-priority member of semantic cluster led by row 79 (Champion: 'CHARMM27')"
"check target","check","A build target that builds and runs all tests","software","yes","36,708","2","Lower-priority member of semantic cluster led by row 81 (Champion: 'check target')"
"check-source target","check-source","A build target that runs static analysis scripts on the source code","software","yes","662,699,700,702","4","Lower-priority member of semantic cluster led by row 83 (Champion: 'check-source target')"
"checkpoint files out of sync","Fix checkpoint files getting out of sync with simulations sharing data","A fix to add an MPI barrier before renaming checkpoint files to prevent them from getting out of sync","software","no","","0","Lower-priority member of semantic cluster led by row 85 (Champion: 'checkpoint files out of sync')"
"checkpoint restart","Fix checkpoint restart with non-zero initial step","A fix for ignoring the init-step mdp parameter on restart","software","yes","825,849,856","3","Lower-priority member of semantic cluster led by row 1268 (Champion: 'Checkpoint File')"
"checkpoint restart","Fix checkpoint restart with non-zero initial step","A fix for ignoring the init-step mdp parameter on restart","software","yes","825,849,856","3","Lower-priority member of semantic cluster led by row 1268 (Champion: 'Checkpoint File')"
"clang-format","clang-format","An automatic source code formatting tool used by GROMACS","software","yes","663,664,702,703,704,705,706,707","43","Lower-priority member of semantic cluster led by row 89 (Champion: 'clang-format')"
"clFFT fallback","disabled internal cIFFT fallback used for OpenCL support","A fix to issue a fatal error when the bundled clFFT cannot be built with MSVC","software","yes","847","1","Lower-priority member of semantic cluster led by row 91 (Champion: 'clFFT fallback')"
"CMake toolchain file","gromacs-toolchain.cmake","A removed file for helping configure client builds, replaced by a hints file","data format","yes","794","1","Lower-priority member of semantic cluster led by row 93 (Champion: 'CMake toolchain file')"
"Code Review","Code Review","The process of having other developers review code changes for correctness and quality","process","yes","9,639,640,654,668,672","8","Lower-priority member of semantic cluster led by row 95 (Champion: 'Code Review')"
"Colvars active","colvars-active","An mdp option to enable the Colvars module","identifier","no","","0","Lower-priority member of semantic cluster led by row 97 (Champion: 'Collective variables (Colvars)')"
"COM removal with frozen atoms","Fix center of mass motion removal with frozen atoms","A fix to correctly remove completely frozen atoms from COM removal groups in grompp","software","no","","0","Lower-priority member of semantic cluster led by row 99 (Champion: 'COM removal with frozen atoms')"
"Combined bending-torsion potential","Combined bending-torsion potential","A potential that couples bending and torsional motions","model","yes","430,431,481","3","Lower-priority member of semantic cluster led by row 102 (Champion: 'Combined bending-torsion potential')"
"completion target","completion","A build target that generates shell command-line completions","software","no","","0","Lower-priority member of semantic cluster led by row 103 (Champion: 'completion target')"
"Computational Electrophysiology","CompEL","A protocol for simulating ion flux across membranes","method|protocol","yes","7,90,224,342,534,535,593,904","12","Lower-priority member of semantic cluster led by row 106 (Champion: 'Computational Electrophysiology')"
"cond","\cond","A Doxygen command to conditionally exclude a block of documentation","software","yes","677,678,680,684,685,686","16","Lower-priority member of semantic cluster led by row 107 (Champion: 'cond')"
"config.h","config.h","A generated header file containing defines for conditional compilation","data format","yes","643,652,664,700","11","Lower-priority member of semantic cluster led by row 109 (Champion: 'config.h')"
"configure_file","configure_file()","A CMake command that generates a file from a template, substituting variables","software","yes","652","1","Lower-priority member of semantic cluster led by row 111 (Champion: 'configure_file')"
"Connolly surface","Connolly surface","A type of molecular surface representation, also known as the solvent-excluded surface","model","yes","268,269","2","Lower-priority member of semantic cluster led by row 113 (Champion: 'Connolly surface')"
"Constraint algorithm","Constraint algorithms","An algorithm used to keep bond lengths and/or angles fixed","algorithm|method","yes","123,380,397,411,854","5","Lower-priority member of semantic cluster led by row 118 (Champion: 'Constraints')"
"Constraint algorithm","constraint-algorithm","A parameter specifying the algorithm to use for constraints","identifier","yes","123,380,397,411,854","5","Lower-priority member of semantic cluster led by row 118 (Champion: 'Constraints')"
"Constraint type","constraints","A parameter specifying which bonds should be constrained","identifier","yes","470","1","Lower-priority member of semantic cluster led by row 118 (Champion: 'Constraints')"
"Continuous Integration","CI","The practice of automatically testing code changes as they are integrated","process","yes","38,653,702,703","4","Lower-priority member of semantic cluster led by row 119 (Champion: 'Continuous Integration')"
"Delta H with mass lambda's","Correct free-energy Delta H output with mass lambda's","A fix for double-counting mass perturbation contributions in BAR calculations","measure","no","","0","Lower-priority member of semantic cluster led by row 121 (Champion: 'Delta H output with mass lambda's')"
"Coupling parameter","λ","A parameter that couples the A and B states","measure|state","yes","96,406,515,538","4","Lower-priority member of semantic cluster led by row 123 (Champion: 'Coupling parameter')"
"CP2K","CP2K","A quantum chemistry and solid state physics software package","software","yes","7,32,33,93,544,545,546,547,595,695,738,784,816","66","Lower-priority member of semantic cluster led by row 125 (Champion: 'CP2K')"
"Cromer's method","Cromer's method","A method for calculating atomic scattering factors for X-rays","method","no","","0","Lower-priority member of semantic cluster led by row 127 (Champion: 'Cromer's method')"
"CUDA 11.0","CUDA 11.0 supported","A fix to enable building and testing with CUDA 11.0","software","yes","822","3","Lower-priority member of semantic cluster led by row 129 (Champion: 'CUDA 11.0')"
"CUDA Graphs for GPU-resident Steps","CUDA Graphs for GPU-resident Steps","A feature to launch GPU activities as a single graph for performance","method|software","yes","766","1","Lower-priority member of semantic cluster led by row 133 (Champion: 'CUDA Graphs for GPU-resident Steps')"
"CUDA Graphs for GPU-resident Steps","CUDA Graphs for GPU-resident Steps","A feature to launch GPU activities as a single graph, improving performance","method|software","yes","766","1","Lower-priority member of semantic cluster led by row 133 (Champion: 'CUDA Graphs for GPU-resident Steps')"
"CUDA Graphs for GPU-resident Steps","CUDA Graphs for GPU-resident Steps","A new CUDA feature to launch GPU activities as a single graph, offering performance advantages","method|software","yes","766","1","Lower-priority member of semantic cluster led by row 133 (Champion: 'CUDA Graphs for GPU-resident Steps')"
"cuFFT","cuFFT","The CUDA FFT library for GPU-accelerated FFTs","software","yes","21,22,729","4","Lower-priority member of semantic cluster led by row 136 (Champion: 'cuFFT')"
"Cumulative number RDF","cumulative number RDF","The integral of the RDF, representing the average number of particles within a distance r","measure","yes","255","1","Lower-priority member of semantic cluster led by row 137 (Champion: 'Cumulative number RDF')"
"Cutoff scheme","cutoff-scheme","The method used for treating long-range interactions (e.g., Verlet)","identifier","yes","348,738,846,852","5","Lower-priority member of semantic cluster led by row 140 (Champion: 'Neighbor searching')"
"Cygwin","Cygwin","A POSIX-compatible environment for Windows, for which compilation was fixed","software","yes","807,814","3","Lower-priority member of semantic cluster led by row 143 (Champion: 'Cygwin')"
"Cygwin","Cygwin","A POSIX-like environment for Windows, for which compilation was fixed","software","yes","807,814","3","Lower-priority member of semantic cluster led by row 143 (Champion: 'Cygwin')"
"Cygwin","Cygwin","A POSIX-like environment for Windows, for which a compilation issue was fixed","software","yes","807,814","3","Lower-priority member of semantic cluster led by row 143 (Champion: 'Cygwin')"
"Debye formula","Debye formula","A formula to calculate scattering intensity from a set of atomic coordinates","model","yes","267","1","Lower-priority member of semantic cluster led by row 145 (Champion: 'Debye formula')"
"defgroup","\defgroup","A Doxygen command to define a new documentation group","software","yes","678,679,686,700","9","Lower-priority member of semantic cluster led by row 147 (Champion: 'defgroup')"
"Demultiplexing","demux","The process of separating a single data stream into its original independent streams","process","no","","0","Lower-priority member of semantic cluster led by row 149 (Champion: 'Demultiplexing')"
"Density-guided simulations","density-guided-simulation-active","Simulations guided by an experimental density map (e.g., from cryo-EM)","method","yes","91,93,553,554,555,556,808,829,830","18","Lower-priority member of semantic cluster led by row 151 (Champion: 'Density-guided simulations')"
"Density-guided simulation active","density-guided-simulation-active","An mdp option to enable density-guided simulations","identifier","no","","0","Lower-priority member of semantic cluster led by row 151 (Champion: 'Density-guided simulations')"
"density-guided-simulation-shift-vector","density-guided-simulation-shift-vector","An mdp option to shift the simulation group before density force evaluation","identifier","yes","93,808","2","Lower-priority member of semantic cluster led by row 156 (Champion: 'density-guided-simulation-shift-vector')"
"density-guided-simulation-shift-vector","density-guided-simulation-shift-vector","A new mdp option to shift the simulation group before density force evaluation","identifier","yes","93,808","2","Lower-priority member of semantic cluster led by row 156 (Champion: 'density-guided-simulation-shift-vector')"
"density-guided-simulation-shift-vector","density-guided-simulation-shift-vector","A new mdp option that defines a shift vector for the density-guided simulation group","identifier","yes","93,808","2","Lower-priority member of semantic cluster led by row 156 (Champion: 'density-guided-simulation-shift-vector')"
"density-guided-simulation-transformation-matrix","density-guided-simulation-transformation-matrix","An mdp option to apply a matrix transformation to coordinates","identifier","yes","93,721,783,808","4","Lower-priority member of semantic cluster led by row 160 (Champion: 'density-guided-simulation-transformation-matrix')"
"density-guided-simulation-transformation-matrix","density-guided-simulation-transformation-matrix","A new mdp option to apply a matrix transformation to coordinates","identifier","yes","93,721,783,808","4","Lower-priority member of semantic cluster led by row 160 (Champion: 'density-guided-simulation-transformation-matrix')"
"density-guided-simulation-transformation-matrix","density-guided-simulation-transformation-matrix","A new mdp option that allows defining a matrix to transform structure coordinates","identifier","yes","93,721,783,808","4","Lower-priority member of semantic cluster led by row 160 (Champion: 'density-guided-simulation-transformation-matrix')"
"dep-graphs target","dep-graphs*","A build target that generates include dependency graphs","software","yes","701","1","Lower-priority member of semantic cluster led by row 162 (Champion: 'dep-graphs target')"
"Deuterium order parameter","deuterium order parameter","An order parameter (Scd) that can be related to NMR experiments on deuterated lipids","measure","yes","242","2","Lower-priority member of semantic cluster led by row 164 (Champion: 'Deuterium order parameter')"
"Development-time tools","Development-time tools","Tools used by developers for tasks like documentation generation and code checking","software","yes","9,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711","39","Lower-priority member of semantic cluster led by row 166 (Champion: 'Development-time tools')"
"Diffusion constant","diffusion constant","A measure of the rate of diffusion of a substance","measure","yes","48,78,233,234,524","6","Lower-priority member of semantic cluster led by row 168 (Champion: 'Diffusion constant')"
"Dispersion correction type","DispCorr","The type of long-range dispersion correction to apply","identifier","no","","0","Lower-priority member of semantic cluster led by row 172 (Champion: 'Dispersion correction')"
"Dispersion correction","DispCorr","A correction for the truncation of long-range van der Waals interactions","method|model","yes","51,54,457,459,460,726,736,750,821,828","14","Lower-priority member of semantic cluster led by row 172 (Champion: 'Dispersion correction')"
"Distance matrix","distance matrices","A matrix containing the distances between pairs of residues or atoms","data format","yes","572","1","Lower-priority member of semantic cluster led by row 173 (Champion: 'Distance matrix')"
"dlopen error","dlopen","An error indicating a problem with dynamic linking of shared libraries","state","no","","0","Lower-priority member of semantic cluster led by row 175 (Champion: 'dlopen')"
"Documentation flavors","Documentation flavors","Different levels of Doxygen documentation generated (e.g., user, lib, full, dev)","identifier","yes","676,680","2","Lower-priority member of semantic cluster led by row 177 (Champion: 'Documentation flavors')"
"Documentation generation","Documentation generation","The process of building the GROMACS documentation from various sources","process","yes","9,24,661,662","5","Lower-priority member of semantic cluster led by row 179 (Champion: 'Documentation generation')"
"Domain Decomposition","Domain decomposition","A parallelization strategy that divides the simulation box among processors","algorithm|method","yes","7,68,69,98,101,103,108,109,110,112,116,125,229,343,344,347,409,410,411,412,413,414,495,720,721,723,724,731,755,758,762,772,773,775,777,785,786,787,800,803,805,818,819,820,821,824,826,827,831,838,840,842,846,849,850,860,861,868,871,879,881,884,885,888,889,899,900,904,908","126","Lower-priority member of semantic cluster led by row 181 (Champion: 'Domain Decomposition')"
"Doxygen","Doxygen","A tool for generating documentation from annotated source code","software","yes","9,506,563,633,638,640,641,644,650,651,652,661,662,663,665,675,676,677,678,679,680,681,682,683,684,685,686,687,695,696,698,699,700,701,709,714","145","Lower-priority member of semantic cluster led by row 183 (Champion: 'Doxygen')"
"Doxygen groups","Doxygen groups","A Doxygen feature used to organize documentation into logical modules","software","yes","678","3","Lower-priority member of semantic cluster led by row 185 (Champion: 'Doxygen groups')"
"doxygen-all target","doxygen-all","A build target that generates all flavors of Doxygen documentation","software","yes","651,676","2","Lower-priority member of semantic cluster led by row 187 (Champion: 'doxygen-all target')"
"Dynamic selections","dynamic selections","Selections of atoms that can change over the course of a trajectory","method","yes","273,289,561,725","6","Lower-priority member of semantic cluster led by row 189 (Champion: 'Dynamic selections')"
"Einstein relation (viscosity)","Einstein relation","A method to compute viscosity from the mean-square displacement of the pressure tensor","method","no","","0","Lower-priority member of semantic cluster led by row 192 (Champion: 'Einstein relation for viscosity')"
"Einstein relation (diffusion)","Einstein relation","A formula that relates the diffusion constant to the mean square displacement","method","no","","0","Lower-priority member of semantic cluster led by row 192 (Champion: 'Einstein relation for viscosity')"
"Einstein relation (diffusion)","Einstein relation","A formula that relates the diffusion constant to the mean square displacement","method","no","","0","Lower-priority member of semantic cluster led by row 192 (Champion: 'Einstein relation for viscosity')"
"Electric field","electric-field-x","An external electric field applied to the system","model","yes","89,368,386,534,535,578,819","26","Lower-priority member of semantic cluster led by row 196 (Champion: 'Electric field')"
"Ellipticity","Ellipticity","A measure of the circular dichroism signal, often used to characterize helices","measure","yes","214","1","Lower-priority member of semantic cluster led by row 197 (Champion: 'Ellipticity')"
"End-to-end distance","end-to-end distance","The distance between the first and last atom of a polymer chain","measure","yes","250","2","Lower-priority member of semantic cluster led by row 199 (Champion: 'End-to-end distance')"
"Enforced Rotation","Enforced Rotation","A GROMACS module to enforce rotation on a group of atoms","method|software","yes","7,79,109,525,532,754,862,892","11","Lower-priority member of semantic cluster led by row 202 (Champion: 'Enforced rotation')"
"Error handling","Error handling","The approach and guidelines for managing runtime errors in GROMACS","process","yes","9,668,670,673,674,675","10","Lower-priority member of semantic cluster led by row 203 (Champion: 'Error handling')"
"Essential Dynamics (ED)","Essential Dynamics (ED)","A method to analyze and sample the large-scale collective motions of a system","method","yes","221","1","Lower-priority member of semantic cluster led by row 205 (Champion: 'Essential Dynamics (ED)')"
"Euler rotations","Euler rotations","A method to describe the orientation of a rigid body using three angles","method","yes","215","1","Lower-priority member of semantic cluster led by row 207 (Champion: 'Euler rotations')"
"Ewald dipole correction","Ewald dipole correction incorrect without domain decomposition","A fix to disable this correction when not using domain decomposition, as it was incorrect","method","yes","824","2","Lower-priority member of semantic cluster led by row 209 (Champion: 'Ewald dipole correction')"
"Ewald summation","Ewald summation","A method for calculating long-range interactions in periodic systems","algorithm|method","yes","58,63,69,70,161,420,454,455,456,460","13","Lower-priority member of semantic cluster led by row 211 (Champion: 'Ewald summation')"
"Expanded Ensemble","Expanded ensemble","A simulation method for enhanced sampling of conformational space","method|algorithm","yes","2,7,39,81,85,86,87,88,409,508,589,723,730,762,772,785,819,824,851,858","48","Lower-priority member of semantic cluster led by row 215 (Champion: 'Expanded ensemble')"
"Expanded Ensemble","expanded","A simulation where the alchemical state is a dynamic variable","method|algorithm","yes","2,7,39,81,85,86,87,88,409,508,589,723,730,762,772,785,819,824,851,858","48","Lower-priority member of semantic cluster led by row 215 (Champion: 'Expanded ensemble')"
"Expanded ensemble restarts","Expanded ensemble simulations restarted from checkpoints","A fix for a bug where restarted expanded ensemble simulations would not run","software","no","","0","Lower-priority member of semantic cluster led by row 216 (Champion: 'Expanded ensemble restarts')"
"FEP using AWH","FEP using AWH","A new feature to control a free-energy lambda state with AWH","method","yes","808","1","Lower-priority member of semantic cluster led by row 220 (Champion: 'FEP using AWH')"
"FEP using AWH","FEP using AWH","A new feature allowing control of a free-energy lambda state with the AWH method","method","yes","808","1","Lower-priority member of semantic cluster led by row 220 (Champion: 'FEP using AWH')"
"FEP using AWH","FEP using AWH","A new feature that allows controlling the lambda state of a free energy perturbation with AWH","method","yes","808","1","Lower-priority member of semantic cluster led by row 220 (Champion: 'FEP using AWH')"
"FEP with modular simulator and DD","Bug fix for FEP calculations with modular simulator and domain decomposition","A fix for incorrect mass handling in FEP calculations with this setup","software","no","","0","Lower-priority member of semantic cluster led by row 222 (Champion: 'FEP with modular simulator and DD')"
"FFTW","FFTW","A library for computing the Fast Fourier Transform","software","yes","15,21,22,27,37,47,115,642,647,648,730,830,845,854,865,883,892,895,900,917","53","Lower-priority member of semantic cluster led by row 225 (Champion: 'FFTW')"
"Flooding potential","flooding potential","A biasing potential used in ED sampling to enhance exploration of conformational space","model","yes","222,223,408","5","Lower-priority member of semantic cluster led by row 226 (Champion: 'Flooding potential')"
"Force Field","Force field","A set of parameters for the potential energy of a system","model","yes","5,6,7,44,45,50,51,52,62,63,70,108,117,118,119,120,122,185,218,241,246,248,279,310,341,342,351,352,353,354,355,356,357,365,371,376,416,421,423,425,427,428,431,432,441,443,449,457,460,461,462,463,464,465,471,473,476,477,484,485,486,489,491,492,495,498,503,505,541,544,545,558,590,591,592,725,778,781,790,830,845,846,850,853,855","191","Lower-priority member of semantic cluster led by row 229 (Champion: 'Force Field')"
"Fourier dihedral potential","Fourier dihedral","A dihedral potential expressed as a Fourier series","model","no","","0","Lower-priority member of semantic cluster led by row 230 (Champion: 'Fourier Dihedral')"
"g(r) function","g(r) function","The pair correlation function, equivalent to the radial distribution function","measure","yes","267","2","Lower-priority member of semantic cluster led by row 232 (Champion: 'g(r) function')"
"g_membed","g_membed","A legacy GROMACS tool for embedding a protein into a membrane","software","yes","227,353,552,594","5","Lower-priority member of semantic cluster led by row 235 (Champion: 'g_membed')"
"Gaussian98 cube format","Gaussian98 cube format","A file format for storing volumetric data, such as electron density","data format","yes","282","1","Lower-priority member of semantic cluster led by row 236 (Champion: 'Gaussian98 cube format')"
"Pair generation parameter","gen-pairs","Parameter controlling the generation of 1-4 interaction parameters","identifier","no","","0","Lower-priority member of semantic cluster led by row 238 (Champion: 'Generate pairs option')"
"Gibbs free energy landscape","Gibbs free energy landscapes","A plot of the Gibbs free energy as a function of one or more collective variables","model","no","","0","Lower-priority member of semantic cluster led by row 240 (Champion: 'Gibbs free energy landscape')"
"git commit --amend","git commit --amend","A git command to modify the most recent commit","software","yes","657,658,706","4","Lower-priority member of semantic cluster led by row 242 (Champion: 'git commit --amend')"
"git commit --fixup","git commit --fixup","A git command to create a commit that will be squashed into an earlier commit","software","yes","657","1","Lower-priority member of semantic cluster led by row 244 (Champion: 'git commit --fixup')"
"git rebase","git rebase","A git command to re-apply commits on top of another base tip","software","yes","656,657,658","17","Lower-priority member of semantic cluster led by row 246 (Champion: 'git rebase')"
"git stash","git stash","A git command to temporarily store modified tracked files","software","yes","657","2","Lower-priority member of semantic cluster led by row 248 (Champion: 'git stash')"
"gitlab","gitlab","The web-based Git repository manager used for GROMACS development","software","yes","38,52,362,461,615,616,623,639,640,649,653,654,676,688,689,690,691,692,693,694,696,708,802,918","111","Lower-priority member of semantic cluster led by row 250 (Champion: 'gitlab')"
"GitLab CI Pipeline","GitLab CI Pipeline","A set of automated jobs for testing and building software in GitLab","process","yes","688","1","Lower-priority member of semantic cluster led by row 252 (Champion: 'GitLab CI Pipeline')"
"GitLab CI Variables","Variables","Environment variables used to control the behavior of GitLab CI jobs and scripts","identifier","no","","0","Lower-priority member of semantic cluster led by row 254 (Champion: 'GitLab CI Variables')"
"GitLab Container Registry","GitLab Container Registry","A private Docker image registry integrated with GitLab","data source","yes","688,693","3","Lower-priority member of semantic cluster led by row 256 (Champion: 'GitLab Container Registry')"
"GitLab Runner","GitLab Runner","The application that runs jobs in a GitLab CI/CD pipeline","software","yes","38,688,691","7","Lower-priority member of semantic cluster led by row 258 (Champion: 'GitLab Runner')"
"Global templates","Global templates","Reusable job definitions and configuration snippets for GitLab CI","data format","yes","690","1","Lower-priority member of semantic cluster led by row 260 (Champion: 'Global templates')"
"gmx anadock","gmx anadock tool was removed","A tool for analyzing AutoDock outputs that was removed","software","yes","834","2","Lower-priority member of semantic cluster led by row 262 (Champion: 'gmx anadock')"
"Eigenvector analysis tool","gmx anaeig","A GROMACS tool for analyzing the results of a covariance analysis","software","no","","0","Lower-priority member of semantic cluster led by row 265 (Champion: 'gmx anaeig')"
