"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count"
"Closest Action","closest","An action to find atoms within a certain distance.","method|process","yes","229,1233,1354,20681,20690,24147,24151,25224,25228,25233,25267,25314,25330,25402,25442,25443,25456,25464,30207,43668,47295,47489,49935","24"
"Stripped Topology File","stripped topology file","A topology file corresponding to a structure after atom removal.","data format","yes","232,41436","2"
"Interactive Mode","interactive mode","A command-line shell mode for running cpptraj commands sequentially.","method|state","yes","382,565,573,831,870,878,883,913,12567,13479","10"
"Batch Mode","batch mode","A mode for executing a pre-written script of cpptraj commands.","method|state","yes","390,842","2"
"Topology File","topology file","A file defining the molecular structure and force field parameters.","data format","yes","232,448,642,974,13652,13657,14350,15995,16927,16978,16979,16980,23090,23111,25370,28191,28256,28260,28699,28734,29523,32975,35338,36100,36127,36154,38977,39085,39092,41436,41457,51741,53190","33"
"Parameter/Topology File Keyword","parm","Keyword used to specify a topology (parameter) file.","identifier","yes","643,901,905,2130,2134,2138,2142,2150,2154,2213,2334,2399,2672,2725,6347,6367,6371,6889,7852,7865,8823,9052,9177,9181,9189,9193,9270,9325,10208,12223,12467,12524,13231,13291,13386,14042,14341,14548,14557,14654,14659,14769,14778,14875,14880,14935,14993,15380,15385,15436,15446,15510,15520,15636,15645,15716,15726,15791,15797,15848,15853,15947,15951,15956,16101,16265,16278,16375,16379,16409,16432,16471,16497,16514,16622,16627,16693,16702,16828,16854,16875,16880,16904,16920,16921,16922,16936,18104,18158,18253,18303,18323,18383,18426,18483,18532,18600,18756,18760,18764","171"
"Queued Command","Queued commands","Commands that are set up but executed later.","method|state","yes","661,681","2"
"Immediate Command","Immediate commands","Commands that are executed as soon as they are encountered.","method|state","yes","660","1"
"Action","Action","A command that performs an operation on coordinate frames.","method|process","yes","191,214,749,975,1104,1897,1907,2121,2122,2156,2866,2981,3019,4161,4214,6275,6276,6483,6543,6908,6913,7102,10147,12511,12700,12710,16190,16373,16447,18240,19157,19159,19325,19331,19970,20008,20022,20029,20046,20047,20080,20083,20153,22722,25480,37439,37726,37918,39588,39610,39917,43358,43665,43831,43884,45800","58"
"Analysis","Analysis","A command that processes data generated from actions or files.","method|process","yes","754,1156,3905,3952,4140,5918,6259,6261,6319,9994,10208,11161,11242,12160,12223,12433,12511,12524,12604,12610,13409,13413,13414,13417,21815,25480,25484,26614,26703,27249,27317,27323,31929,31930,32184,34660,34785,38141,38158,38326,39588,39610,39904,41227,42821,43078,43084,43836,43863,43869,43894,43895,43896,43922,44110,44632,44690,44719,45285,45401,46371,46408,46441,47695,47891,48759,49327,49329,49344,49359,49388,49949,50710,50798,50821,50833,50877,51051,51103,51205,51225,51389,51419,51670,51920,52016,52930,53934,53935,53937,53946,54235,54369,54398,54419,54485,54668,54686,54875,54876","115"
"Trajectory Processing Run","Run","The main execution process of reading frames and applying actions.","process","yes","148,378,662,665,681,740,750,755,889,924,940,944,949,955,968,6326,6483,6543,6563,8480,8803,9685,9694,9774,9994,12197,12429,12680,12682,12686,12725,12727,12745,12753,12764,12768,12771,13413,13414,17996,18062,18082,18272,18499,19156,20052,23790,23845,24387,24399,24407,25118,26473,29722,30459,30466,30505,31614,32031,32686,32995,33022,33046,33050,33081,35492,35695,36542,39496,40263,41176,41253,42699,42719,43063,43844,46196,47000,47646,47892,48223,48233,49038,50026,51411,51415,51435,52257,52493,52911,53735,55889,55919,55968,55986,56001","99"
"Ensemble Processing","ensemble processing","Simultaneously processing corresponding frames from multiple trajectories.","method|process","yes","951,5304,19126","3"
"CUDA (Compute Unified Device Architecture)","CUDA","A parallel computing platform and API for NVIDIA GPUs.","software|method","yes","997,1002,1006,1007,1339,1343,1345,1346,1347,1348,1350,12773,25468,29656,38771,43676","19"
"Across-Trajectory Parallelism","across-trajectory parallelism","MPI strategy where trajectory frames are divided among processes.","method|algorithm","yes","1037,1104,1109,1134","4"
"Ensemble Trajectory Input","ensemble","Input mode for a collection of related trajectories.","data source|method","yes","167,951,999,1126,1130,1131,1132,1133,1135,1136,1137,1138,1144,4252,4260,5304,5363,9634,9914,12244,12245,13112,13113,13126,13127,13133,13135,17987,17996,18019,18082,18096,18100,18133,18145,18231,18240,18244,18248,18257,18265,18270,18272,18287,18311,18331,18351,18825,18848,19126,19994,34785,53951","55"
"Grid Inhomogeneous Solvation Theory (GIST)","gist","A method to analyze water thermodynamics in molecular simulations.","method|algorithm","yes","1112,1253,1362,21272,28822,28826,28831,29070,29106,29115,29125,29134,29143,29156,29200,29211,29394,29398,29490,29495,29500,29509,29513,29518,29522,29526,29531,29533,29535,29536,29560,29569,29580,29651,29655,29657,29693,29699,29720,29991,30085,30235,30236,30237,30238,30243,30245,30261,30269,30277,30285,30293,30305,30317,30332,30347,30361,30375,30387,30400,30404,30422,30459,30463,30466,30472,30493,30497,30509,30517,30523,30527,30532,30534,30541,30809,30829,30849,30914,30920,30926,30931,30933,31010,31015,31026,31031,31093","100"
"2D Root-Mean-Square Deviation","2drms/rms2d","Calculates pairwise RMSD between all frames of a trajectory.","method|measure","yes","1217","1"
"Atomic Correlation","atomiccorr","Calculates the correlation of atomic motions.","method|measure","yes","1221,20331,23433,23437,23533","5"
"Secondary Structure Assignment (DSSP)","dssp/secstruct","Assigns secondary structure elements (helix, sheet) to proteins.","method|algorithm","yes","1245","1"
"Potential Energy Calculation","energy","Calculates potential energy components for a molecular system.","method|measure","yes","1249,1443,3435,3446,3858,6563,7202,7304,21105,21125,21134,21491,25810,25836,25918,27584,27597,27601,27685,27698,27702,27706,27710,27715,27720,27725,27731,27732,27734,27740,27741,27752,27756,27819,27831,27836,27837,27838,27853,27857,27861,27865,27877,27881,27885,27889,27894,27904,27961,28043,28140,28144,28148,28152,28156,28160,28164,28168,28172,28177,28179,28191,28202,28214,28276,28938,28983,29246,29345,29349,29394,29398,29656,29676,29730,29731,29955,29965,29973,29986,29989,30009,30035,30057,30072,30093,30319,30334,30439,30449,30574,30813,30867,30873,30925,30957,31006,31011,31027,31037","133"
"Hydrogen Bond Analysis","hbond","Identifies and analyzes hydrogen bonds over a trajectory.","method|measure","yes","1257,4185,13538,20033,21330,31646,31649,31657,31662,31854,31862,32378,32403,32412,32421,32448,32869,32875,32990,32998,33018,33050,37266,51228,51238,51318,51389,51401,51411,51427,51431","32"
"Covariance Matrix","matrix","Calculates the covariance matrix of atomic fluctuations.","method|measure","yes","1273,5438,5592,5597,5601,5621,6786,9287,9288,9304,9320,9346,9354,9367,9384,9390,9392,9674,10661,11855,11873,11902,11931,11960,11989,12018,12047,12076,12301,12302,12338,12350,12357,18896,18918,18936,19790,19805,21630,21639,24447,24453,24776,24793,24801,24809,28933,29390,29720,31889,31899,31908,32016,34579,34583,34620,34660,34712,34724,34736,34756,34769,34777,34785,34805,34847,34871,34936,35026,35031,37105,37109,37651,37663,37717,37721,37756,37850,37860,37911,38129,38141,42821,42969,43875,43881,44313,44400,44409,44516,47127,47158,47966,48252,48256,48275,48307,48310,48318,48328","186"
"Radial Distribution Function","radial","Describes how density varies as a function of distance.","method|measure","yes","1281,1366,22098,22107,38463,38467,38472,38631,38652","9"
"Solvent Accessible Surface Area (SASA)","surf","Calculates the surface area of a molecule accessible to solvent.","method|measure","yes","1301,22532,35353,41544,41555,41560,41653,41661,41665","11"
"Water Shell Analysis","watershell","Analyzes water molecules within a specified distance of a solute.","method|measure","yes","1321,1358,22935,43574,43578","5"
"AKMA Units","AKMA system of units","A system of units (Angstrom, Kcal/mol, Mass, charge).","unit","yes","1378","1"
"Angstrom","Angstrom","A unit of length equal to 10^-10 meters.","unit","yes","1432,1532,15211,35284","4"
"Kilocalorie per mole","kcal/mol","A unit of molar energy commonly used in simulations.","unit","yes","1452,1532,14927,15211,30574,33177,33181,37613,37622,37709,37713,37727,41184,41185,41193,41194","16"
"Atomic Mass Unit","AMU","A unit of mass for expressing atomic and molecular weights.","unit","yes","1472,14742,15839","3"
"Elementary Charge","electron","The fundamental unit of electric charge.","unit","yes","1492,14738,15427,25939,26003,26005,26085,26121","9"
"Picosecond","ps","A unit of time equal to 10^-12 seconds.","unit","yes","1379,1512,19778,26219,26502,26510,26518,26526,26530,26579,27929,41331,42010,42018,42091,42162,43153,45705,50582,50594,55383","21"
"Atom Mask Selection","Atom Mask Selection Syntax","A syntax for specifying subsets of atoms, residues, or molecules.","method|identifier","yes","1546,27171","2"
"Residue","residue","A single monomeric unit within a polymer, like an amino acid.","chemical entity","yes","215,596,613,1633,1642,1665,1757,1765,1864,1868,1961,1979,1980,1981,1982,2031,2388,2389,2718,4214,6235,8068,8189,8367,8556,8607,8709,8713,8739,8744,8754,8757,8785,8794,8808,8810,8841,8848,8849,8877,8891,8896,9028,9040,9047,10937,14470,14634,14722,14726,14823,14855,15053,15109,15155,15156,15235,15236,15344,15356,15605,15920,15925,16069,16165,16217,16735,16758,16771,16775,16783,16787,16791,16801,16803,16819,16820,19391,19392,19401,19406,19414,19474,19510,19515,20016,23046,23591,23592,23725,23803,24202,24915,25184,25188,25197,25220,25743,26801,27535","245"
"Molecule","molecule","An electrically neutral group of two or more atoms held together.","chemical entity","yes","1683,1872,1979,1980,1981,2719,6746,6786,8565,8575,9100,9136,9141,9170,9243,9346,9354,9392,14330,14730,15895,15908,15912,15920,15926,15943,16064,16070,16072,16092,16791,19861,20311,23376,23394,23412,23417,24081,24108,24130,24147,24163,24176,24184,24198,25382,25386,25390,25438,28726,28734,29194,29496,29814,29819,29906,29941,29973,30010,30036,30057,30058,30168,30377,30525,32345,32363,32518,34382,34459,34508,35084,35156,38612,38622,38751,41141,41622,42215,42474,42557,42589,42591,49214,53764,53774","92"
"Distance-based Mask","Distance-based Masks","A selection syntax based on distance from another group of atoms.","method|identifier","yes","1269,1823,1887,9453,10146,34469,41511,41518","8"
"File Tagging","Parameter/Reference Tagging","Assigning a short alias or nickname to a file.","identifier|method","yes","2065","1"
"Script Variable","script variables","User-defined variables for use within a cpptraj input script.","identifier","yes","2173,2187,2209,2215,2224,2292,2312,2389,2529,2693,2717,2762,2774,2775,2841,2843","16"
"Data Set","data sets","Data generated by actions/analyses and stored internally.","data source","yes","252,259,727,770,955,1567,2175,2223,2224,2342,2457,2471,2514,2549,2557,2566,2847,2855,2863,2864,2867,2876,2893,2950,2962,2989,3019,3036,3520,3661,4122,4136,4140,4141,4161,4162,4178,4212,4220,4236,4252,4264,4279,4777,4794,4795,4796,4797,4798,4809,4833,5221,5275,5336,5346,5546,5678,5682,5690,5742,5767,5776,5777,6033,6042,6234,6237,6248,6262,6276,6300,6302,6303,6305,6314,6318,6326,6327,6391,6811,6824,6845,6861,6866,6876,6913,6914,6918,6935,6936,6940,7083,7102,7202,7330,7367,7918,7921,7926,7975","537"
"Data File","Data files","Files created by commands to store output data.","data format","yes","121,176,183,184,238,254,255,2847,2905,2918,2950,2970,5032,5043,5044,5089,5093,5112,5116,5128,5130,5189,5274,5312,5412,5434,5677,5709,5783,9513,9553,9914,10114,10213,10243,10245,10260,10334,12812,13121,13152,13564,13566,13567,13575,26146,29699,32777,33214,39214,41109,41719,50341,51928","54"
"Standard Data Format","Standard","The default, column-based data output format in cpptraj.","data format","yes","103,139,293,305,327,336,356,373,435,633,653,713,765,782,814,830,845,873,908,931,963,982,991,1005,1024,1108,1119,1148,1169,1195,1328,1342,1377,1387,1549,1592,1699,1715,1738,1748,1752,1760,1768,1781,1881,1927,1986,2015,2029,2050,2075,2117,2125,2149,2163,2222,2228,2548,2571,2585,2591,2607,2635,2773,2779,2795,2816,2840,2850,2875,2892,2904,2956,2957,2980,3002,3019,3034,3039,3117,4107,4139,4148,4219,4235,4251,4259,4274,4287,4465,4473,4689,4751,4775,4793,4806,4817,5042,5088,5111","934"
"Gnuplot Format",".gnu","A data file format for the Gnuplot plotting program.","data format","yes","3220,40817,50349,51385,53144,55480","6"
"Xplor Grid Format",".xplor, .grid","A format for representing 3D grid data, from XPLOR-NIH.","data format","yes","3267","1"
"OpenDX Format",".dx","A format for 3D grid data for the OpenDX visualization program.","data format","yes","2951,3314,4122,26924,26928,29090,29700,31194,31198","9"
"Amber Replica Exchange Log","Amber REM log","Log file from an Amber Replica Exchange MD simulation.","data format|data source","yes","3352,5900","2"
"Amber MD Output","Amber MDOUT","Standard output file from an Amber MD simulation containing energies.","data format|data source","yes","3399,5973","2"
"Amber Eigenvector File","Amber Evecs","File format for storing eigenvectors from principal component analysis.","data format","yes","3493","1"
"Amber Constant pH Output","Amber Constant pH output","Output file from a constant pH molecular dynamics simulation.","data format|data source","yes","3540","1"
"CCP4 Map Format",".ccp4","A file format for electron density and other crystallographic maps.","data format","yes","3737","1"
"Pairwise Distance Cache","Pairwise Cache","A binary file storing pre-calculated pairwise distances for clustering.","data format|data source","yes","3869,3916,46685,47135,47145","5"
"Amber Prep File","Amber Prep File","An Amber file format defining a new residue or molecule.","data format","yes","4010","1"
"Amber OFF Library File","Amber OFF Library File","An Amber file format containing parameters for molecular fragments.","data format","yes","4057,9145","2"
"Data Set Mathematics","Data Set Math","Performing mathematical operations directly on cpptraj data sets.","method","yes","4264","1"
"Coordinates Data Set","COORDS data set","A specialized data set for storing trajectory coordinate frames in memory.","data source|data format","yes","3035,6276,6302,6303,6327,6391,6824,6861,6866,6913,6914,6918,6935,6936,6940,7918,7926,8060,8108,8392,8957,9393,16546,18422,18462,18478,20785,25767,39038,39094,43922,45104,46622,46643,53248,55356,55855","37"
"Trajectory Data Set","TRAJ data set","A coordinate data set where frames are stored on disk.","data source|data format","yes","6303,7975,7979,7983,8958","5"
"Load Coordinates Command","loadcrd","Command to load a trajectory into an in-memory COORDS data set.","method","yes","699,6266,6351,6615,6881,6885,7848,7852,7930,7934,8827,9056,9181,9193,45879,49961,50042","17"
"Create Coordinates Action","createcrd","An action to create a COORDS data set during trajectory processing.","method|process","yes","6272,6534,7098,20776,25752,25763,25781,25799,31610,55915","10"
"Coordinates Action Command","crdaction","Command to perform a standard action on a COORDS data set.","method","yes","685,6279,6359,6379,6387,6474,6897,6908,6923,18473,20066,31622,42037,45883,55941","15"
"Coordinates Output Command","crdout","Command to write a COORDS data set to a trajectory file.","method","yes","6286,6494,6893,6927,6931,6953,8006,8100,9064,9205,23849","11"
"Atomic Fluctuation","atomicfluct","Calculates the positional fluctuations of atoms, often as B-factors.","measure|method","yes","6387,19552,20360,23537,23548,23553,23770,23798,23807,23816,23841,39622","12"
"B-factor (Temperature Factor)","bfactor","A measure of atomic displacement or thermal motion.","measure","yes","6387,23562,23608,23710,23759,23807,48788,48803,48826","9"
"Energy Minimization","emin","A process to find the nearest local energy minimum conformation.","process|method|algorithm","yes","6554,6563,7114,7117,7125,27842","6"
"Steepest Descent Minimization","steepest descent minimization","An optimization algorithm that follows the negative gradient of the potential.","algorithm|method","yes","7313","1"
"SHAKE Algorithm","shake","An algorithm used to constrain bond lengths in simulations.","algorithm|method","yes","7265,7269,41036,41037,41046,41054,41065,41923,41958,41964,41974,41984,53952","15"
"Prepare for LEaP","prepareforleap","Command to process a structure (e.g., PDB) for Amber's LEaP program.","process|method","yes","6676,8297,8301,8831","4"
"LEaP","LEaP","An Amber program for creating and editing molecular systems.","software","yes","6685,8309,8438,8439,8459,8467,8480,8526,8763,8777,8787,8788,8803,8807,8817,8831","18"
"Disulfide Bond","disulfide","A covalent bond derived from two thiol groups.","chemical entity","yes","8635,8660,8669,8774,8786,8787,8789,16037,40180,40343","10"
"Histidine","Histidine","An amino acid whose protonation state is often pH-dependent.","chemical entity","yes","8579,8583,8607,8615,8623,8631,8774,8784","8"
"GLYCAM Force Field","GLYCAM","A force field specifically parameterized for carbohydrates.","model","yes","8744,8795,8799,8849,8873,8877,8891,8896","9"
"Z-matrix","zmatrix","A representation of molecular conformation using internal coordinates.","model|data format","yes","6777,6786,9262,9266,9270,9274,9287,9288,9304,9316,9320,9346,9354,9363,9367,9384,9390,9392","19"
"Restraint","rst","A potential energy term used to restrict molecular geometry.","model|method","yes","9965,13219,13223,13253,13258,13263,13380,13394,17146,41528,41532","11"
"Data Set Selection","selectds","Prints the results of a data set selection expression.","method|identifier","yes","4136,4252,10025,10034,13454,13458,13462,13463","8"
"Silence Actions","silenceactions","Prevents Actions from writing information to standard output.","method|state","yes","10045","1"
"Sort Ensemble Data","sortensembledata","Sorts data sets using replica information, like from constant pH.","method|process","yes","10065,13483,13494,48572,48595","5"
"Disk Cache","usediskcache","Controls the caching of data sets to disk to save memory.","method|state","yes","10085,13525,13529","3"
"Write Data","write | writedata","Immediately writes specified data sets to a file.","method|process","yes","517,10105,10114,13416,13549,23583,32669,35107,38410,49607,51712","11"
"Active Reference","activeref","Sets the active reference structure for distance-based masks.","method|state","yes","1921,9444,10128,10132,10137,10148,10149","7"
"Calculate Expression","calc","Evaluates a given mathematical expression with formatting options.","method","yes","9464,10153,10157,13048,13062,13064,13072,29772,48404","9"
"Clear State","clear","Clears various lists of objects from the cpptraj state.","method|process","yes","7978,9484,9493,10200,10204,10212,43454,55535","8"
"Create Data File","create","Adds specified data sets to a data file for later writing.","method","yes","2272,2572,2876,2931,5061,6237,6543,6624,6644,6746,7010,7102,7202,7809,7841,8232,8237,9238,9253,9504,9513,9533,9874,10218,10229,10234,10491,10750,11233,12119,12918,12974,13566,19642,20398,20515,20785,20814,22844,24386,25828,25917,29500,30404,31430,31535,31626,31889,33332,34278,35524,35730,36533,37047,39090,42661,42691,43050,47683,48368,50347,50363,51614,52713,54187,55510,55751","67"
"Create Data Set","createset","Generates a data set from a simple mathematical expression.","method","yes","9524,10264,10268,12865,12918,52726","6"
"Data File Command","datafile","Passes formatting or other arguments to a specified data file.","method","yes","2945,2964,2973,4112,4116,5035,5123,5133,5188,5190,5216,5247,5372,5378,5398,5406,9544,10208,10239,10256,10309,10320,10325,10330,10334,10338,12223,12433,12524,13035,13043,13144,13560,13571,34998,41076,41109,43043,51664,55790","40"
"Data Filter","datafilter","Filters data sets based on minimum and maximum value criteria.","method|process","yes","9564,10346,10349,10357,10559,28644,28650","7"
"Data Set Command","dataset","A command to manipulate data sets in various ways.","method","yes","2483,5762,9148,9185,9197,9533,9584,10208,10357,10371,10581,10592,12159,12174,12178,12186,12201,12223,12524,12808,12813,13458,13479,23310,23319,25180,25374,25981,26271,27348,27365,28136,28404,28417,28429,28437,28548,28836,28890,29331,32198,32199,33173,34603,34660,34843,35835,35890,37376,37408,37424,37949,37954,37975,38016,38029,38068,38115,38485,38562,38627,42095,43166,43636,43901,45465,45522,45730,45933,45959,45988,46472,46680,47135,47683,48653,48683,48697,50146,50148,50895,50985,52512,52517,52526,52570,52583,52745,52772,52992,53115,54264,54318,54675,55054,55070","99"
"Nuclear Overhauser Effect (NOE)","noe","A distance measure derived from NMR experiments.","measure|method","yes","10675,10685,11191,11207,11215,11313,11322,27145,27149,27243,27270,27278,27315,27317,50552,50689,50887,54206,54243,54247,54256,54260,54264,54346,54425,54426,54437,54441,54457,54461,54465,54469,54473,54477,54481","39"
"Nucleic Acid Torsion Angle","alpha|beta|gamma|delta|epsilon|zeta|chin","Backbone dihedral angles specific to nucleic acids.","measure|chemical entity","no","","0"
"Sugar Pucker","pucker","Describes the 3D conformation of a sugar ring.","measure|chemical entity","yes","10661,10675,11183,11554,11583,11797,11806,11815,12188,12193,22040,22049,35538,35555,35564,35568,35577,35594,35601,35606,35638,35646,35654,35658,35664,35673,35677,35686,35701,35703,35705,35706,35723,35730,35731,36018,36022,36029,36032,36252,36533,36546,38172,38176,38181,38208,38241,38249,38257,38278,38313,38317,38330,38359,38361,38367,38371,54312,54350,54358,54364,54485,54489","72"
"Protein Backbone Torsion Angle","phi|psi|omega","Backbone dihedral angles that determine protein secondary structure.","measure|chemical entity","yes","26654","1"
"Protein Side-chain Torsion Angle","chip","Side-chain dihedral angles in proteins.","measure|chemical entity","yes","8043,8944,9060,10670,11748,26765,34043,35408,35426,35503","10"
"Distance Matrix","distance matrix","A 2D data set containing pairwise distances between particles.","data format|measure","yes","11873,34724,35026,47127,47158,47966,48318,48328","8"
"Cartesian Covariance Matrix","covariance","A matrix representing the covariance of atomic Cartesian coordinate fluctuations.","measure|data format","yes","1273,10675,10676,10680,11893,11902,11922,11931,11980,11989,12067,12076,34756,34769,34777,34847,38007,38020,38033,38093,38094,45498,45521,48671,49212,49265,49266,49268,49328,49329,49330,49337,49339,49344,49384,51919,51995,52574,52587,55847,55854,55897,55945,55974","47"
"Mass-Weighted Covariance Matrix","mass-weighted covariance","A covariance matrix where atomic motions are weighted by mass.","measure|data format","yes","10675,11922,38094,49212,49330,49337,49339,49344,49384,51995","10"
"Dynamic Cross-Correlation Matrix","correlation","A matrix showing the correlated motion between pairs of atoms.","measure|data format","yes","10680,11951,11960,20340,23504,23526,23528,26329,34736,38652,42153,43071,43197,44139,45104,45285,45314,45506,45521,45788,48652,48653,48654,48679,48687,48692,48701,48706,48707,48886,49331,49659,50594,50615,50714,50772,50774,50821,51558,51601,51832,52015,53084,53106,53123,53257,53277,53315,53352,53426,53569,53585,53593,53614,53676,53684,53693,53702,53704,53777,53779,53810,53812,53814,53843,53848,53888,53895,53956,53958,53968,54875,54934,54935,54992,55000,55012,55020,55058,55062,55096,55121,55123,55135,55152","87"
"Distance Covariance Matrix","distance covariance","A matrix representing the covariance of inter-atomic distance fluctuations.","measure|data format","yes","10680,11980,11989,34777,49268","5"
"IDEA Matrix","IDEA","A matrix from the Isotropically Distributed Ensemble of Affine-rigid-body-motions analysis.","measure|data format","yes","10680,12009,12018,29530,29534,34595,34781,34881,34959,38072,38076,38080,38084,38088,48179,49331,49380,52074","18"
"IRED Matrix","IRED","A matrix from the Isotropic Reorientational Eigenmode Dynamics analysis.","measure|data format","yes","10680,12038,12047,12096,12105,34591,34679,34797,34814,34822,34885,34905,34934,34936,35755,35817,42738,42821,42822,44594,44612,44632,49331,49380,50471,50475,50508,50640,50656,50702,50710,50712,50790,50798,50812,50814,50818,50826,50832,50833,50837,50841,50845,50853,50857,50861,50865,50869,50873,50877,50881","58"
"Dihedral Covariance Matrix","dihedral covariance","A matrix representing the covariance of dihedral angle fluctuations.","measure|data format","yes","12067,12076,34847,38007,38020,52574,55945,55974","8"
"Debug Level","debug | prnlev","Sets the verbosity level for printing internal program information.","state","yes","561,9604,9613,12205,12229","5"
"Ensemble Extension","ensextension","Toggles the automatic appending of ensemble member numbers to filenames.","method|state","yes","5304,9625,12236,12240,12251","5"
"Flatten Matrix","flatten","Converts a 2D matrix into a 1D array by summing or averaging.","method|algorithm","yes","9665,12264,12268,12318,12356,48198","6"
"Marsaglia RNG","marsaglia","A specific type of random number generator.","algorithm","yes","431,12861,12879","4"
"Mersenne Twister","mt","A widely used pseudo-random number generator algorithm.","algorithm","yes","431,12861,12888","4"
"Permuted Congruential Generator","pcg32","A modern, high-quality pseudo-random number generator.","algorithm","yes","431,12861,12893","4"
"Xoshiro128++ RNG","xo128","A fast, high-quality pseudo-random number generator.","algorithm","yes","431,12861,12905","4"
"Read Data","readdata","Reads data from a file and stores it in cpptraj data sets.","method","yes","509,2938,5075,5546,5592,5597,5601,5607,5621,5629,5907,5980,9885,9894,9914,10551,10555,12467,12978,12989,12994,13031,13062,13064,13095,13117,13126,13141,16944,28638,33063,34864,38112,39861,43848,45549,45648,48487,49098,49128,51931,52097,52718,52904,52916","46"
"Read Ensemble Data","readensembledata","Reads a series of data files as an ensemble for parallel processing.","method","yes","9905,13084,13095,13156,13164,48559,48591","7"
"Amber Restraint","rst","Generates distance, angle, or torsion restraints for Amber simulations.","method|model","yes","9965,13219,13223,13394,17146,41528,41532","7"
