[Term],[Variable],[Description],[Category1|Category2|...]
"MMPBSA.py","MMPBSA.py","Python script for continuum solvent binding energy analysis","software|method"
"Thermodynamic Integration","Thermodynamic integration","A method to compute free energy differences between states","method"
"FEW (Free energy workflow)","FEW","Automates free energy calculations of protein-ligand binding","software|method"
"edgembar","edgembar","Tool for alchemical free energy simulation analysis","software|method"
"ndfes","ndfes","Tool for umbrella sampling free energy analysis","software|method"
"CMake","CMake","Cross-platform build system used to compile the Amber software","software"
"AMBERHOME","$AMBERHOME","Environment variable pointing to the Amber installation directory","identifier"
"MPI (Message Passing Interface)","MPI","A standard for parallel computing using message passing","software|method"
"OpenMP","OpenMP","An API for shared-memory parallel programming","software|method"
"CUDA","CUDA","Nvidia's parallel computing platform and API for GPUs","software|method"
"ROCm","ROCm","AMD's software stack for GPU programming","software|method"
"HIP","HIP","A C++ Runtime API for creating portable GPU applications","software|method"
"NetCDF","NetCDF","A library and data format for array-oriented scientific data","software|data format"
"FFTW","FFTW","A C library for computing the discrete Fourier transform","software"
"BLAS","BLAS","A specification for low-level matrix and vector operations","software|method"
"LAPACK","LAPACK","A library providing routines for high-level linear algebra operations","software|method"
"MKL","MKL","Intel's Math Kernel Library of optimized math routines","software"
"Miniconda","Miniconda","A minimal installer for the conda package and environment manager","software"
"update_amber","update_amber","A Python script to manage updates for the Amber source code","software"
"CHARMM","CHARMM","A molecular simulation program and its associated force fields","software|model"
"ff19SB","ff19SB","Protein force field with improved amino-acid-specific backbone parameters","model"
"OL24","OL24","Recommended DNA force field with refined sugar pucker dihedrals","model"
"OL3","OL3","Recommended RNA force field with glycosidic torsion corrections","model"
"GLYCAM_06j","GLYCAM_06j","A transferable parameter set for modeling carbohydrates","model"
"lipid21","lipid21","Recommended lipid force field for membrane simulations","model"
"spc/e","spc/e","A three-site extended simple point charge water model","model|chemical entity"
"tip4pew","tip4pew","A four-site water model optimized for use with Ewald sums","model|chemical entity"
"OPC","OPC","A four-site optimal point charge water model","model|chemical entity"
"gaff2","gaff2","General Amber Force Field (version 2) for organic molecules","model"
"leaprc","leaprc","A LEaP resource file for loading force field parameters and libraries","data format"
"CMAP","CMAP","A grid-based energy correction map for protein backbone dihedrals","model|method"
"ff14SB","ff14SB","Protein force field with refined backbone and sidechain parameters","model"
"ff99SB","ff99SB","Protein force field with reparametrized backbone torsion terms","model"
"ff15ipq","ff15ipq","Protein force field using iteratively derived IPolQ charges","model"
"IPolQ","IPolQ","Iterative Polarizable Charge method for deriving condensed-phase charges","method|model"
"SPC/E-b","SPC/E-b","A three-point water model by Takemura and Kitao","model|chemical entity"
"ff15ipq-m","ff15ipq-m","An expanded version of ff15ipq for protein mimetics","model"
"fb15","fb15","A protein force field derived using a force-balance approach","model|method"
"tip3pfb","tip3pfb","A three-point water model designed for the fb15 force field","model|chemical entity"
"ff03","ff03","A protein force field with charges derived in a continuum solvent","model"
"ff03ua","ff03ua","A united-atom version of the ff03 protein force field","model"
"United-atom model","united-atom","A force field representation where nonpolar hydrogens are implicit","model|method"
"Intrinsically Disordered Proteins","Intrinsically disordered proteins (IDPs)","Proteins lacking a stable tertiary structure","chemical entity|state"
"ff99-bsc0","ff99-bsc0","A nucleic acid force field with alpha/gamma torsion corrections","model"
"OL15","OL15","A DNA force field combining several dihedral angle corrections","model"
"bsc1","bsc1","An updated nucleic acid force field for alpha/gamma torsions","model"
"tumuc1","tumuc1","A DNA force field with refined QM-based electrostatic parameters","model"
"OL21","OL21","A DNA force field that builds upon OL15 with corrections","model"
"Phosphorylated Amino Acid","Phosphorylated amino acids","Amino acids chemically modified with a phosphate group","chemical entity"
"phosaa10","leaprc.phosaa10","Parameters for phosphorylated amino acids for older force fields","model|data source"
"phosaa14SB","leaprc.phosaa14SB","Parameters for phosphorylated amino acids compatible with ff14SB","model|data source"
"phosaa19SB","leaprc.phosaa19SB","Parameters for phosphorylated amino acids compatible with ff19SB","model|data source"
"modXNA","modXNA","A tool to create new Amber-compatible modified nucleotide structures","software|method"
"GLYCAM06","GLYCAM06","A transferable parameter set for modeling carbohydrates and glycoconjugates","model"
"GLYCAM06EP","GLYCAM06EP","A GLYCAM version with extra points for TIP5P water model","model"
"Extra Points","Extra points (EPs)","Off-atom sites representing lone pair electrons in force fields","model|method"
"RESP","RESP","Restrained Electrostatic Potential fitting method for atomic charges","method"
"kcal/mol","kcal/mol","Unit of energy, kilocalories per mole","unit"
"Angstrom","Å","Unit of length equal to 10⁻¹⁰ meters","unit"
"Lennard-Jones Potential","Lennard-Jones","A potential describing van der Waals forces between atoms","model"
"Partial Atomic Charge","partial charges","A charge value assigned to an individual atom in a molecule","measure|model"
"Polarizable Force Field","polarizable","A force field that accounts for induced electronic polarization","model"
"Implicit Solvent Model","implicit solvent model","A continuum representation of solvent effects in simulations","model|method"
"Ramachandran Map","Ramachandran map","A plot showing allowed regions for protein backbone dihedral angles","measure|data source"
"frcmod file","frcmod","An Amber file containing force field parameter modifications","data format"
"lib file",".lib","An Amber library file containing residue topology information","data format"
"prep file",".prep","An Amber file format containing residue information, used by GLYCAM","data format"
"mol2 file","mol2 files","A file format for representing molecular structures and properties","data format"
"D-Arabinose","d-Arabinose","A five-carbon aldose sugar, a type of monosaccharide","chemical entity"
"D-Lyxose","d-Lyxose","A five-carbon aldose sugar, an epimer of D-xylose","chemical entity"
"D-Ribose","d-Ribose","A five-carbon aldose sugar, a component of RNA","chemical entity"
"D-Xylose","d-Xylose","A five-carbon aldose sugar, also known as wood sugar","chemical entity"
"D-Allose","d-Allose","A six-carbon aldose sugar, an epimer of glucose","chemical entity"
"D-Altrose","d-Altrose","A six-carbon aldose sugar, an epimer of mannose","chemical entity"
"D-Galactose","d-Galactose","A six-carbon aldose sugar, a component of lactose","chemical entity"
"D-Glucose","d-Glucose","A six-carbon aldose sugar, a primary source of energy","chemical entity"
"D-Gulose","d-Gulose","A six-carbon aldose sugar, an epimer of galactose","chemical entity"
"D-Idose","d-Idose","A six-carbon aldose sugar, an epimer of gulose","chemical entity"
"D-Mannose","d-Mannose","A six-carbon aldose sugar, an epimer of glucose","chemical entity"
"D-Talose","d-Talose","A six-carbon aldose sugar, an epimer of galactose","chemical entity"
"D-Fructose","d-Fructose","A six-carbon ketose sugar, commonly found in fruits","chemical entity"
"D-Psicose","d-Psicose","A six-carbon ketose sugar, a low-calorie sweetener","chemical entity"
"D-Sorbose","d-Sorbose","A six-carbon ketose sugar, used in vitamin C synthesis","chemical entity"
"D-Tagatose","d-Tagatose","A six-carbon ketose sugar, a low-calorie sweetener","chemical entity"
"D-Fucose","d-Fucose","A six-carbon deoxy sugar, a component of glycoproteins","chemical entity"
"D-Quinovose","d-Quinovose","A six-carbon deoxy sugar, found in plant glycosides","chemical entity"
"D-Rhamnose","d-Rhamnose","A six-carbon deoxy sugar, found in plant glycosides","chemical entity"
"D-Galacturonic Acid","d-Galacturonic Acid","An oxidized form of galactose, a component of pectin","chemical entity"
"D-Glucuronic Acid","d-Glucuronic Acid","An oxidized form of glucose, involved in detoxification","chemical entity"
"D-Iduronic Acid","d-Iduronic Acid","An oxidized form of idose, a component of glycosaminoglycans","chemical entity"
"D-N-Acetylgalactosamine","d-N-Acetylgalactosamine","An acetylated amino sugar derived from galactose","chemical entity"
"D-N-Acetylglucosamine","d-N-Acetylglucosamine","An acetylated amino sugar derived from glucose, component of chitin","chemical entity"
"D-N-Acetylmannosamine","d-N-Acetylmannosamine","An acetylated amino sugar derived from mannose","chemical entity"
"N-Acetyl-neuraminic Acid","N-Acetyl-neuraminic Acid","A type of sialic acid found in glycoproteins","chemical entity"
"KDN","KDN","Deaminated neuraminic acid, a type of sialic acid","chemical entity"
"KDO","KDO","3-deoxy-D-manno-oct-2-ulosonic acid, a component of lipopolysaccharides","chemical entity"
"N-Glycolyl-neuraminic Acid","N-Glycolyl-neuraminic Acid","A type of sialic acid found in many mammals","chemical entity"
"GLYCAM residue name","0GA, 0LB, 1GA, etc.","Three-letter code for carbohydrate residues in GLYCAM force field","identifier"
"prepareforleap","prepareforleap","An action in cpptraj to prepare carbohydrate PDB files","software|process"
"LIPID11","LIPID11","An early modular Amber lipid force field from 2011","model"
"GAFFLipid","GAFFLipid","A lipid parameter set based on the General Amber Force Field","model"
"LIPID14","LIPID14","An Amber lipid force field for tensionless NPT simulations","model"
"LIPID17","LIPID17","An extension of LIPID14 with more head and tail groups","model"
"LIPID21","LIPID21","The latest modular Amber lipid force field","model"
"charmmlipid2amber.py","charmmlipid2amber.py","A script to convert CHARMM lipid PDBs to Amber format","software|process"
"packmol-memgen","packmol-memgen","A tool to generate membrane systems for simulation","software|method"
"Lauroyl (12:0)","LAL","A saturated 12-carbon fatty acyl chain residue","chemical entity|identifier"
"Myristoyl (14:0)","MY","A saturated 14-carbon fatty acyl chain residue","chemical entity|identifier"
"Palmitoyl (16:0)","PA","A saturated 16-carbon fatty acyl chain residue","chemical entity|identifier"
"Sphingosine (16:1)","SA","An 18-carbon amino alcohol with an unsaturated hydrocarbon chain","chemical entity|identifier"
"Oleoyl (18:1 n-9)","OL","A monounsaturated 18-carbon fatty acyl chain residue","chemical entity|identifier"
"Stearoyl (18:0)","ST","A saturated 18-carbon fatty acyl chain residue","chemical entity|identifier"
"Arachidonoyl (20:4)","AR","A polyunsaturated 20-carbon fatty acyl chain residue","chemical entity|identifier"
"Docosahexaenoyl (22:6)","DHA","A polyunsaturated 22-carbon fatty acyl chain residue","chemical entity|identifier"
"Phosphatidylcholine","PC","A class of phospholipids incorporating choline as a headgroup","chemical entity|identifier"
"Phosphatidylethanolamine","PE","A class of phospholipids with an ethanolamine headgroup","chemical entity|identifier"
"Phosphatidylserine","PS","A class of phospholipids with a serine headgroup","chemical entity|identifier"
"Phosphatidylglycerol (R-)","PGR","A class of phospholipids with an R-glycerol headgroup","chemical entity|identifier"
"Phosphatidylglycerol (S-)","PGS","A class of phospholipids with an S-glycerol headgroup","chemical entity|identifier"
"Phosphaditic acid","PH-","A simple phospholipid with a free phosphate headgroup","chemical entity|identifier"
"Sphingomyelin","SPM","A type of sphingolipid found in animal cell membranes","chemical entity|identifier"
"Cholesterol","CHL","A sterol lipid essential for animal cell membranes","chemical entity|identifier"
"TER card","TER card","A record in a PDB file marking the end of a molecule","data format|identifier"
"CONECT records","CONECT records","Records in a PDB file specifying atomic connectivity","data format"
"TIP3P","TIP3P","A simple 3-site rigid water model","model|chemical entity"
"TIP4P/Ew","TIP4P/Ew","A 4-site rigid water model optimized for Ewald sums","model|chemical entity"
"OPC","OPC","A 4-site optimal point charge rigid water model","model|chemical entity"
"OPC3","OPC3","A 3-site optimal point charge rigid water model","model|chemical entity"
"OPC3-pol","OPC3-pol","A 3-site polarizable water model based on a Drude oscillator","model|chemical entity"
"SPC/E","SPC/E","A 3-site extended simple point charge rigid water model","model|chemical entity"
"solvents.lib","solvents.lib","An Amber library file containing various solvent models","data source"
"frcmod.tip4pew","frcmod.tip4pew","Force field modification file for the TIP4P/Ew water model","data format|data source"
"solvateBox","solvateBox","A LEaP command to solvate a molecule in a rectangular box","software|process"
"solvateOct","solvateOct","A LEaP command to solvate a molecule in a truncated octahedron","software|process"
"Drude oscillator","Drude oscillator","A model for electronic polarizability using a charged, massless particle","model|method"
"Hydrogen Mass Repartitioning (HMR)","HMassRepartition","A technique to increase hydrogen mass to allow longer timesteps","method|process"
"Joung/Cheatham ion parameters","frcmod.ionsjc_tip3p","A consistent set of parameters for alkali and halide ions","model|data source"
"Li/Merz ion parameters","frcmod.ions1lm_126_tip3p","Ion parameters developed to reproduce HFE, IOD, and CN values","model|data source"
"12-6-4 LJ-type nonbonded model","12-6-4 LJ-type nonbonded model","A nonbonded potential including an r⁻⁴ term for polarization effects","model"
"Hydration Free Energy (HFE)","Hydration Free Energy (HFE)","The free energy change of transferring an ion from vacuum to water","measure"
"Ion-Oxygen Distance (IOD)","Ion-Oxygen Distance (IOD)","The average distance between an ion and water oxygen atoms","measure"
"Coordination Number (CN)","Coordination Number (CN)","The average number of water molecules in an ion's first solvation shell","measure"
"add12_6_4","add12_6_4","A parmed command to add C₄ terms for the 12-6-4 potential","software|process"
"ParmAM1","ParmAM1","A classical force field that reproduces AM1-minimized geometries","model"
"parmPM3","parmPM3","A classical force field that reproduces PM3-minimized geometries","model"
"AM1","AM1","Austin Model 1, a semi-empirical quantum mechanics method","model|method"
"PM3","PM3","Parameterization Method 3, a semi-empirical quantum mechanics method","model|method"
"GAL17 force field","GAL17","A force field for the interaction of water and a Pt(111) surface","model"
"&music namelist","&music","An input namelist in sander for the GAL17 force field","data format|identifier"
"belly dynamics","belly","A simulation where a subset of atoms is restrained","method"
"AMBER-DYES","AMBER-DYES","A force field for commonly used fluorescent dyes and linkers","model"
"leaprc.amberdyes","leaprc.amberdyes","The LEaP resource file for loading the AMBER-DYES force field","data format|data source"
"FRET","FRET","Forster Resonance Energy Transfer, an experimental distance measurement technique","method|measure"
"Alexa Fluor 350","A35","A blue-fluorescent dye","chemical entity|identifier"
"ATTO 488","T48","A green-fluorescent dye","chemical entity|identifier"
"Lumiprope Cy3","C3N","A cyanine-based fluorescent dye","chemical entity|identifier"
"Fluorescent chromophore","CRO, IIC, etc.","The light-absorbing and emitting part of a fluorescent protein","chemical entity|identifier"
"leaprc.xFPchromophores","leaprc.xFPchromophores","LEaP resource file for fluorescent protein chromophore parameters","data format|data source"
"SIRAH force field","SIRAH","A residue-based coarse-grained force field for biomolecules","model"
"Coarse-Grained (CG)","Coarse-Grained (CG)","A simplified molecular representation with fewer degrees of freedom","model|method"
"Multiscale simulation","Multiscale simulations","A simulation combining different levels of model resolution","method"
"WatFour (WT4)","WT4","The explicit coarse-grained water model for the SIRAH force field","model|chemical entity"
"Backmapping","Backmapping","The process of reconstructing an all-atom model from a CG model","process|method"
"cgconv.pl","cgconv.pl","A Perl script for converting all-atom PDBs to SIRAH CG PDBs","software|process"
"leaprc.sirah","leaprc.sirah","The LEaP resource file for loading the SIRAH force field","data format|data source"
"Generalized Born (GB) model","Generalized Born (GB)","An implicit solvent model approximating continuum electrostatic effects","model|method"
"Solvent Accessible Surface Area (SA)","Surface Area","A measure of the molecular surface exposed to solvent","measure|model"
"Poisson-Boltzmann equation","Poisson-Boltzmann equation","A differential equation describing electrostatic potential in an ionic solution","model|method"
"Effective Born radius","R_i","A parameter in GB models representing the degree of an atom's burial","measure|model"
"OBC model","igb=2, igb=5","Onufriev-Bashford-Case generalized Born models","model|identifier"
"GBn model","igb=7, igb=8","A newer generation of generalized Born models","model|identifier"
"igb","igb","The primary input variable in Amber for selecting a GB model","identifier"
"PBradii","PBRadii","A LEaP command to set the set of atomic radii for GB/PB calculations","identifier|data source"
"mbondi2","mbondi2","A specific set of modified Bondi radii for GB calculations","data source|model"
"mbondi3","mbondi3","A specific set of modified Bondi radii for the igb=8 GB model","data source|model"
"intdiel","intdiel","Input parameter for the solute's interior dielectric constant","identifier|measure"
"extdiel","extdiel","Input parameter for the solvent's exterior dielectric constant","identifier|measure"
"saltcon","saltcon","Input parameter for the salt concentration in molarity","identifier|measure"
"saltcon","saltcon","Sets the concentration of 1-1 mobile counterions in solution","identifier|measure"
"rgbmax","rgbmax","Maximum distance for pairwise summation in Born radii calculation","identifier|measure"
"rbornstat","rbornstat","Flag to report statistics of effective Born radii during simulation","identifier"
"offset","offset","A uniform value subtracted from dielectric radii for GB calculations","identifier|measure"
"gbsa","gbsa","Option to enable Generalized Born/Surface Area (GB/SA) calculations","identifier"
"LCPO model","LCPO model","A fast algorithm to compute an analytical approximation of SASA","algorithm|model"
"surften","surften","Surface tension parameter for the nonpolar solvation energy calculation","identifier|measure"
"rdt","rdt","A parameter for GB simulations with Locally Enhanced Sampling (LES)","identifier|measure"
"Locally Enhanced Sampling","LES","A simulation method to improve sampling of a specific molecular region","method|model"
"GBION","GBION","Implicit Solvent with Explicit Ions model extending the GB model","model|method"
"K_GB(a,b)","K_GB(a,b)","Coefficient tuning interaction energy between different atom types in GBION","identifier|measure"
"K_epsilon(a,b)","K_epsilon(a,b)","Coefficient scaling the electrostatic energy in the GBION model","identifier|measure"
"nmropt","nmropt","Flag to enable distance and angle restraints in a simulation","identifier"
"SLTCAP method","SLTCAP method","Method to calculate the number of ions to add for a target concentration","method"
"gbion","gbion","Specifies the version of the GBION model to be used","identifier"
"gi_coef_1_p","gi_coef_1_p","GBION parameter for K_GB between solute atoms and cations","identifier|measure"
"intdiel_ion_1_p","intdiel_ion_1_p","GBION parameter for K_epsilon for solute-cation interactions","identifier|measure"
"GTFE model","GTFE model","Group Transfer Free Energy model for pressure/temperature/osmolyte effects","model|method"
"ΔG_tr","ΔG_tr","The free energy of transfer term in the GTFE model","measure"
"Δg_tr,k","Δg_tr,k","Group transfer free energies for sidechains or backbone in GTFE","measure"
"α_k","α_k","Fractional solvent accessible surface area in the GTFE model","measure"
"ala","ala","Input variable for the group transfer free energy of Alanine","identifier|measure"
"bb","bb","Input variable for the group transfer free energy of the backbone","identifier|measure"
"ALPB","ALPB","Analytical Linearized Poisson-Boltzmann implicit solvent model","model|method"
"A","A","The effective electrostatic size of the molecule in the ALPB model","measure|identifier"
"alpb","alpb","Flag to enable the ALPB implicit solvent model","identifier"
"arad","arad","Input variable for the effective electrostatic size (A) in ALPB","identifier|measure"
"elsize","elsize","A utility program to estimate the effective electrostatic size","software"
"GBNSR6","GBNSR6","A Generalized Born model with numerically computed effective Born radii","model|method"
"R6 integration","R6 integration","A numerical integration method over the molecular surface for Born radii","method|algorithm"
"CHAGB","CHAGB","Charge Hydration Asymmetric Generalized Born model","model|method"
"gbnsr6","gbnsr6","The executable program for the GBNSR6 model","software"
"dgij","dgij","Flag to control printing of pairwise electrostatic interaction energies","identifier"
"PBSA","PBSA","A continuum solvation model based on the Poisson-Boltzmann equation","model|method"
"pbsa","pbsa","The executable program for running PBSA calculations","software"
"pbsa.cuda","pbsa.cuda","The GPU-accelerated version of the pbsa program","software"
"Poisson-Boltzmann equation","Poisson-Boltzmann equation","A differential equation describing electrostatics in an ionic solution","model|method"
"SASA","SASA","Solvent Accessible Surface Area, a measure of molecular exposure","measure"
"Finite-difference method","Finite-difference (FD) method","A numerical method for solving differential equations like the PB equation","method|algorithm"
"Immersed Interface method","Immersed Interface method (IIM)","A numerical method for solving PDEs with interfaces","method|algorithm"
"EEL","EEL","The total electrostatic energy component in the output file","measure|identifier"
"EPB","EPB","The reaction field energy component in the output file","measure|identifier"
"ECAVITY","ECAVITY","The cavity component of the non-polar solvation energy","measure|identifier"
"EDISPER","EDISPER","The dispersion component of the non-polar solvation energy","measure|identifier"
"pqr file","pqr","A file format containing atomic coordinates, charges, and radii","data format"
"&cntrl","&cntrl","A namelist in Amber input files for general simulation controls","data format|identifier"
"&pb","&pb","A namelist in Amber input files for PBSA-specific options","data format|identifier"
"ipb","ipb","Option to set up the dielectric model for numerical PB procedures","identifier"
"inp","inp","Option to select the method for computing non-polar solvation energy","identifier"
"epsin","epsin","The dielectric constant of the solute interior","identifier|measure"
"epsout","epsout","The dielectric constant of the exterior solvent","identifier|measure"
"epsmem","epsmem","The dielectric constant of the implicit membrane region","identifier|measure"
"smoothopt","smoothopt","Option for setting dielectric values at the solute-solvent boundary","identifier"
"istrng","istrng","The ionic strength of the solution in mM for the PB equation","identifier|measure"
"pbtemp","pbtemp","Temperature in Kelvin used for the PB equation","identifier|measure"
"radiopt","radiopt","Option to select the source of atomic radii for PB calculations","identifier"
"dprob","dprob","The radius of the solvent probe used to define the molecular surface","identifier|measure"
"iprob","iprob","The radius of the mobile ion probe used to define the Stern layer","identifier|measure"
"sasopt","sasopt","Option to select the type of molecular surface to be used","identifier"
"saopt","saopt","Option to enable the calculation of the molecular surface area","identifier"
"triopt","triopt","Option to use trimer arc dots for more accurate surface mapping","identifier"
"arcres","arcres","The resolution of dots used to represent solvent accessible arcs","identifier|measure"
"membraneopt","membraneopt","Option to enable the implicit membrane model","identifier"
"mprob","mprob","The probe radius for the implicit membrane","identifier|measure"
"mthick","mthick","The thickness of the implicit membrane slab","identifier|measure"
"mctrdz","mctrdz","The center of the implicit membrane in the z-direction","identifier|measure"
"poretype","poretype","Option to enable an automatic pore-finding algorithm in membranes","identifier"
"npbopt","npbopt","Option to select between the linear or full nonlinear PB equation","identifier"
"solvopt","solvopt","Option to select the iterative solver for the PB equation","identifier"
"accept","accept","The iteration convergence criterion for the PB solver","identifier|measure"
"maxitn","maxitn","The maximum number of iterations for the PB solver","identifier|measure"
"fillratio","fillratio","Ratio of the FD grid dimension to the solute dimension","identifier|measure"
"space","space","The grid spacing for the finite-difference solver","identifier|measure"
"nbuffer","nbuffer","Distance of the FD grid boundary from the solute surface","identifier|measure"
"nfocus","nfocus","Number of focusing steps in a multi-grid PB calculation","identifier"
"fscale","fscale","Ratio of coarse to fine grid spacings in an electrostatic focusing calculation","identifier|measure"
"npbgrid","npbgrid","Frequency (in steps) for regenerating the finite-difference grid","identifier"
"bcopt","bcopt","Option for the boundary condition of the PB calculation","identifier"
"eneopt","eneopt","Option to select the method for computing total electrostatic energy","identifier"
"frcopt","frcopt","Option to compute and output electrostatic forces","identifier"
"scalec","scalec","Option to scale dielectric boundary surface charges","identifier"
"cutfd","cutfd","Cutoff distance for short-range finite-difference interactions","identifier|measure"
"cutnb","cutnb","Cutoff distance for non-bonded van der Waals and Coulombic interactions","identifier|measure"
"nsnba","nsnba","Frequency (in steps) for generating the atom-based non-bonded pairlist","identifier"
"phiout","phiout","Option to output the electrostatic potential map for visualization","identifier"
"phiform","phiform","Option to control the file format of the electrostatic potential map","identifier"
"outlvlset","outlvlset","Option to write the total level set function to a file","identifier"
"outmlvlset","outmlvlset","Option to write the membrane-only level set function to a file","identifier"
"npbverb","npbverb","Option to enable verbose output from the pbsa program","identifier"
"decompopt","decompopt","Option to select the decomposition scheme for non-polar energy","identifier"
"use_rmin","use_rmin","Option to use rmin values for van der Waals radii","identifier"
"sprob","sprob","Solvent probe radius for SASA used in the dispersion term","identifier|measure"
"vprob","vprob","Solvent probe radius for molecular volume used in the cavity term","identifier|measure"
"rhow_effect","rhow_effect","Effective water density for the non-polar dispersion term calculation","identifier|measure"
"use_sav","use_sav","Option to use molecular volume or surface area for the cavity term","identifier"
"cavity_offset","cavity_offset","The regression offset for the non-polar solvation free energy","identifier|measure"
"maxsph","maxsph","The approximate number of dots representing the maximal atomic SASA","identifier|measure"
"MLSES","MLSES","Machine-Learned Solvent Excluded Surface model","model|method"
"GENIUSES","GENIUSES","A specific, fast machine-learned solvent excluded surface model","model|software"
"Con2SES-3D","Con2SES-3D","A machine-learned solvent excluded surface model with high accuracy","model|software"
"mlses_opt","mlses_opt","Option to select the runtime for the MLSES model","identifier"
"Torch PBSA runtime","Torch PBSA runtime","A dedicated C++ runtime using LibTorch for PBSA calculations","software"
"Active site focusing","Active site focusing","A method to focus PB calculations on a specific region of interest","method"
"xmax","xmax","The upper boundary of the active site focusing box in x","identifier|measure"
"PyMol","PyMol","A molecular visualization system","software"
"VMD","VMD","A molecular visualization program","software"
"Delphi","Delphi","A program for solving the Poisson-Boltzmann equation","software"
"BiCG","BiCG","Biconjugate gradient, a solver for linear systems","algorithm"
"saltcon","saltcon","Sets the concentration of 1-1 mobile counterions in solution","identifier|measure"
"rgbmax","rgbmax","Maximum distance for pairwise summation in Born radii calculation","identifier|measure"
"rbornstat","rbornstat","Flag to report statistics of effective Born radii during simulation","identifier"
"offset","offset","A uniform value subtracted from dielectric radii for GB calculations","identifier|measure"
"gbsa","gbsa","Option to enable Generalized Born/Surface Area (GB/SA) calculations","identifier"
"LCPO model","LCPO model","A fast algorithm to compute an analytical approximation of SASA","algorithm|model"
"surften","surften","Surface tension parameter for the nonpolar solvation energy calculation","identifier|measure"
"rdt","rdt","A parameter for GB simulations with Locally Enhanced Sampling (LES)","identifier|measure"
"Locally Enhanced Sampling","LES","A simulation method to improve sampling of a specific molecular region","method|model"
"GBION","GBION","Implicit Solvent with Explicit Ions model extending the GB model","model|method"
"K_GB(a,b)","K_GB(a,b)","Coefficient tuning interaction energy between different atom types in GBION","identifier|measure"
"K_epsilon(a,b)","K_epsilon(a,b)","Coefficient scaling the electrostatic energy in the GBION model","identifier|measure"
"nmropt","nmropt","Flag to enable distance and angle restraints in a simulation","identifier"
"SLTCAP method","SLTCAP method","Method to calculate the number of ions to add for a target concentration","method"
"gbion","gbion","Specifies the version of the GBION model to be used","identifier"
"gi_coef_1_p","gi_coef_1_p","GBION parameter for K_GB between solute atoms and cations","identifier|measure"
"intdiel_ion_1_p","intdiel_ion_1_p","GBION parameter for K_epsilon for solute-cation interactions","identifier|measure"
"GTFE model","GTFE model","Group Transfer Free Energy model for pressure/temperature/osmolyte effects","model|method"
"ΔG_tr","ΔG_tr","The free energy of transfer term in the GTFE model","measure"
"Δg_tr,k","Δg_tr,k","Group transfer free energies for sidechains or backbone in GTFE","measure"
"α_k","α_k","Fractional solvent accessible surface area in the GTFE model","measure"
"ala","ala","Input variable for the group transfer free energy of Alanine","identifier|measure"
"bb","bb","Input variable for the group transfer free energy of the backbone","identifier|measure"
"ALPB","ALPB","Analytical Linearized Poisson-Boltzmann implicit solvent model","model|method"
"A","A","The effective electrostatic size of the molecule in the ALPB model","measure|identifier"
"alpb","alpb","Flag to enable the ALPB implicit solvent model","identifier"
"arad","arad","Input variable for the effective electrostatic size (A) in ALPB","identifier|measure"
"elsize","elsize","A utility program to estimate the effective electrostatic size","software"
"GBNSR6","GBNSR6","A Generalized Born model with numerically computed effective Born radii","model|method"
