"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count","removal_reason"
"3D-RISM","3D-RISM","A version of RISM for calculating solvation properties of a solute","model|method","yes","31137,31183,31188,31227,31449,31551,31741,32013,32017,32020,32028,32033,32039,32062,32084,32190,32232,32468,32603,32659,32665,32844,33151,33172,33212,33316,33471,33514,34164,34237,34463,34466,34495,34516,34525,34585,34601,34618,34644,34679,34806,34932,34967,35010,35014,35116,35140,35142,35148,35282,35285,35334,35357,35727,36561,36572,36577,36605,36616,36650,36690,36731,36746,36775,36778,36795,36919,36978,36995,37027,37036,37039,37057,37105,37417,37442,37493,37595,37644,37649,37750,38260,39222,39327,39376,39868,40287,40315,40383,40464,40541,40550,40554,40578,41556,43046,43070,43077,43547,43560","129","Lower-priority member of semantic cluster led by row 19 (Champion: '3D-RISM')"
"accept","accept","The iteration convergence criterion for the PB solver","identifier|measure","yes","3438,25334,25339,27351,28122,30235,30317,31048,97406,103999,107739,189899,190282,195507","14","Lower-priority member of semantic cluster led by row 22 (Champion: 'accept')"
"ACE","ACE","Residue name for an N-terminal acetyl capping group","chemical entity|identifier","yes","15089,18368,68000,68035,68042,68049,68054,68059,68149,68193,68690,68694,74229,74241,77063,100605,111838,111839,112580,112666,168500,168503,169004,185755,185769","27","Lower-priority member of semantic cluster led by row 26 (Champion: 'ACE (acetyl cap)')"
"ACE (acetyl cap)","ACE","An N-terminal capping group (CH3CO) for protein fragments.","chemical entity","yes","15089,18368,68000,68035,68042,68049,68054,68059,68149,68193,68690,68694,74229,74241,77063,100605,111838,111839,112580,112666,168500,168503,169004,185755,185769","27","Lower-priority member of semantic cluster led by row 26 (Champion: 'ACE (acetyl cap)')"
"Active site focusing","Active site focusing","A method to focus PB calculations on a specific region of interest","method","yes","26750,26754","2","Lower-priority member of semantic cluster led by row 27 (Champion: 'Active site focusing')"
"Adaptive Solvent QM/MM","vsolv=2","A QM/MM method where solvent molecules can dynamically enter the QM region","method|model","yes","50191,50233,50250,60060,61415,61564,61656,61706,61717,62013,62747,63272","12","Lower-priority member of semantic cluster led by row 29 (Champion: 'Adaptive Solvent QM/MM')"
"Adaptively Biased Molecular Dynamics","ABMD","An umbrella sampling method with a time-dependent biasing potential.","method|algorithm","yes","157989,158052,158122,158137,158236,158255,158290,158292,158374,158375,158376,158384,158403,158405,158406,158416,158420,158525,158552,158560,158705,158781,158878,158881,158888,158890,158895,158898,158899,158902,158906,158910,159009,159020,159036,159095,159109,162512,162529,162569,162603,162821,162915,162923,163055,163082,163130,163134,163140,163183,163197,163317,163331,163420,163440,163441,163443,163465,163501,163516,163545,163590,163631,163653,163657,163872,164063,164066,165180,165242,165276,165509","79","Lower-priority member of semantic cluster led by row 32 (Champion: 'Adaptively Biased Molecular Dynamics')"
"add12_6_4","add12_6_4","ParmEd command to add C4 terms for a 12-6-4 potential.","software|process","yes","16118,16135,74919,84410,84433,84438,84555,84616","8","Lower-priority member of semantic cluster led by row 33 (Champion: 'add12_6_4')"
"addions","addions","LEaP command to add counter-ions to neutralize a system.","software|process","yes","18317,74953,74957,74962,75022,75061,75142,81220,81529,81533,81537","11","Lower-priority member of semantic cluster led by row 35 (Champion: 'addIons')"
"AddToBox","AddToBox","A program to place solvent molecules into a crystal unit cell.","software","yes","105534,105537,105547,105567,105577,105585,105608,105627,105635,105643,105649,105671,105675,105679,105730,105766,105784,105796","18","Lower-priority member of semantic cluster led by row 37 (Champion: 'AddToBox')"
"Link Atom Charge Adjustment","adjust_q","Controls how charge is conserved with respect to link atoms.","method|algorithm","yes","48629,50909,61430,121623,121628","5","Lower-priority member of semantic cluster led by row 39 (Champion: 'Charge Adjustment')"
"ala","ala","Input variable for the group transfer free energy of Alanine","identifier|measure","yes","12312,21757,21800,72620,73251,73254,73260,73272,73289,73305,73307,74237,74241,74260,75343,75355,75371,75381,75630,75634,75639,75689,75693,75709,75713,75725,75773,75798,76008,76012,76016,76020,76024,76036,76040,76117,76153,76158,76162,76167,76826,77063,77437,77450,77454,77466,77527,77531,77543,77547,77555,77563,77567,77575,77625,77629,77768,77772,77852,83609,92729,92733,93374,93378,93379,93396,93422,93500,93510,93520,111838,111839,112580,112622,112640,112666,128377,128607,129008,180114,180128,180459,180570,181821,181841,181857,185758,185769","109","Lower-priority member of semantic cluster led by row 41 (Champion: 'ala')"
"ALPB","ALPB","Analytical Linearized Poisson-Boltzmann implicit solvent model","model|method","yes","20630,21848,21851,21859,21869,21876,21907,21909,21910,21920,21922,21926,21929,21942,21947,21954,21969,21978,21985,22011,22038,22057,22094,22332,22378,22382,22413,22575,22588,22906,22914,22935,119638,119643,119652,120218,126137","38","Lower-priority member of semantic cluster led by row 45 (Champion: 'Analytical Linearized Poisson-Boltzmann')"
"ALPB","ALPB","Analytical Linearized Poisson-Boltzmann implicit solvent model","model|method","yes","20630,21848,21851,21859,21869,21876,21907,21909,21910,21920,21922,21926,21929,21942,21947,21954,21969,21978,21985,22011,22038,22057,22094,22332,22378,22382,22413,22575,22588,22906,22914,22935,119638,119643,119652,120218,126137","38","Lower-priority member of semantic cluster led by row 45 (Champion: 'Analytical Linearized Poisson-Boltzmann')"
"alpb","alpb","Flag to enable the ALPB implicit solvent model","identifier","yes","20630,21848,21851,21859,21869,21876,21907,21909,21910,21920,21922,21926,21929,21942,21947,21954,21969,21978,21985,22011,22038,22057,22094,22332,22378,22382,22413,22575,22588,22906,22914,22935,119638,119643,119652,120218,126137","38","Lower-priority member of semantic cluster led by row 45 (Champion: 'Analytical Linearized Poisson-Boltzmann')"
"alpb","alpb","Flag to enable the ALPB implicit solvent model","identifier","yes","20630,21848,21851,21859,21869,21876,21907,21909,21910,21920,21922,21926,21929,21942,21947,21954,21969,21978,21985,22011,22038,22057,22094,22332,22378,22382,22413,22575,22588,22906,22914,22935,119638,119643,119652,120218,126137","38","Lower-priority member of semantic cluster led by row 45 (Champion: 'Analytical Linearized Poisson-Boltzmann')"
"AM1","AM1","Austin Model 1, a semi-empirical quantum mechanics method","model|method","yes","16309,16320,16332,44578,44701,44765,44773,44868,44872,44949,45214,45851,45971,45972,45973,45974,45975,46858,46859,49950,59611,59657,64512,64693,64706,64779,65012,65060,65072,65923,83666,90410,90428,90838,91152,92088,92090,92170,92188,92228,92255,92279,92351,92420,92424,92433,92494,92503,92540,99134,196959,197501,197553,198161,198643,204350,206905,208194,209303","67","Lower-priority member of semantic cluster led by row 50 (Champion: 'AM1')"
"AM1","AM1","Austin Model 1, a semi-empirical Hamiltonian","model","yes","16309,16320,16332,44578,44701,44765,44773,44868,44872,44949,45214,45851,45971,45972,45973,45974,45975,46858,46859,49950,59611,59657,64512,64693,64706,64779,65012,65060,65072,65923,83666,90410,90428,90838,91152,92088,92090,92170,92188,92228,92255,92279,92351,92420,92424,92433,92494,92503,92540,99134,196959,197501,197553,198161,198643,204350,206905,208194,209303","67","Lower-priority member of semantic cluster led by row 50 (Champion: 'AM1')"
"AM1-BCC","AM1-BCC","A semi-empirical method for calculating atomic partial charges.","method|model","yes","44578,90410,90428,90838,91152,92170,92255,92279,92351,92420,92424,92494,92503,92540,99134,196959,197501,197553,198161,198643","20","Lower-priority member of semantic cluster led by row 52 (Champion: 'AM1-BCC')"
"AM1-BCC","AM1-BCC","A method for calculating atomic charges for organic molecules","method|model","yes","44578,90410,90428,90838,91152,92170,92255,92279,92351,92420,92424,92494,92503,92540,99134,196959,197501,197553,198161,198643","20","Lower-priority member of semantic cluster led by row 52 (Champion: 'AM1-BCC')"
"AM1-BCC","AM1-bcc","A method to derive atomic charges using the AM1 Hamiltonian","method|model","yes","44578,90410,90428,90838,91152,92170,92255,92279,92351,92420,92424,92494,92503,92540,99134,196959,197501,197553,198161,198643","20","Lower-priority member of semantic cluster led by row 52 (Champion: 'AM1-BCC')"
"amb2chm_psf_crd.py","amb2chm_psf_crd.py","A script to convert Amber files to CHARMM PSF/CRD format.","software","yes","89542,89547,89555,89569,98764","5","Lower-priority member of semantic cluster led by row 56 (Champion: 'amb2chm_psf_crd.py')"
"amb2gro_top_gro.py","amb2gro_top_gro.py","A script to convert Amber files to GROMACS TOP/GRO format.","software","yes","89741,89746,89754,89768,98795","5","Lower-priority member of semantic cluster led by row 58 (Champion: 'amb2gro_top_gro.py')"
"Amoeba force field","Amoeba force field","A multipolar, polarizable force field for detailed biomolecular simulations","model","yes","186041,186274,186452","3","Lower-priority member of semantic cluster led by row 59 (Champion: 'AMOEBA Force Field')"
"Angle Energy","angle","The energy contribution from valence angles.","measure","yes","2153,5249,5438,5918,7578,8283,16469,22459,35284,46926,48575,50808,72881,74052,75649,77028,77029,77432,78580,79098,79115,79148,79164,79910,82126,82130,82145,82175,82205,82236,82250,82257,82526,84143,84798,85211,85463,85876,86958,87196,87206,88336,88771,88772,88773,88774,88928,88929,90474,90475,90476,90827,90833,91552,91553,91554,91555,91556,91558,91986,92007,93270,93294,94038,94517,94558,94733,94750,95181,95186,95243,95848,96036,97049,97248,97321,97401,97457,97492,97531,97679,97734,97736,97771,97792,97794,97802,98301,98558,98704,98726,99009,99014,99143,99229,99318,99323,99325,99337,99349","232","Lower-priority member of semantic cluster led by row 61 (Champion: 'Angle CV')"
"Angstrom","Å","Unit of length equal to 10⁻¹⁰ meters","unit","yes","7878,15218,15488,15490,19522,20858,22561,22622,22629,22642,22775,22779,23637,23713,23717,23874,23886,24640,24869,24870,24875,24882,24890,25006,25035,25052,25081,25160,25416,25730,25747,25767,25827,26298,26393,26617,27117,27554,27562,27646,27650,27758,27760,28390,28396,28397,28636,29717,33634,33649,34652,34658,34797,34872,34876,34880,35404,35412,35642,35940,35956,36085,36383,37265,37871,38293,38382,38460,39787,41027,43426,43467,43518,43678,43682,43747,43766,43784,43829,43843,43861,43878,49272,49307,49725,49773,62045,62076,68657,68678,69269,70588,70624,70659,70719,70744,70816,73151,73163,73164","219","Lower-priority member of semantic cluster led by row 64 (Champion: 'Angstrom')"
"Antechamber","Antechamber","A suite of tools to generate files for organic molecules.","software","yes","1847,2017,24581,49064,49084,80737,83672,90362,90366,90372,90554,90556,90559,90567,90580,90584,90589,90601,90643,90646,90650,91007,91038,91197,91208,91231,91236,91250,91268,91278,91332,91477,91714,91718,91721,91792,91799,92085,92100,92103,92113,92123,92126,92139,92144,92150,92159,92165,92217,92227,92290,92294,92296,92315,92560,92641,92645,92675,93089,93110,93123,93155,93157,93160,93167,93179,93206,93211,93233,93238,93357,93719,93844,96093,98736,98933,99133,100294,101451,103811,103816,105029,105037,168954,189969,195839,195845,195858","88","Lower-priority member of semantic cluster led by row 68 (Champion: 'antechamber (program)')"
"antechamber","antechamber","Program to develop force fields for small organic molecules","software|method","yes","1847,2017,24581,49064,49084,80737,83672,90362,90366,90372,90554,90556,90559,90567,90580,90584,90589,90601,90643,90646,90650,91007,91038,91197,91208,91231,91236,91250,91268,91278,91332,91477,91714,91718,91721,91792,91799,92085,92100,92103,92113,92123,92126,92139,92144,92150,92159,92165,92217,92227,92290,92294,92296,92315,92560,92641,92645,92675,93089,93110,93123,93155,93157,93160,93167,93179,93206,93211,93233,93238,93357,93719,93844,96093,98736,98933,99133,100294,101451,103811,103816,105029,105037,168954,189969,195839,195845,195858","88","Lower-priority member of semantic cluster led by row 68 (Champion: 'antechamber (program)')"
"antechamber","antechamber","An AmberTools program for generating parameters for organic molecules.","software","yes","1847,2017,24581,49064,49084,80737,83672,90362,90366,90372,90554,90556,90559,90567,90580,90584,90589,90601,90643,90646,90650,91007,91038,91197,91208,91231,91236,91250,91268,91278,91332,91477,91714,91718,91721,91792,91799,92085,92100,92103,92113,92123,92126,92139,92144,92150,92159,92165,92217,92227,92290,92294,92296,92315,92560,92641,92645,92675,93089,93110,93123,93155,93157,93160,93167,93179,93206,93211,93233,93238,93357,93719,93844,96093,98736,98933,99133,100294,101451,103811,103816,105029,105037,168954,189969,195839,195845,195858","88","Lower-priority member of semantic cluster led by row 68 (Champion: 'antechamber (program)')"
"APBS","APBS","Adaptive Poisson-Boltzmann Solver, a program for continuum electrostatics.","software","yes","3267,119018,119022,119023,119024,119033,119041,119042,119043,119047,119051,119123,119127,119175,119179,189863,189871,191015,191039,191113,191174,191183,191184,191185,193004,193523,193602,205230,205330,205432,205436,205888,206234","35","Lower-priority member of semantic cluster led by row 70 (Champion: 'Adaptive Poisson-Boltzmann Solver')"
"arad","arad","Input variable for the effective electrostatic size (A) in ALPB","identifier|measure","yes","21899,21992,21997,22007,22035,22042,22064,22092,22207","9","Lower-priority member of semantic cluster led by row 71 (Champion: 'arad')"
"arcres","arcres","The resolution of dots used to represent solvent accessible arcs","identifier|measure","yes","22641,22906,24845,24850,24869,24875,24878,29864,29884,30239","10","Lower-priority member of semantic cluster led by row 73 (Champion: 'arcres')"
"ASM Flag","asm","Flag to enable Adaptive String Method calculations.","method|algorithm","yes","135349,135437,135463,135844,135846,135850,135852,135880,136227,136694","11","Lower-priority member of semantic cluster led by row 76 (Champion: 'Adaptive String Method')"
"asymmetric unit","asymmetric unit","The smallest part of a crystal structure generated by symmetry operations.","chemical entity|model","yes","78208,105442","2","Lower-priority member of semantic cluster led by row 77 (Champion: 'asymmetric unit')"
"Atom Type","atom type","A label defining an atom's force field parameters","identifier|model","yes","4750,4754,4791,4801,4808,4810,4823,4825,4860,4861,4862,4864,4867,4868,4869,4905,4941,6620,7598,7810,8065,8239,8597,8601,8623,8648,8652,33525,37133,37156,37179,37206,37369,48558,51018,51022,59899,59910,59927,59945,64168,64177,64204,64205,64206,64207,64208,65997,66009,72922,75862,78286,78306,81956,81957,81962,81969,82089,82103,82852,82861,83229,83334,84254,84257,84273,84276,84443,84450,84521,84566,84605,84625,84626,86407,86479,88400,88522,88548,89171,89706,89732,89734,90232,90735,90843,90899,90909,91357,91499,91544,91549,91550,91633,91637,92321,92339,92367,92371,92400","125","Lower-priority member of semantic cluster led by row 1274 (Champion: 'ATOM')"
"Atom Type","type","A string property defining the AMBER force field atom type","identifier","yes","2190,2556,3146,4522,4750,4754,4755,4791,4801,4808,4810,4823,4825,4860,4861,4862,4864,4867,4868,4869,4905,4941,6620,6621,7598,7810,8065,8239,8597,8601,8603,8610,8613,8623,8648,8652,14647,15916,15939,15942,16073,16112,18080,20702,21013,21037,23140,23148,23788,24561,28035,28800,29514,29721,31107,31784,32140,33525,35536,37133,37156,37179,37206,37368,37369,44467,44645,44693,44938,45214,46131,46601,46919,46929,47692,48006,48558,48765,48906,49199,50837,51018,51022,52422,52700,52991,53008,53041,53427,53428,53432,53809,53811,54142,54261,54279,54471,54542,54878,54896","601","Lower-priority member of semantic cluster led by row 1274 (Champion: 'ATOM')"
"Surface Offset","b","Offset parameter in the nonpolar solvation energy calculation","measure|model","yes","2651,5352,5364,8455,8556,8558,8560,9573,9584,9610,9625,9651,9666,9697,9821,10454,11153,11378,11391,12273,12279,15484,15489,17940,20481,20494,20507,20511,20516,20531,20536,20542,20547,20551,20558,20562,20987,21010,21021,21046,21171,21183,21195,21207,21219,21231,21243,21255,21267,21279,21304,21309,21320,21332,21344,21356,21368,22553,22568,22569,22570,22906,23115,23153,31342,31362,31384,31487,31497,31614,32322,32340,32362,32507,32684,32704,32734,32795,35773,35774,37721,43117,43134,44858,44863,44901,45016,45112,45680,45717,48355,48401,48420,51119,51127,51541,51761,51782,52043,52060","276","Lower-priority member of semantic cluster led by row 82 (Champion: 'bridge function')"
"bb","bb","Input variable for the group transfer free energy of the backbone","identifier|measure","yes","21579,21593,21785,21804,21809","6","Lower-priority member of semantic cluster led by row 83 (Champion: 'bb')"
"bcopt","bcopt","Option for the boundary condition of the PB calculation","identifier","yes","23444,25264,25282,25528,25533,25648,27145,27175,27356,27477,27590,27648,28127,29876,29888,30174,30184,30191,30193,30195,30243,30325,31052,192309","24","Lower-priority member of semantic cluster led by row 85 (Champion: 'bcopt')"
"Bennett Acceptance Ratio","Bennett Acceptance Ratio","A statistical method for computing free energy differences from simulations.","method|algorithm","yes","140195,148225,214337","3","Lower-priority member of semantic cluster led by row 87 (Champion: 'Bennett Acceptance Ratio')"
"Berendsen thermostat","Berendsen thermostat","A weak-coupling method for temperature control.","algorithm|method","yes","109064,128099","2","Lower-priority member of semantic cluster led by row 89 (Champion: 'Berendsen Thermostat')"
"bfgs","bfgs","Broyden–Fletcher–Goldfarb–Shanno algorithm for parameter optimization.","algorithm|method","yes","100058,139337,139341","4","Lower-priority member of semantic cluster led by row 91 (Champion: 'bfgs')"
"BiCG","BiCG","Biconjugate gradient, a solver for linear systems","algorithm","yes","29994,30106,30167,30292","4","Lower-priority member of semantic cluster led by row 93 (Champion: 'BiCG')"
"Bond Energy","bond","The energy contribution from valence bonds.","measure","yes","2153,5918,7578,7884,8678,8720,12283,17747,17760,18162,18167,18172,18337,33264,35284,35285,44640,45209,45517,45537,45587,45608,45736,45749,45975,48534,48573,48593,49060,49108,49109,49272,50034,50036,50037,50808,50969,59265,62679,64289,64290,64291,64328,64376,64513,65857,65858,65860,65945,65978,65982,65985,66010,66011,66017,66041,66054,66070,66089,66097,66101,66106,66107,66108,66110,66117,66121,66133,66141,66152,66163,66183,66202,66204,66213,66221,66222,66249,66273,66282,66902,67295,67300,67712,68180,68658,68766,72881,73510,73813,73829,73843,73844,73845,73846,73847,74052,74053,74300,74302","396","Lower-priority member of semantic cluster led by row 97 (Champion: 'bond')"
"bond","bond","LEaP command to create a chemical bond between two atoms","software","yes","2153,5918,7578,7884,8678,8720,12283,17747,17760,18162,18167,18172,18337,33264,35284,35285,44640,45209,45517,45537,45587,45608,45736,45749,45975,48534,48573,48593,49060,49108,49109,49272,50034,50036,50037,50808,50969,59265,62679,64289,64290,64291,64328,64376,64513,65857,65858,65860,65945,65978,65982,65985,66010,66011,66017,66041,66054,66070,66089,66097,66101,66106,66107,66108,66110,66117,66121,66133,66141,66152,66163,66183,66202,66204,66213,66221,66222,66249,66273,66282,66902,67295,67300,67712,68180,68658,68766,72881,73510,73813,73829,73843,73844,73845,73846,73847,74052,74053,74300,74302","396","Lower-priority member of semantic cluster led by row 97 (Champion: 'bond')"
"buffer","buffer","Keyword for the minimum distance between solute and solvent box edge","identifier|measure","yes","33644,33714,33721,33900,34059,34074,34088,34138,34145,34189,34769,38250,38279,38286,38360,38410,38463,38592,38599,38704,38711,41656,41663,41756,41808,41872,41933,42045,42052,42169,42176,62542,62553,62555,62592,62666,62685,62821,62852,62915,63116,63122,63137,63149,63154,63171,63183,63196,63203,63215,63258,63265,63373,63378,63393,63408,63531,63595,63724,63741,64039,64264,64285,64498,64858,64868,64880,64925,64959,67284,68622,78592,81290,81294,81302,81310,81449,81453,96563,105486,105500,105631,105654,121264,121824,121886,121945,136107,136116,136117,179168,191652,191657,191665,191772,191793,191794,191796,191857,191858","110","Lower-priority member of semantic cluster led by row 99 (Champion: 'buffer')"
"Buffer Region Mask","buffermask","Amber mask specifying the buffer atoms","identifier","yes","63393,63519,63524,63540,63597,64078,121935,121940","9","Lower-priority member of semantic cluster led by row 104 (Champion: 'Buffer Region')"
"Buffer Region Mask","buffermask","Amber selection mask to define the buffer QM region.","identifier|data format","yes","63393,63519,63524,63540,63597,64078,121935,121940","9","Lower-priority member of semantic cluster led by row 104 (Champion: 'Buffer Region')"
"Buffer QM Region Charge","buffercharge","The net charge of the buffer QM region.","measure|state","yes","63408,63585,63590,121254,121259","5","Lower-priority member of semantic cluster led by row 103 (Champion: 'Buffer Region Charge')"
"car_to_files.py","car_to_files.py","A program to convert .car files to mol2 and PDB formats.","software","yes","98754,100694,100699,100707,100715","5","Lower-priority member of semantic cluster led by row 106 (Champion: 'car_to_files.py')"
"car_to_files.py","car_to_files.py","A program to generate mol2 and PDB files from a .car file.","software","yes","98754,100694,100699,100707,100715","5","Lower-priority member of semantic cluster led by row 106 (Champion: 'car_to_files.py')"
"CartHess2FC.py","CartHess2FC.py","A program to calculate force constants from a Cartesian Hessian matrix.","software","yes","98722,100168,100173,100181,100189","5","Lower-priority member of semantic cluster led by row 109 (Champion: 'CartHess2FC.py')"
"CartHess2FC.py","CartHess2FC.py","A program to calculate force constants from a Cartesian Hessian matrix.","software|process","yes","98722,100168,100173,100181,100189","5","Lower-priority member of semantic cluster led by row 109 (Champion: 'CartHess2FC.py')"
"cavity_offset","cavity_offset","The regression offset for the non-polar solvation free energy","identifier|measure","yes","26560,191004,191009","3","Lower-priority member of semantic cluster led by row 113 (Champion: 'cavity_offset')"
"cavity_offset","cavity_offset","The regression offset for the non-polar solvation free energy","identifier|measure","yes","26560,191004,191009","3","Lower-priority member of semantic cluster led by row 113 (Champion: 'cavity_offset')"
"cestats","cestats","A program to compute statistics from constant redox potential simulations","software","yes","152977,152986,153011,157716,157737,169628,173142,173165,173170,173238,173241,173250,173261,173272,173298,173839","16","Lower-priority member of semantic cluster led by row 114 (Champion: 'cestats')"
"cg","cg","Conjugate Gradient, an optimization method used by OptC4.py.","algorithm|method","yes","7346,7810,7823,8649,17849,17921,17931,17946,17968,17973,17978,17997,18023,18038,18041,18055,18063,18079,18089,18288,18293,18301,18313,18314,18418,18424,30028,30105,30130,30158,30159,30162,30167,30416,45861,67342,82990,82995,89339,91738,91831,100058,137425,139049,175071,175079,175087,175095,181939","54","Lower-priority member of semantic cluster led by row 117 (Champion: 'cg')"
"CHAGB","CHAGB","Charge Hydration Asymmetric Generalized Born model","model|method","yes","22340,22350,22395,22418,22426,22570,22617,22702,22734,22743,22756,22794,22914,22935","14","Lower-priority member of semantic cluster led by row 118 (Champion: 'CHAGB')"
"CHARMM","CHARMM","A molecular simulation program and its associated force fields","software|model","yes","4276,4285,13503,13504,14599,14604,48324,49954,70444,70840,70851,84152,84157,84669,84673,84675,84696,84734,84736,84745,84748,84749,84754,84759,84760,84766,84798,84816,84866,84874,84936,85070,85117,85151,85182,85212,85258,85277,85279,85291,85334,85338,85340,85361,85399,85410,85413,85414,85419,85424,85425,85431,85463,85481,85531,85539,85601,85735,85782,85816,85847,85877,85923,85942,85944,85956,85999,86000,86010,86022,86037,86047,86048,86057,86066,86068,86102,86112,86194,86199,86204,86209,86259,86261,86283,86293,86316,86421,86672,87529,87533,88192,88225,88226,89533,89538,89721,89724,89735,91098","128","Lower-priority member of semantic cluster led by row 121 (Champion: 'CHARMM')"
"charmmlipid2amber.py","charmmlipid2amber.py","A script to convert CHARMM lipid PDBs to Amber format","software|process","yes","2043,14602,14609,69200,197966","5","Lower-priority member of semantic cluster led by row 123 (Champion: 'charmmlipid2amber.py')"
"ChBox","ChBox","A program to modify the box information in an Amber coordinate file.","software","yes","78429,105751,105754,105793,105811","5","Lower-priority member of semantic cluster led by row 124 (Champion: 'ChBox')"
"closure","closure","The approximation to the closure relation in 3D-RISM","identifier|model","yes","31476,31487,31549,31690,31716,31847,32484,32530,32531,32646,32657,34548,34940,34948,34949,34954,34960,34966,35001,35002,35004,35014,35016,35021,35043,35044,35191,35196,35236,35282,35331,35526,35531,35536,36422,37473,37480,37487,37492,37493,37494,37496,37723,38566,38634,38645,38657,41480,41487,41498,41556,41557,41559,42020,42087,42098,42110,43136,129721,191674,191679,191684,191740,191938,214068","66","Lower-priority member of semantic cluster led by row 126 (Champion: 'closure')"
"Closure Relation","--closure","An equation to close the Ornstein-Zernike relation in RISM","model|method","yes","31476,31549,41480,191684,191938,214068","6","Lower-priority member of semantic cluster led by row 126 (Champion: 'closure')"
"closure relation","closure relation","An equation relating the total and direct correlation functions","model|method","yes","31476,31549,191684,191938","4","Lower-priority member of semantic cluster led by row 126 (Champion: 'closure')"
"CMAP","CMAP","A grid-based energy correction map for protein backbone dihedrals","model|method","yes","4756,4806,4812,4835,4874,4906,4908,4943,4944,4957,4969,7599,84735,84769,84785,85400,85434,85450,86119,87207,97400,97402,97404,97475,97696,97706,97707,122117,187786,187801,194591,194602","32","Lower-priority member of semantic cluster led by row 132 (Champion: 'Correction Map Energy')"
"CMAP","CMAP","A grid-based energy correction term for protein backbone dihedrals.","model","yes","4756,4806,4812,4835,4874,4906,4908,4943,4944,4957,4969,7599,84735,84769,84785,85400,85434,85450,86119,87207,97400,97402,97404,97475,97696,97706,97707,122117,187786,187801,194591,194602","32","Lower-priority member of semantic cluster led by row 132 (Champion: 'Correction Map Energy')"
