Filename,Residue_Code,File_Hash,Fragment_SMILES,Frag_Heavy_Atoms,Parent_Heavy_Atoms,Delta_atom_count,Parent_CID,Parent_ChEBI,Parent_Name,Match_Method
aminont19ipq_0.9_vac.lib_NHIP_sybyl.mol2,NHIP,abc4a972d7ea2393d93454ec9890f2ecfefc5d8fdc61e0ca94a7f03b57a3282e,[NH3+][C@@H](C[C]1N[CH]N[CH]1)[C][O],10,11,1,6971009,CHEBI:57595,L-histidine zwitterion,Substructure
all_amino94ildn.lib_GLY_sybyl.mol2,GLY,21a7fd80ae81ace3cdb7885117c8f0ca11047d3a77abc3f3c2be3707820794aa,[NH]C[C][O],4,4,0,700,CHEBI:16000,Ethanolamine,Similarity
RNA.YIL.lib_RCN_sybyl.mol2,RCN,8c9862599c5482cc16f04c98b13df70c54afd0d8cb2062b4dea50b2c500606a7,OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)[C@@H]([C@@H]1O)O,17,17,0,6253,CHEBI:28680,cytarabine,Substructure
terminalphos.LJbb-RNA.lib_UMP_sybyl.mol2,UMP,87d4857cc7d171e3b533de2cdaf17157b6cb10199121869b9b7573291058f4ec,[P]([O])([O])(OC[C@H]1O[C@@H](N2C=CC(=O)NC2=O)[C@@H]([C@@H]1[O])O)O,21,21,0,78224843,-,2za3,Substructure
aminoct14ipq.lib_CGLY_sybyl.mol2,CGLY,c2ce4f912d2a07105e307d158ecafbad94001252e45c732bc9ae1130d5ccdd2c,[NH]C[C]([O-])[O-],5,16,11,177744937,-,"6-methoxy-6-(2-methylsulfonylethoxy)cyclohexa-2,4-dien-1-amine",Substructure
all_amino94.nmr.lib_ASN_sybyl.mol2,ASN,c2998ba0c5a1425deef97897fa527e6622ece48e69c96d01afc01dc3cde8ba72,[NH][C@@H](C[C]([O])N)[C][O],8,35,27,44259,CHEBI:15738,staurosporine,Substructure
aminont10.lib_NASN_sybyl.mol2,NASN,4f38309d27ab180e842d0e50a0f9acdb4c6d71b50baf934b4d73e625efdf950b,[NH3+][C@@H](C[C]([O])N)[C][O],8,33,25,45479400,-,3'-O-demethyl-4'-N-demethyl-staurosporine,Substructure
aminoct12.lib_NME_sybyl.mol2,NME,d1b7795a25ec1f877a550ee8ff40f76ccd209de2decb2206e4c27388ae193332,[NH]C,2,2,0,6329,CHEBI:16830,METHYLAMINE,Similarity
amino19.lib_SER_sybyl.mol2,SER,33c44d09291c944de3e276ad4825d4955a67e6e0fb3c0f1f10b779efa9bb818b,[NH][C@@H](CO)[C][O],6,22,16,177746375,-,GalNAz-1-P,Substructure
amino15ipq_10.0.lib_LEU_sybyl.mol2,LEU,d4d1e71938f098ba3f66ff7f05b6fa563e1e5969f904432ab13a327d6f3a9c3c,[NH][C@@H](CC(C)C)[C][O],8,17,9,177746782,-,fluorosulfonyloxy-l-phenylalanine,Substructure
nucleic12.ROC-RNA.lib_C3_sybyl.mol2,C3,06a8ae2bc8b2bf675987b7201c49a79746863c4ee6d32bc831240c5688efdd19,[P](=O)([O])OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)[C@@H]([C@@H]1O)O,20,21,1,6131,CHEBI:17361,5'-CYTIDYLIC ACID,Substructure
nucleic12.redq.lib_A3_sybyl.mol2,A3,160f2699f27b2d1dd51eff0e9264bdcecc8cc0f756be14c0f5f1aae84e66c40f,[P](=O)([O])OC[C@H]1O[C@@H](N2C=Nc3c(N)ncnc23)[C@@H]([C@@H]1O)O,22,22,0,6076,CHEBI:17489,Cyclic AMP,Substructure
all_aminont03.lib_NHIE_sybyl.mol2,NHIE,4350c6e2e1d47bea902f82012462849ab3c182915b5e945754567b958b0f8d15,[NH3+][C@@H](C[C]1[N][CH]N[CH]1)[C][O],10,11,1,6971009,CHEBI:57595,L-histidine zwitterion,Substructure
all_amino94.lib_GLU_sybyl.mol2,GLU,563d081b08f04df3caa586c96a2c0d1b8be7c1341d5db30cabae8aef45e68b60,[NH][C@@H](CC[C]([O-])[O-])[C][O],9,30,21,24766,CHEBI:37397,Chondroitin sulfate,Substructure
lipid21.lib_SA_sybyl.mol2,SA,0bf58eba7c162f06c9dd4706a8b3c385e3e55cb876eccd82eac722bb09ce4bc0,CCCCCCCCCCCCC[CH][CH],15,8,-7,356,CHEBI:17590,octane,Similarity
all_aminoPM3.lib_GLH_sybyl.mol2,GLH,bd07c63400b2727251e74eb3f4ae1b9707245c5baa90a4a148fe04aacb148134,[NH][C@@H](CC[C]([O])O)[C][O],9,30,21,24766,CHEBI:37397,Chondroitin sulfate,Substructure
all_nucleic94.nmr.lib_DA_sybyl.mol2,DA,b6e0f22e4e183bfb4f0e95cb133670ca09b83b161e7e5ffe9c4740541b5c068d,[P](=O)([O])OC[C@H]1O[C@@H](N2C=Nc3c(N)ncnc23)C[C@@H]1[O],21,22,1,6076,CHEBI:17489,Cyclic AMP,Substructure
lipid21.lib_OL_sybyl.mol2,OL,f56d3866efccdad472e313c0bb06e6611749dd61fb0f0b9ddca4c4129f8d660f,[CH2]CCCCCC/C=C\CCCCCCCC,17,10,-7,5364559,-,Decene,Similarity
all_aminoct03.lib_CLEU_sybyl.mol2,CLEU,87bf01373710f53107a8157acb96aed328d359d9a51c171b75cd88fdd2e7ab14,[NH][C@@H](CC(C)C)[C]([O-])[O-],9,31,22,73419,CHEBI:9189,Solanocapsine,Substructure
GLYCAM_aminoct_06j_12SB.lib_CHYP_sybyl.mol2,CHYP,bf15387b7ae8830ae793696b0bd5f10bffe0d33e32886ba767af722579bd531f,[N]1C[C@H](O)C[C@H]1[C]([O-])[O-],9,24,15,165430161,-,156205-66-2,Substructure
nab.lib_CPRO_sybyl.mol2,CPRO,904443c6ffd71b619a031d45d2344c02adf0c3bf677457abf75282f13a611a06,[N]1CCC[C@H]1[C]([O-])[O-],8,43,35,8223,CHEBI:64318,ERGOTAMINE,Substructure
all_nucleic94.lib_RG5_sybyl.mol2,RG5,a31110335e9dd878e1f00ee8181a70381878cf3a7a4a36f64ef6aa75a7a8b4b3,OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)[C@@H]([C@@H]1[O])O,20,20,0,135398635,CHEBI:16750,guanosine,Substructure
aminont19ipq_0.9_vac.lib_NARG_sybyl.mol2,NARG,d6ec2185d568e3f38e12864ec0cbd8c3ed3e5fd696e747b1734359b84daac856,[NH3+][C@@H](CCCN[C](N)N)[C][O],11,12,1,46888425,-,3mfw,Substructure
aminont10.lib_NASP_sybyl.mol2,NASP,1162cdcaed9b4ac08d0fc04f90e2e790ba6edaf1783c681cae88071686754093,[NH3+][C@@H](C[C]([O-])[O-])[C][O],8,33,25,25200943,CHEBI:58214,kanamycin A(4+),Substructure
all_amino03.lib_ILE_sybyl.mol2,ILE,acf6702e89fde5d44219107366b56165aef856cc4b5129bc03dee3e657a22be4,[NH][C@@H]([C@@H](C)CC)[C][O],8,20,12,162136529,-,"2-(3,4-dichlorophenyl)-3-(methylamino)bicyclo[2.2.2]octan-2-ol;hydrochloride",Substructure
ff15ipq-19F.lib_Y3F_sybyl.mol2,Y3F,c6c2793766821dc5ba7334f92710a566dbb64ea7ee396c75a5c122564e9b9e24,[NH][C@@H](Cc1cc(F)c(O)cc1)[C][O],13,14,1,92100,CHEBI:32771,3-Fluoro-DL-tyrosine,Substructure
aminont15ipq-vac_10.0.lib_NMET_sybyl.mol2,NMET,548d93b0de86398184053428bcaadda57bd61c42a03f145925051a8cdf34fb1b,[NH3+][C@@H](CCSC)[C][O],8,9,1,6992087,CHEBI:57844,(2S)-2-ammonio-4-(methylsulfanyl)butanoate,Substructure
aminont14ipq.lib_ACE_sybyl.mol2,ACE,299c46031a3547a10c1fcf8b176218ace94019f3c006e744ca0f2e8c557250be,C[C][O],3,3,0,702,CHEBI:16236,ethanol,Similarity
nucleic12.lib_C5_sybyl.mol2,C5,1a35b2505ed0a43ebff7213939a8f9a4f45b36b3a6e23fb750f01d1b792b8a19,OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)[C@@H]([C@@H]1[O])O,17,17,0,6253,CHEBI:28680,cytarabine,Substructure
all_modrna08.lib_1MG_sybyl.mol2,1MG,f6abfab194aee22efa4b1e3e778fc8f34d75d550eeb928193aec1032a67784a3,[P](=O)([O])OC[C@H]1O[C@H]([C@H](O)[C@@H]1[O])N1C=NC2=C1N=C(N(C2=O)C)N,24,25,1,18596452,CHEBI:74268,1-methylguanosine 5'-(dihydrogen phosphate),Substructure
all_aminoct94ildn.lib_CTHR_sybyl.mol2,CTHR,f3b0c7f013c6e81b16cf6397c253026f654d777e365591647e03a91d3652db53,[NH][C@@H]([C@@H](C)O)[C]([O-])[O-],8,14,6,177744166,-,"(2S,3S,4R,5R)-5-amino-3,4-dihydroxy-6-methoxyoxane-2-carboxylic acid",Substructure
aminont19ipq_0.9_vac.lib_NNLE_sybyl.mol2,NNLE,adf67a5af1afdc8dcd315c2dfdebea36b1342e821ffaf58aa37460fb2eaed7fb,[NH3+][C@@H](CCCC)[C][O],8,12,4,6925665,CHEBI:58095,136019-12-0,Substructure
DNA_CI.lib_DCN_sybyl.mol2,DCN,dccc5a817813bc07683d5dabe372420c6fa1d5d75ebd2345e14642d8387f1f64,OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)C[C@@H]1O,16,16,0,13711,CHEBI:15698,2'-deoxycytidine,Substructure
all_modrna08.lib_MRI_sybyl.mol2,MRI,22e0a61e1cb984db171b45358709fc29493930d37fb2ccf33f139c5d27968a31,[P](=O)([O])OC[C@H]1O[C@H]([C@H](OC)[C@@H]1[O])N1C=NC2=C1N=CNC2=O,23,33,10,135446965,-,61556-44-3,Substructure
mod_amino19.lib_CNX_sybyl.mol2,CNX,db4e094f6b34f3410ceeada813f5ea2a071c8be23f9ed4789a0a7aa42d7f1ed4,[NH][C@@H](CSSC[C]1C(C)(C)N([O])C(C)(C)[CH]1)[C][O],18,0,-18,-,-,"API Error: PubChem HTTP Error 500 PUGREST.ServerError: GetEntrezKey failed (GetEntrezKey fault: Server, message: NCBI C++ Exception:,     Error: SERIAL(CUnassignedMember::eGet) ""/panfs/pan1.be-md.ncbi.nlm.nih.gov/structure_build/build_2021-03-22/c++/src/serial/serialobject.cpp"", line 302: UNK_FUNC --- CPCT_Entrez::GetQuery_key(): Attempt to get unassigned member NCBI-PCTools::PCT-Entrez.query-key)",Failed
nucleic12.LJbb-RNA.lib_U5_sybyl.mol2,U5,d6f6e4ef4bfc27d478d65025fe3125e4fef2acf85e91bca3f662e5410a4d21a8,OC[C@H]1O[C@@H](N2C=CC(=O)NC2=O)[C@@H]([C@@H]1[O])O,17,17,0,6029,CHEBI:16704,uridine,Substructure
amino15ipq-vac_10.0.lib_NLE_sybyl.mol2,NLE,a6813081b467bc8d35a4f526431b5bbfe6751d57e3891f7402ac0763d3107899,[NH][C@@H](CCCC)[C][O],8,17,9,177746782,-,fluorosulfonyloxy-l-phenylalanine,Substructure
ff-nucleic-OL21.lib_DAN_sybyl.mol2,DAN,76b623182268ca7a21ea39a7655e8b3599c44f68495aaf7149f3fc88108bbdd7,OC[C@H]1O[C@@H](N2C=Nc3c(N)ncnc23)C[C@@H]1O,18,31,13,177741639,-,"[(2R,3S,5R)-5-(6-amino-7-methylpurin-9-ium-9-yl)-3-hydroxyoxolan-2-yl]methyl [hydroxy(phosphonooxy)phosphoryl] phosphate",Substructure
all_aminoct94.lib_CHIP_sybyl.mol2,CHIP,d7b8baa1e249519c1929a4ead234f417b88e8bbba3ec36462ac2318b5127ca9c,[NH][C@@H](C[C]1N[CH]N[CH]1)[C]([O-])[O-],11,11,0,162397890,-,(2S)-2-azaniumyl-1-hydroxy-3-(1H-imidazol-5-yl)propan-1-olate,Substructure
aminoct15ipq_10.0.lib_CASH_sybyl.mol2,CASH,b126d9bfe7748c32dda104ea6886383ece3f915f826aed496118b7758525256d,[NH][C@@H](CC(=O)O)[C]([O-])[O-],9,9,0,137348931,-,"(3S)-3-amino-4,4-dihydroxybutanoic acid",Substructure
amino12.lib_GLN_sybyl.mol2,GLN,309b83989a865c45c67b3a43f1b40a9c8cd6428afeb504f1b1484e91db6cafee,[NH][C@@H](CC[C]([O])N)[C][O],9,21,12,4615193,-,252930-37-3,Substructure
uni_aminont03.lib_NPHE_sybyl.mol2,NPHE,85410944713c1c2c777e0b56a723bb337d97da37c251264f4acba2a017a5038e,[NH3+][C@@H]([C]c1ccccc1)[C][O],11,12,1,6925665,CHEBI:58095,136019-12-0,Substructure
aminoct19ipq_0.9_vac.lib_CARG_sybyl.mol2,CARG,763c33004403789e8af13357ead8dd7c6a96d815ad095da020019d007b74d66f,[NH][C@@H](CCCN[C](N)N)[C]([O-])[O-],12,14,2,134581644,-,SCHEMBL20233529,Substructure
all_aminont94.lib_NLEU_sybyl.mol2,NLEU,e7fd1e85c942385c5a164a37b0d2babcd311623ea6e718b32ab2ca6dc9212ebe,[NH3+][C@@H](CC(C)C)[C][O],8,9,1,7045798,CHEBI:57427,l-alpha-leucine,Substructure
amino15ipq-vac_10.0.lib_VAL_sybyl.mol2,VAL,a5cb22a6747cfb3fd03a7788d1fd652c97e68dd36b1967e70ae081e556454289,[NH][C@@H](C(C)C)[C][O],7,13,6,162337007,-,"1,2,4,5-tetrahydro-3-benzoxepin-5-amine;hydrochloride",Substructure
amino15ipq_10.0.lib_PHE_sybyl.mol2,PHE,2016a9fc36afbc0a3d5a74a5313287f84d7462ebd6a0492b0db75b1d64962cd4,[NH][C@@H](Cc1ccccc1)[C][O],11,17,6,177746782,-,fluorosulfonyloxy-l-phenylalanine,Substructure
aminoct12.lib_CASN_sybyl.mol2,CASN,e1250408fc9c8df7c129ed54aabe1c63ce5ce923f6ca83c0e5b08224c3424fd6,[NH][C@@H](CC(=O)N)[C]([O-])[O-],9,10,1,137349083,-,"(3S)-3-amino-4,4,4-trihydroxybutanamide",Substructure
all_aminont94ildn.lib_NTRP_sybyl.mol2,NTRP,b1b9a14245e48ee0f5c158ef8b465d9f699f36e27c3bda53c6cdbf110e38bdbc,[NH3+][C@@H](C[C]1[CH]Nc2ccccc12)[C][O],14,15,1,6923516,CHEBI:57912,3rzi,Substructure
amino14ipq.lib_CYX_sybyl.mol2,CYX,b244c16be02fb3c01767a84f9ec61fff1cb401de82ccbb0ca3ca2a08806e9e92,[NH][C@@H](C[S])[C][O],6,11,5,160931510,-,(2R)-2-azaniumyl-3-(2-chloroethylsulfanyl)propanoate;hydrochloride,Substructure
nucleic12.lib_DG_sybyl.mol2,DG,78bd48e2ff935823b03906aa501cbab7e3c47b9666bf77d2945254c3cc4df847,[P](=O)([O])OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)C[C@@H]1[O],22,23,1,135398570,CHEBI:16356,7665-99-8,Substructure
aminoct12.lib_CCYX_sybyl.mol2,CCYX,4ae9c23ec349d1ec3f18551efecf521ca30b39b3f5165896c92b8062c76c765f,[NH][C@@H](C[S])[C]([O-])[O-],7,27,20,6436219,CHEBI:49703,latrunculin B,Substructure
aminont15ipq-vac_10.0.lib_NCYX_sybyl.mol2,NCYX,ce8fdab4f52bd3e4ff00fe04edb3f73ae14fa4a18bcfac53325c41c0fe0111f8,[NH3+][C@@H](C[S])[C][O],6,7,1,6419722,CHEBI:35235,(2R)-2-ammonio-3-mercaptopropanoate,Substructure
aminoct12.redq.lib_CSER_sybyl.mol2,CSER,fea937daa861d971b6cf69ac9648433367cfc62adc074be3e78c0f3abc80e355,[NH][C@@H](CO)[C]([O-])[O-],7,14,7,177744166,-,"(2S,3S,4R,5R)-5-amino-3,4-dihydroxy-6-methoxyoxane-2-carboxylic acid",Substructure
all_aminofb15.lib_LYN_sybyl.mol2,LYN,d7ae9e19b23b799010cfc2be286c926942392faf1082fc49393a9dd2c2c958bd,[NH][C@@H](CCCCN)[C][O],9,34,25,177746405,-,EX-A16035F,Substructure
nab.lib_CN_sybyl.mol2,CN,d1246dc031dabbbcbeb38293f61a69f388f8b25923b9461ce9f8a209b3513fb6,OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)[C@@H]([C@@H]1O)O,17,17,0,6253,CHEBI:28680,cytarabine,Substructure
aminont14ipq.lib_NCYS_sybyl.mol2,NCYS,1fb3be0d5038a836da71c0940f2425521ac2894d5ce3fa7261c776240a3dc3d1,[NH3+][C@@H](CS)[C][O],6,7,1,6419722,CHEBI:35235,(2R)-2-ammonio-3-mercaptopropanoate,Substructure
amino19ipq_0.9.lib_CYS_sybyl.mol2,CYS,4468b1bdbd0ae089afc5dc4ac12d96481349f39a79faaa684e617dec306b24e5,[NH][C@@H](CS)[C][O],6,11,5,160931510,-,(2R)-2-azaniumyl-3-(2-chloroethylsulfanyl)propanoate;hydrochloride,Substructure
aminont15ipq_10.0.lib_NHID_sybyl.mol2,NHID,b3ca0cf19c1600f2475b4f939e6a3d0fefd6896d86a30b7b2a540eedec0d6097,[NH3+][C@@H](C[C]1N[CH][N][CH]1)[C][O],10,11,1,6971009,CHEBI:57595,L-histidine zwitterion,Substructure
all_aminont94.lib_NALA_sybyl.mol2,NALA,108bb559bd0d9dd14ee8daf9fc3199c3a674d4294ae610de6a2e1de7f59c4e7c,[NH3+][C@@H](C)[C][O],5,7,2,6419722,CHEBI:35235,(2R)-2-ammonio-3-mercaptopropanoate,Substructure
all_aminoct03.lib_CHIE_sybyl.mol2,CHIE,85d3572835ea590f37d8a4b416f2dff1e43721805534a8af136a1425568c8233,[NH][C@@H](CC1=CNC=N1)[C]([O-])[O-],11,11,0,162397890,-,(2S)-2-azaniumyl-1-hydroxy-3-(1H-imidazol-5-yl)propan-1-olate,Substructure
aminoct12.redq.lib_CALA_sybyl.mol2,CALA,8fbcad6b08ae6774f1044a0e1b8aa26a9b9ac12f537e071351e8699a00bc91be,[NH][C@@H](C)[C]([O-])[O-],6,14,8,177744166,-,"(2S,3S,4R,5R)-5-amino-3,4-dihydroxy-6-methoxyoxane-2-carboxylic acid",Substructure
all_aminoctfb15.lib_CMET_sybyl.mol2,CMET,0293a9abdc8b34808ddbb0b8de3183c554d4991347c9c4b7e00b38553aadd1c9,[NH][C@@H](CCSC)[C]([O-])[O-],9,9,0,448181,-,SCHEMBL13044992,Substructure
aminont12.redq.lib_NGLU_sybyl.mol2,NGLU,1ec2c3ded4a1ce7d6f1d953f155bd481d81ba77496e685b8bab6d9e42d74a969,[NH3+][C@@H](CC[C]([O-])[O-])[C][O],9,11,2,91820297,-,"5,5-Dihydroxyleucine",Substructure
all_amino94ildn.lib_HID_sybyl.mol2,HID,361b7c173755d21043bae55ff052bf5a89390b337c19882c77d70294afb3f2e6,[NH][C@@H](C[C]1N[CH][N][CH]1)[C][O],10,10,0,165271,CHEBI:16255,L-histidinol,Substructure
all_modrna08.lib_5CU_sybyl.mol2,5CU,a6ccc65a78185a39792009f376b31307be0349f7bdf17955c7ed6004f55d6661,P([O])([O])OC[C@H]1O[C@H]([C@H](O)[C@@H]1[O])[N@]1[C]([O])N[C]([O])[C]([CH]1)C[C]([O-])[O-],24,20,-4,68015317,-,SCHEMBL10041994,Similarity
amino19ipq_0.9_pol.lib_THR_sybyl.mol2,THR,d4c1a5ec2a6af8a57791c109776cde10d2dedcc93d169263a60f492f0e954638,[NH][C@@H]([C@@H](C)O)[C][O],7,14,7,177744166,-,"(2S,3S,4R,5R)-5-amino-3,4-dihydroxy-6-methoxyoxane-2-carboxylic acid",Substructure
aminoct10.lib_CGLU_sybyl.mol2,CGLU,16878df7814def386e59eebe8eb2b5dafef38616c864bb46835e9b0110c00661,[NH][C@@H](CC[C]([O-])[O-])[C]([O-])[O-],10,21,11,129630640,-,"Glucosamin-2,6-disulfat",Substructure
nucleic12.LJbb-RNA.lib_GN_sybyl.mol2,GN,8113083551e2d598910c25bd35e6c7a33cfe1b518bc08e42bbf5314c2f3679a6,OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)[C@@H]([C@@H]1O)O,20,20,0,135398635,CHEBI:16750,guanosine,Substructure
all_modrna08.lib_MTG_sybyl.mol2,MTG,891b777819c28bb05cf2690e511feabe3471c7ede32597555e4904fd0a376936,[P](=O)([O])OC[C@H]1O[C@H]([C@H](OC)[C@@H]1[O])N1C=NC2=C1N=C(NC2=O)N(C)C,26,32,6,90663863,-,CHEMBL3144268,Substructure
parmBSC0.lib_DC_sybyl.mol2,DC,17a8d823779d84bcd0f2a1fd63382fa26e049101cb5f01a82ebcc198fac77818,[P](=O)([O])OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)C[C@@H]1[O],19,20,1,13945,CHEBI:15918,1032-65-1,Substructure
GLYCAM_aminont_06j_12SB.lib_NNLN_sybyl.mol2,NNLN,3e311fb2a1055996b6fbda5682016631f8d634e3db67ed9cec8713849587ef73,[NH3+][C@@H](C[C]([O])[NH])[C][O],8,8,0,90894099,-,"1,2-diaminobutane-1,4-diol",Similarity
all_aminofb15.lib_LYS_sybyl.mol2,LYS,57e7163979a1129a15ab2afa640aea859decd42915d76b81703634d1c0357fd6,[NH][C@@H](CCCC[NH3+])[C][O],9,10,1,168007633,CHEBI:194466,CHEBI:194466,Substructure
aminoct19ipq_0.9_pol.lib_NME_sybyl.mol2,NME,1c5490cb17ab140ca5ca03facdf5595e21c0b592d7344846ad5aafbbbe71523e,[NH]C,2,2,0,6329,CHEBI:16830,METHYLAMINE,Similarity
all_modrna08.lib_13P_sybyl.mol2,13P,2914224ff429cc3092afb1fea66ebeec6bff4d49132d529bba91dae98c09abb4,P([O])([O])OC[C@H]1O[C@H]([C@H](O)[C@@H]1[O])[C]1[C]([O])N([C]([O])N([CH]1)C)CCC[C@H](N)[C]([O-])[O-],29,0,-29,-,-,"API Error: PubChem HTTP Error 500 PUGREST.ServerError: GetEntrezKey failed (GetEntrezKey fault: Server, message: NCBI C++ Exception:,     Error: SERIAL(CUnassignedMember::eGet) ""/panfs/pan1.be-md.ncbi.nlm.nih.gov/structure_build/build_2021-03-22/c++/src/serial/serialobject.cpp"", line 302: UNK_FUNC --- CPCT_Entrez::GetQuery_key(): Attempt to get unassigned member NCBI-PCTools::PCT-Entrez.query-key)",Failed
all_nucleic94.nmr.lib_DA5_sybyl.mol2,DA5,daf8a89fe1ca2826b68c1c6e913f49b85b58562e6a148d3acf23a0b907b5fac6,OC[C@H]1O[C@@H](N2C=Nc3c(N)ncnc23)C[C@@H]1[O],18,31,13,177741639,-,"[(2R,3S,5R)-5-(6-amino-7-methylpurin-9-ium-9-yl)-3-hydroxyoxolan-2-yl]methyl [hydroxy(phosphonooxy)phosphoryl] phosphate",Substructure
nab.lib_DC3_sybyl.mol2,DC3,83f1404603f446c618dc6c4b43441bb96f3ee318aca68f844a60569917f268cc,[P](=O)([O])OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)C[C@@H]1O,19,20,1,13945,CHEBI:15918,1032-65-1,Substructure
