Filename,Residue_Code,MOL2_SHA256_Hash,Raw_SMILES,Raw_CID,Raw_ChEBI,Raw_Name,Canon_SMILES,Canon_CID,Canon_ChEBI,Canon_Name,Flat_SMILES,Flat_CID,Flat_ChEBI,Flat_Name
GLYCAM_amino_06j_12SB.lib_HYP_sybyl.mol2,HYP,c0675d79598cf416915f573eb89bb6d8bf0a64b81254bbd721216f8005b8af4f,[N]1C[C@H](O)C[C@H]1[C][O],15817396,-,"(3R,5S)-5-(HYDROXYMETHYL)PYRROLIDIN-3-OL",[O][C][C@@H]1C[C@@H](O)C[N]1,15817396,-,"(3R,5S)-5-(HYDROXYMETHYL)PYRROLIDIN-3-OL",[O][C]C1CC(O)C[N]1,16767281,-,5-(hydroxymethyl)pyrrolidin-3-ol
amino19ipq_0.9_pol.lib_NLE_sybyl.mol2,NLE,a6813081b467bc8d35a4f526431b5bbfe6751d57e3891f7402ac0763d3107899,[NH][C@@H](CCCC)[C][O],5494388,-,80696-29-3,CCCC[C@H]([NH])[C][O],5494388,-,80696-29-3,CCCCC([NH])[C][O],249006,-,dl-2-Amino-1-hexanol
RNA.YIL.lib_RG3_sybyl.mol2,RG3,f069012f64215335983746d413cb529357d27ca15e8c454882d6a31fccabc783,[P](=O)([O])OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)[C@@H]([C@@H]1O)O,135566260,-,SCHEMBL186043,Nc1nc2c(ncn2[C@@H]2O[C@H](CO[P]([O])=O)[C@@H](O)[C@H]2O)c(=O)[nH]1,135566260,-,SCHEMBL186043,Nc1nc2c(ncn2C2OC(CO[P]([O])=O)C(O)C2O)c(=O)[nH]1,167300771,-,SCHEMBL24865920
nucleic12.lib_DG5_sybyl.mol2,DG5,d19346732d86a6e8c026ab022f90a437e348584402562b99cd778c411f580370,OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)C[C@@H]1[O],135398592,CHEBI:17172,2'-deoxyguanosine,Nc1nc2c(ncn2[C@H]2C[C@H]([O])[C@@H](CO)O2)c(=O)[nH]1,135398592,CHEBI:17172,2'-deoxyguanosine,Nc1nc2c(ncn2C2CC([O])C(CO)O2)c(=O)[nH]1,135402018,-,Desoxyguanosine
amino14ipq.lib_PHE_sybyl.mol2,PHE,2016a9fc36afbc0a3d5a74a5313287f84d7462ebd6a0492b0db75b1d64962cd4,[NH][C@@H](Cc1ccccc1)[C][O],447213,CHEBI:45086,"PHENYLALANINOL, (S)-",[NH][C@H]([C][O])Cc1ccccc1,447213,CHEBI:45086,"PHENYLALANINOL, (S)-",[NH]C([C][O])Cc1ccccc1,76652,-,DL-Phenylalaninol
all_modrna08.lib_QMG_sybyl.mol2,QMG,e82fe35be77ecb265542ccbc754f239864f421d9fd071c9b9120330fa0c8858c,[P](=O)([O])OC[C@H]1O[C@H]([C@H](O)[C@@H]1[O])N1C=C(C2=C1N=C(NC2=O)N)CN[C@H]1[C@H](O[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)[C@H](O)C=C1,None,-,Compound_None,Nc1nc2c(c(CN[C@@H]3C=C[C@@H](O)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)cn2[C@@H]2O[C@H](CO[P]([O])=O)[C@@H]([O])[C@H]2O)c(=O)[nH]1,None,-,Compound_None,Nc1nc2c(c(CNC3C=CC(O)C3OC3OC(CO)C(O)C(O)C3O)cn2C2OC(CO[P]([O])=O)C([O])C2O)c(=O)[nH]1,None,-,Compound_None
all_aminoPM3.lib_ASP_sybyl.mol2,ASP,44114581945be53c261b0e6dfd0ec2a758fa570a409b5b7a7053c159843e9690,[NH][C@@H](C[C]([O-])[O-])[C][O],None,-,Compound_None,[NH][C@H]([C][O])C[C]([O-])[O-],None,-,Compound_None,[NH]C([C][O])C[C]([O-])[O-],None,-,Compound_None
uni_aminoct03.lib_CSER_sybyl.mol2,CSER,32f3f8285b0ae7c90d46b9783575848010ba280d0642754c4edcdf9bc49d7187,[NH][C@@H]([C]O)[C]([O-])[O-],None,-,Compound_None,[NH][C@@H]([C]O)[C]([O-])[O-],None,-,Compound_None,[NH]C([C]O)[C]([O-])[O-],None,-,Compound_None
xFPchromophores.lib_CH6_sybyl.mol2,CH6,2f5ce3d4737707067fb53797cc314c649e661c07f3ccd374953d57c0988e3cae,[N][C](CCSC)[C]1[N][C]([CH]c2ccc(cc2)[O-])[C]([O])N1C[C][O],None,-,Compound_None,CSCC[C]([N])[C]1[N][C]([CH]c2ccc([O-])cc2)[C]([O])N1C[C][O],None,-,Compound_None,CSCC[C]([N])[C]1[N][C]([CH]c2ccc([O-])cc2)[C]([O])N1C[C][O],None,-,Compound_None
ff15ipq-19F.lib_F4F_sybyl.mol2,F4F,49f6a2d6813e78d6b07355fefb6eb9b8c192a9ecd6abcd17e5de705c4d79d64d,[NH][C@@H](Cc1ccc(F)cc1)[C][O],28804569,-,200267-65-8,[NH][C@H]([C][O])Cc1ccc(F)cc1,28804569,-,200267-65-8,[NH]C([C][O])Cc1ccc(F)cc1,3048998,-,2-amino-3-(4-fluorophenyl)propan-1-ol
amino14ipq.lib_HIP_sybyl.mol2,HIP,54dd127685a7a1076d20346f2dc3d9fca3bc0da79fe8e67bda649a46f607b853,[NH][C@@H](C[C]1N[CH]N[CH]1)[C][O],None,-,Compound_None,[NH][C@H]([C][O])C[C]1[CH]N[CH]N1,None,-,Compound_None,[NH]C([C][O])C[C]1[CH]N[CH]N1,134243510,-,SCHEMBL19852909
ff15ipq-19F.lib_W6F_sybyl.mol2,W6F,8021084c5a2a21ae9bbfbb45475757b18fbfc2d7133b78e92f2d336969d0535b,[NH][C@@H](C[C]1[CH]Nc2cc(F)ccc12)[C][O],None,-,Compound_None,[NH][C@H]([C][O])C[C]1[CH]Nc2cc(F)ccc21,None,-,Compound_None,[NH]C([C][O])C[C]1[CH]Nc2cc(F)ccc21,None,-,Compound_None
aminoct14ipq.lib_CVAL_sybyl.mol2,CVAL,3151da0ca9de731ca3283c75c9097939f69ccd21d2c2f66e0d588ca32813b4e3,[NH][C@@H](C(C)C)[C]([O-])[O-],None,-,Compound_None,CC(C)[C@H]([NH])[C]([O-])[O-],None,-,Compound_None,CC(C)C([NH])[C]([O-])[O-],None,-,Compound_None
nab.lib_OHE_sybyl.mol2,OHE,376175f7ace1fdfb59c13ea17600e6d948502c006a07d5257e9a15a74f92947a,[OH],962,CHEBI:15377,water,[OH],962,CHEBI:15377,water,[OH],962,CHEBI:15377,water
aminoct19ipq_0.9_vac.lib_CGLH_sybyl.mol2,CGLH,bad216dbbed8dfd83d06e599e5ee5ac1405bdb9109c7352626eebd08a1074744,[NH][C@@H](CCC(=O)O)[C]([O-])[O-],None,-,Compound_None,[NH][C@@H](CCC(=O)O)[C]([O-])[O-],None,-,Compound_None,[NH]C(CCC(=O)O)[C]([O-])[O-],None,-,Compound_None
nab.lib_CTRP_sybyl.mol2,CTRP,40034eb3b538819a0169934321e53a7272b0437d6f4e4a26eb02fcad8436f80e,[NH][C@@H](CC1=CNc2ccccc12)[C]([O-])[O-],None,-,Compound_None,[NH][C@@H](Cc1c[nH]c2ccccc12)[C]([O-])[O-],None,-,Compound_None,[NH]C(Cc1c[nH]c2ccccc12)[C]([O-])[O-],None,-,Compound_None
amino19ipq_0.9_vac.lib_ILE_sybyl.mol2,ILE,acf6702e89fde5d44219107366b56165aef856cc4b5129bc03dee3e657a22be4,[NH][C@@H]([C@@H](C)CC)[C][O],2724027,-,"(2S,3S)-2-Amino-3-methyl-1-pentanol",CC[C@H](C)[C@H]([NH])[C][O],2724027,-,"(2S,3S)-2-Amino-3-methyl-1-pentanol",CCC(C)C([NH])[C][O],91202,-,2-Amino-3-methylpentan-1-ol
RNA.lib_U5_sybyl.mol2,U5,d6f6e4ef4bfc27d478d65025fe3125e4fef2acf85e91bca3f662e5410a4d21a8,OC[C@H]1O[C@@H](N2C=CC(=O)NC2=O)[C@@H]([C@@H]1[O])O,6029,CHEBI:16704,uridine,[O][C@H]1[C@@H](O)[C@H](n2ccc(=O)[nH]c2=O)O[C@@H]1CO,6029,CHEBI:16704,uridine,[O]C1C(CO)OC(n2ccc(=O)[nH]c2=O)C1O,1177,CHEBI:143353,40436-51-9
amino19ipq_0.9_vac.lib_TYR_sybyl.mol2,TYR,3a18bf3ea247fa34443df58c523cd698eef5449a756c4d814ba60956b50bdfca,[NH][C@@H](Cc1ccc(O)cc1)[C][O],151247,-,5034-68-4,[NH][C@H]([C][O])Cc1ccc(O)cc1,151247,-,5034-68-4,[NH]C([C][O])Cc1ccc(O)cc1,548190,-,4-(2-Amino-3-hydroxypropyl)phenol
nucleic12.ROC-RNA.lib_AN_sybyl.mol2,AN,4e445988f62963e8193b8f6cbc343fc7757f7503fa4fa9f58a91e10886b7e12e,OC[C@H]1O[C@@H](N2C=Nc3c(N)ncnc23)[C@@H]([C@@H]1O)O,60961,CHEBI:16335,adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,60961,CHEBI:16335,adenosine,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,191,CHEBI:93913,"2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol"
phosaa14SB.lib_TPO_sybyl.mol2,TPO,51cbd64539498376fa7980e4b07ddc3dc7bc3c49fda580373ff4524f93f7946c,[NH][C@@H]([C@@H](C)O[P]([O])([O])[O])[C][O],78224480,-,"[(2R,3R)-3-amino-4-hydroxybutan-2-yl]oxy-trihydroxyphosphanium",C[C@@H](O[P]([O])([O])[O])[C@H]([NH])[C][O],78224480,-,"[(2R,3R)-3-amino-4-hydroxybutan-2-yl]oxy-trihydroxyphosphanium",CC(O[P]([O])([O])[O])C([NH])[C][O],None,-,Compound_None
amino19.lib_HYP_sybyl.mol2,HYP,5bcbbe8cf4e8921ce8850244e0cf48d80d55bfc09c9e55ab8acb7b5e543f58ae,[N]1C[C@H](O)C[C@H]1[C][O],15817396,-,"(3R,5S)-5-(HYDROXYMETHYL)PYRROLIDIN-3-OL",[O][C][C@@H]1C[C@@H](O)C[N]1,15817396,-,"(3R,5S)-5-(HYDROXYMETHYL)PYRROLIDIN-3-OL",[O][C]C1CC(O)C[N]1,16767281,-,5-(hydroxymethyl)pyrrolidin-3-ol
amino19ipq_0.9_vac.lib_LEU_sybyl.mol2,LEU,d4d1e71938f098ba3f66ff7f05b6fa563e1e5969f904432ab13a327d6f3a9c3c,[NH][C@@H](CC(C)C)[C][O],111307,CHEBI:228882,L-Leucinol,CC(C)C[C@H]([NH])[C][O],111307,CHEBI:228882,L-Leucinol,CC(C)CC([NH])[C][O],79030,-,2-Amino-4-methylpentan-1-ol
all_aminont03.lib_NASN_sybyl.mol2,NASN,4f38309d27ab180e842d0e50a0f9acdb4c6d71b50baf934b4d73e625efdf950b,[NH3+][C@@H](C[C]([O])N)[C][O],None,-,Compound_None,N[C]([O])C[C@H]([NH3+])[C][O],None,-,Compound_None,N[C]([O])CC([NH3+])[C][O],None,-,Compound_None
all_nucleic94.lib_DCN_sybyl.mol2,DCN,dccc5a817813bc07683d5dabe372420c6fa1d5d75ebd2345e14642d8387f1f64,OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)C[C@@H]1O,13711,CHEBI:15698,2'-deoxycytidine,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,13711,CHEBI:15698,2'-deoxycytidine,Nc1ccn(C2CC(O)C(CO)O2)c(=O)n1,637,-,Cytosine deoxyribonucleoside
lipid21.lib_PE_sybyl.mol2,PE,0a42d5897597499145f2e7b2b6e45c9881a5a981242f1eb54b8719b815c8cc17,[C](=O)OC[C@H](CO[P](OCC[NH3+])([O])[O])O[C]=O,None,-,Compound_None,[NH3+]CCO[P]([O])([O])OC[C@@H](CO[C]=O)O[C]=O,None,-,Compound_None,[NH3+]CCO[P]([O])([O])OCC(CO[C]=O)O[C]=O,None,-,Compound_None
all_aminoct94ildn.lib_NME_sybyl.mol2,NME,1c5490cb17ab140ca5ca03facdf5595e21c0b592d7344846ad5aafbbbe71523e,[NH]C,6329,CHEBI:16830,METHYLAMINE,C[NH],6329,CHEBI:16830,METHYLAMINE,C[NH],6329,CHEBI:16830,METHYLAMINE
GLYCAM_aminoct_06j_12SB.lib_COLT_sybyl.mol2,COLT,7a86502c35c50264bc09f3d138c8fc3cf4e3ccd81947d6773e2ad740ae109199,[NH][C@@H]([C@@H](C)[O])[C]([O-])[O-],None,-,Compound_None,C[C@@H]([O])[C@H]([NH])[C]([O-])[O-],None,-,Compound_None,CC([O])C([NH])[C]([O-])[O-],None,-,Compound_None
terminal_monophosphate.lib_DG5_sybyl.mol2,DG5,8f2085d98b9f9fd13ec540f6af66a82cebe66113b948d2df2e2ec3b1416b1fe4,[P]([O])([O])(O)OC[C@H]1O[C@H](C[C@@H]1[O])N1C2=C(C(=O)NC(=N2)N)N=C1,None,-,Compound_None,Nc1nc2c(ncn2[C@H]2C[C@H]([O])[C@@H](CO[P]([O])([O])O)O2)c(=O)[nH]1,None,-,Compound_None,Nc1nc2c(ncn2C2CC([O])C(CO[P]([O])([O])O)O2)c(=O)[nH]1,None,-,Compound_None
nab.lib_NTYR_sybyl.mol2,NTYR,413b48b013145740a43b8949fe8e97bcbfc6372f72dc88cd2e0d8cd0f360fb51,[NH3+][C@@H](Cc1ccc(O)cc1)[C][O],6951151,-,[(2S)-1-hydroxy-3-(4-hydroxyphenyl)propan-2-yl]azanium,[NH3+][C@H]([C][O])Cc1ccc(O)cc1,6951151,-,[(2S)-1-hydroxy-3-(4-hydroxyphenyl)propan-2-yl]azanium,[NH3+]C([C][O])Cc1ccc(O)cc1,78428316,-,[1-hydroxy-3-(4-hydroxyphenyl)propan-2-yl]azanium
amino15ipq-vac_10.0.lib_GLN_sybyl.mol2,GLN,309b83989a865c45c67b3a43f1b40a9c8cd6428afeb504f1b1484e91db6cafee,[NH][C@@H](CC[C]([O])N)[C][O],None,-,Compound_None,[NH][C@H]([C][O])CC[C](N)[O],None,-,Compound_None,[NH]C([C][O])CC[C](N)[O],None,-,Compound_None
