Residue_Code,Filename,MOL2_SHA256_Hash,Raw_SMILES,Raw_CID,Raw_ChEBI,Raw_Name,Canon_SMILES,Canon_CID,Canon_ChEBI,Canon_Name,Flat_SMILES,Flat_CID,Flat_ChEBI,Flat_Name
CASN,all_aminoct94.lib_CASN_sybyl.mol2,e1250408fc9c8df7c129ed54aabe1c63ce5ce923f6ca83c0e5b08224c3424fd6,[NH][C@@H](CC(=O)N)[C]([O-])[O-],,-,Compound_None,[NH][C@@H](CC(N)=O)[C]([O-])[O-],,-,Compound_None,[NH]C(CC(N)=O)[C]([O-])[O-],,-,Compound_None
PTR,phosaa14SB.lib_PTR_sybyl.mol2,97e1ae6517175d5a4cd5887ee2766634053cfaedf156fbaeae863ba11c206840,[NH][C@@H](Cc1ccc(cc1)O[P]([O])([O])[O])[C][O],,-,Compound_None,[NH][C@H]([C][O])Cc1ccc(O[P]([O])([O])[O])cc1,,-,Compound_None,[NH]C([C][O])Cc1ccc(O[P]([O])([O])[O])cc1,,-,Compound_None
GLN,amino12.lib_GLN_sybyl.mol2,309b83989a865c45c67b3a43f1b40a9c8cd6428afeb504f1b1484e91db6cafee,[NH][C@@H](CC[C]([O])N)[C][O],,-,Compound_None,[NH][C@H]([C][O])CC[C](N)[O],,-,Compound_None,[NH]C([C][O])CC[C](N)[O],,-,Compound_None
MTB,amino19ipq_0.9_pol.lib_MTB_sybyl.mol2,10b0d23913b58ede5a85a363191132665bff0829ca9087ce9d00ca239265f109,[S]C,878,CHEBI:16007,methanethiol,C[S],878,CHEBI:16007,methanethiol,C[S],878,CHEBI:16007,methanethiol
NHIP,aminont12.redq.lib_NHIP_sybyl.mol2,abc4a972d7ea2393d93454ec9890f2ecfefc5d8fdc61e0ca94a7f03b57a3282e,[NH3+][C@@H](C[C]1N[CH]N[CH]1)[C][O],,-,Compound_None,[NH3+][C@H]([C][O])C[C]1[CH]N[CH]N1,,-,Compound_None,[NH3+]C([C][O])C[C]1[CH]N[CH]N1,,-,Compound_None
RG3,all_nucleic94.nmr.lib_RG3_sybyl.mol2,f069012f64215335983746d413cb529357d27ca15e8c454882d6a31fccabc783,[P](=O)([O])OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)[C@@H]([C@@H]1O)O,135566260,-,SCHEMBL186043,Nc1nc2c(ncn2[C@@H]2O[C@H](CO[P]([O])=O)[C@@H](O)[C@H]2O)c(=O)[nH]1,135566260,-,SCHEMBL186043,Nc1nc2c(ncn2C2OC(CO[P]([O])=O)C(O)C2O)c(=O)[nH]1,167300771,-,SCHEMBL24865920
CNX,mod_amino19.lib_CNX_sybyl.mol2,db4e094f6b34f3410ceeada813f5ea2a071c8be23f9ed4789a0a7aa42d7f1ed4,[NH][C@@H](CSSC[C]1C(C)(C)N([O])C(C)(C)[CH]1)[C][O],,-,Compound_None,CC1(C)[CH][C](CSSC[C@H]([NH])[C][O])C(C)(C)N1[O],,-,Compound_None,CC1(C)[CH][C](CSSCC([NH])[C][O])C(C)(C)N1[O],,-,Compound_None
L1R,amberdyes.lib_L1R_sybyl.mol2,6c3a4b012894e821c2705282f92e523f1e5b9c0643b15b731e374f0f96a3550c,[C@@H](CCCC[NH])([NH])[C][O],11607920,CHEBI:189186,Lysol,[NH]CCCC[C@H]([NH])[C][O],11607920,CHEBI:189186,Lysol,[NH]CCCCC([NH])[C][O],11194353,-,"1-Hexanol, 2,6-diamino-"
PGR,lipid21.lib_PGR_sybyl.mol2,6a80005d483df83a81cfcb1baaa7546a21b92dd7579e38e05a636f72c0321254,[C](=O)OC[C@H](CO[P](OC[C@H](O)CO)([O])[O])O[C]=O,,-,Compound_None,[O][P]([O])(OC[C@H](O)CO)OC[C@@H](CO[C]=O)O[C]=O,,-,Compound_None,[O][P]([O])(OCC(O)CO)OCC(CO[C]=O)O[C]=O,,-,Compound_None
CHID,aminoct10.lib_CHID_sybyl.mol2,059ed679a249fcced34c852e93289e5a2842fd062630f89c35a9f9f2ee50be44,[NH][C@@H](CC1=CN=CN1)[C]([O-])[O-],,-,Compound_None,[NH][C@@H](Cc1cnc[nH]1)[C]([O-])[O-],,-,Compound_None,[NH]C(Cc1cnc[nH]1)[C]([O-])[O-],,-,Compound_None
DT3,all_nucleic94.lib_DT3_sybyl.mol2,ef7610d139d0c99d155c2e53a0f59b50802d04ed6c099cb2e9791ee10a114b80,[P](=O)([O])OC[C@H]1O[C@@H](N2C=C(C)C(=O)NC2=O)C[C@@H]1O,6398342,-,SCHEMBL1764557,Cc1cn([C@H]2C[C@H](O)[C@@H](CO[P]([O])=O)O2)c(=O)[nH]c1=O,6398342,-,SCHEMBL1764557,Cc1cn(C2CC(O)C(CO[P]([O])=O)O2)c(=O)[nH]c1=O,21983245,-,SCHEMBL10169519
VAL,uni_amino03.lib_VAL_sybyl.mol2,4ba1e7e557d0456732a98cba797e3a4b440c6da207ec8dd542a8388b86450538,[NH][C@@H]([C]([C])[C])[C][O],640993,-,L-Valinol,[C][C]([C])[C@H]([NH])[C][O],640993,-,L-Valinol,[C][C]([C])C([NH])[C][O],79019,CHEBI:183239,Valinol
OHE,nucleic10.lib_OHE_sybyl.mol2,376175f7ace1fdfb59c13ea17600e6d948502c006a07d5257e9a15a74f92947a,[OH],962,CHEBI:15377,water,[OH],962,CHEBI:15377,water,[OH],962,CHEBI:15377,water
THR,amino12.lib_THR_sybyl.mol2,d4c1a5ec2a6af8a57791c109776cde10d2dedcc93d169263a60f492f0e954638,[NH][C@@H]([C@@H](C)O)[C][O],2033049,-,threoninol,C[C@@H](O)[C@H]([NH])[C][O],2033049,-,threoninol,CC(O)C([NH])[C][O],5068681,-,"2-aminobutane-1,3-diol"
ARG,uni_amino03.lib_ARG_sybyl.mol2,e263af33f4c5a6162ce01153a5b4658554e978cf0419009464a07f854d05c4c8,[NH][C@@H]([C][C][C]N[C](N)N)[C][O],,-,Compound_None,[NH][C@H]([C][O])[C][C][C]N[C](N)N,,-,Compound_None,[NH]C([C][O])[C][C][C]N[C](N)N,146755757,-,2-amino-5-(diaminomethylamino)pentan-1-ol
4SU,all_modrna08.lib_4SU_sybyl.mol2,6c067ba892541fb5546cb92a143f9e526a76ca98ac99a16f69a03d91e78b7807,P([O])([O])OC[C@H]1O[C@H]([C@H](O)[C@@H]1[O])[N@]1[C]([O])N[C]([S])[CH][CH]1,,-,Compound_None,[O][C]1N[C]([S])[CH][CH]N1[C@@H]1O[C@H](COP([O])[O])[C@@H]([O])[C@H]1O,,-,Compound_None,[O][C]1N[C]([S])[CH][CH]N1C1OC(COP([O])[O])C([O])C1O,,-,Compound_None
CGLH,aminoct19ipq_0.9_pol.lib_CGLH_sybyl.mol2,bad216dbbed8dfd83d06e599e5ee5ac1405bdb9109c7352626eebd08a1074744,[NH][C@@H](CCC(=O)O)[C]([O-])[O-],,-,Compound_None,[NH][C@@H](CCC(=O)O)[C]([O-])[O-],,-,Compound_None,[NH]C(CCC(=O)O)[C]([O-])[O-],,-,Compound_None
L2C,amberdyes.lib_L2C_sybyl.mol2,d8547aae43e51e8aa07a4a3e5b619f9cac57ccee1877642db102ac1f536b7a62,[C@@H](CCCCN[C](CCC[N]C)[O])([NH])[C]([O-])[O-],,-,Compound_None,C[N]CCC[C]([O])NCCCC[C@H]([NH])[C]([O-])[O-],,-,Compound_None,C[N]CCC[C]([O])NCCCCC([NH])[C]([O-])[O-],,-,Compound_None
C,RNA.lib_C_sybyl.mol2,4aab088808261e306290fd739258414d2334e7e527437a9d74c8e99e0f8b1722,[P](=O)([O])OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)[C@@H]([C@@H]1[O])O,18653297,-,SCHEMBL584613,Nc1ccn([C@@H]2O[C@H](CO[P]([O])=O)[C@@H]([O])[C@H]2O)c(=O)n1,18653297,-,SCHEMBL584613,Nc1ccn(C2OC(CO[P]([O])=O)C([O])C2O)c(=O)n1,21988979,-,"[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxy-oxophosphanium"
HYP,GLYCAM_amino_06j_12SB.lib_HYP_sybyl.mol2,c0675d79598cf416915f573eb89bb6d8bf0a64b81254bbd721216f8005b8af4f,[N]1C[C@H](O)C[C@H]1[C][O],15817396,-,"(3R,5S)-5-(HYDROXYMETHYL)PYRROLIDIN-3-OL",[O][C][C@@H]1C[C@@H](O)C[N]1,15817396,-,"(3R,5S)-5-(HYDROXYMETHYL)PYRROLIDIN-3-OL",[O][C]C1CC(O)C[N]1,16767281,-,5-(hydroxymethyl)pyrrolidin-3-ol
NLE,amino19ipq_0.9_pol.lib_NLE_sybyl.mol2,a6813081b467bc8d35a4f526431b5bbfe6751d57e3891f7402ac0763d3107899,[NH][C@@H](CCCC)[C][O],5494388,-,80696-29-3,CCCC[C@H]([NH])[C][O],5494388,-,80696-29-3,CCCCC([NH])[C][O],249006,-,dl-2-Amino-1-hexanol
DG5,nucleic12.lib_DG5_sybyl.mol2,d19346732d86a6e8c026ab022f90a437e348584402562b99cd778c411f580370,OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)C[C@@H]1[O],135398592,CHEBI:17172,2'-deoxyguanosine,Nc1nc2c(ncn2[C@H]2C[C@H]([O])[C@@H](CO)O2)c(=O)[nH]1,135398592,CHEBI:17172,2'-deoxyguanosine,Nc1nc2c(ncn2C2CC([O])C(CO)O2)c(=O)[nH]1,135402018,-,Desoxyguanosine
PHE,amino14ipq.lib_PHE_sybyl.mol2,2016a9fc36afbc0a3d5a74a5313287f84d7462ebd6a0492b0db75b1d64962cd4,[NH][C@@H](Cc1ccccc1)[C][O],447213,CHEBI:45086,"PHENYLALANINOL, (S)-",[NH][C@H]([C][O])Cc1ccccc1,447213,CHEBI:45086,"PHENYLALANINOL, (S)-",[NH]C([C][O])Cc1ccccc1,76652,-,DL-Phenylalaninol
QMG,all_modrna08.lib_QMG_sybyl.mol2,e82fe35be77ecb265542ccbc754f239864f421d9fd071c9b9120330fa0c8858c,[P](=O)([O])OC[C@H]1O[C@H]([C@H](O)[C@@H]1[O])N1C=C(C2=C1N=C(NC2=O)N)CN[C@H]1[C@H](O[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)[C@H](O)C=C1,,-,Compound_None,Nc1nc2c(c(CN[C@@H]3C=C[C@@H](O)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)cn2[C@@H]2O[C@H](CO[P]([O])=O)[C@@H]([O])[C@H]2O)c(=O)[nH]1,,-,Compound_None,Nc1nc2c(c(CNC3C=CC(O)C3OC3OC(CO)C(O)C(O)C3O)cn2C2OC(CO[P]([O])=O)C([O])C2O)c(=O)[nH]1,,-,Compound_None
ASP,all_aminoPM3.lib_ASP_sybyl.mol2,44114581945be53c261b0e6dfd0ec2a758fa570a409b5b7a7053c159843e9690,[NH][C@@H](C[C]([O-])[O-])[C][O],,-,Compound_None,[NH][C@H]([C][O])C[C]([O-])[O-],,-,Compound_None,[NH]C([C][O])C[C]([O-])[O-],,-,Compound_None
CSER,uni_aminoct03.lib_CSER_sybyl.mol2,32f3f8285b0ae7c90d46b9783575848010ba280d0642754c4edcdf9bc49d7187,[NH][C@@H]([C]O)[C]([O-])[O-],,-,Compound_None,[NH][C@@H]([C]O)[C]([O-])[O-],,-,Compound_None,[NH]C([C]O)[C]([O-])[O-],,-,Compound_None
CH6,xFPchromophores.lib_CH6_sybyl.mol2,2f5ce3d4737707067fb53797cc314c649e661c07f3ccd374953d57c0988e3cae,[N][C](CCSC)[C]1[N][C]([CH]c2ccc(cc2)[O-])[C]([O])N1C[C][O],,-,Compound_None,CSCC[C]([N])[C]1[N][C]([CH]c2ccc([O-])cc2)[C]([O])N1C[C][O],,-,Compound_None,CSCC[C]([N])[C]1[N][C]([CH]c2ccc([O-])cc2)[C]([O])N1C[C][O],,-,Compound_None
F4F,ff15ipq-19F.lib_F4F_sybyl.mol2,49f6a2d6813e78d6b07355fefb6eb9b8c192a9ecd6abcd17e5de705c4d79d64d,[NH][C@@H](Cc1ccc(F)cc1)[C][O],28804569,-,200267-65-8,[NH][C@H]([C][O])Cc1ccc(F)cc1,28804569,-,200267-65-8,[NH]C([C][O])Cc1ccc(F)cc1,3048998,-,2-amino-3-(4-fluorophenyl)propan-1-ol
W6F,ff15ipq-19F.lib_W6F_sybyl.mol2,8021084c5a2a21ae9bbfbb45475757b18fbfc2d7133b78e92f2d336969d0535b,[NH][C@@H](C[C]1[CH]Nc2cc(F)ccc12)[C][O],,-,Compound_None,[NH][C@H]([C][O])C[C]1[CH]Nc2cc(F)ccc21,,-,Compound_None,[NH]C([C][O])C[C]1[CH]Nc2cc(F)ccc21,,-,Compound_None
CVAL,aminoct14ipq.lib_CVAL_sybyl.mol2,3151da0ca9de731ca3283c75c9097939f69ccd21d2c2f66e0d588ca32813b4e3,[NH][C@@H](C(C)C)[C]([O-])[O-],,-,Compound_None,CC(C)[C@H]([NH])[C]([O-])[O-],,-,Compound_None,CC(C)C([NH])[C]([O-])[O-],,-,Compound_None
CTRP,nab.lib_CTRP_sybyl.mol2,40034eb3b538819a0169934321e53a7272b0437d6f4e4a26eb02fcad8436f80e,[NH][C@@H](CC1=CNc2ccccc12)[C]([O-])[O-],,-,Compound_None,[NH][C@@H](Cc1c[nH]c2ccccc12)[C]([O-])[O-],,-,Compound_None,[NH]C(Cc1c[nH]c2ccccc12)[C]([O-])[O-],,-,Compound_None
ILE,amino19ipq_0.9_vac.lib_ILE_sybyl.mol2,acf6702e89fde5d44219107366b56165aef856cc4b5129bc03dee3e657a22be4,[NH][C@@H]([C@@H](C)CC)[C][O],2724027,-,"(2S,3S)-2-Amino-3-methyl-1-pentanol",CC[C@H](C)[C@H]([NH])[C][O],2724027,-,"(2S,3S)-2-Amino-3-methyl-1-pentanol",CCC(C)C([NH])[C][O],91202,-,2-Amino-3-methylpentan-1-ol
U5,RNA.lib_U5_sybyl.mol2,d6f6e4ef4bfc27d478d65025fe3125e4fef2acf85e91bca3f662e5410a4d21a8,OC[C@H]1O[C@@H](N2C=CC(=O)NC2=O)[C@@H]([C@@H]1[O])O,6029,CHEBI:16704,uridine,[O][C@H]1[C@@H](O)[C@H](n2ccc(=O)[nH]c2=O)O[C@@H]1CO,6029,CHEBI:16704,uridine,[O]C1C(CO)OC(n2ccc(=O)[nH]c2=O)C1O,1177,CHEBI:143353,40436-51-9
TYR,amino19ipq_0.9_vac.lib_TYR_sybyl.mol2,3a18bf3ea247fa34443df58c523cd698eef5449a756c4d814ba60956b50bdfca,[NH][C@@H](Cc1ccc(O)cc1)[C][O],151247,-,5034-68-4,[NH][C@H]([C][O])Cc1ccc(O)cc1,151247,-,5034-68-4,[NH]C([C][O])Cc1ccc(O)cc1,548190,-,4-(2-Amino-3-hydroxypropyl)phenol
AN,nucleic12.ROC-RNA.lib_AN_sybyl.mol2,4e445988f62963e8193b8f6cbc343fc7757f7503fa4fa9f58a91e10886b7e12e,OC[C@H]1O[C@@H](N2C=Nc3c(N)ncnc23)[C@@H]([C@@H]1O)O,60961,CHEBI:16335,adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,60961,CHEBI:16335,adenosine,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,191,CHEBI:93913,"2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol"
TPO,phosaa14SB.lib_TPO_sybyl.mol2,51cbd64539498376fa7980e4b07ddc3dc7bc3c49fda580373ff4524f93f7946c,[NH][C@@H]([C@@H](C)O[P]([O])([O])[O])[C][O],78224480,-,"[(2R,3R)-3-amino-4-hydroxybutan-2-yl]oxy-trihydroxyphosphanium",C[C@@H](O[P]([O])([O])[O])[C@H]([NH])[C][O],78224480,-,"[(2R,3R)-3-amino-4-hydroxybutan-2-yl]oxy-trihydroxyphosphanium",CC(O[P]([O])([O])[O])C([NH])[C][O],,-,Compound_None
LEU,amino19ipq_0.9_vac.lib_LEU_sybyl.mol2,d4d1e71938f098ba3f66ff7f05b6fa563e1e5969f904432ab13a327d6f3a9c3c,[NH][C@@H](CC(C)C)[C][O],111307,CHEBI:228882,L-Leucinol,CC(C)C[C@H]([NH])[C][O],111307,CHEBI:228882,L-Leucinol,CC(C)CC([NH])[C][O],79030,-,2-Amino-4-methylpentan-1-ol
NASN,all_aminont03.lib_NASN_sybyl.mol2,4f38309d27ab180e842d0e50a0f9acdb4c6d71b50baf934b4d73e625efdf950b,[NH3+][C@@H](C[C]([O])N)[C][O],,-,Compound_None,N[C]([O])C[C@H]([NH3+])[C][O],,-,Compound_None,N[C]([O])CC([NH3+])[C][O],,-,Compound_None
PE,lipid21.lib_PE_sybyl.mol2,0a42d5897597499145f2e7b2b6e45c9881a5a981242f1eb54b8719b815c8cc17,[C](=O)OC[C@H](CO[P](OCC[NH3+])([O])[O])O[C]=O,,-,Compound_None,[NH3+]CCO[P]([O])([O])OC[C@@H](CO[C]=O)O[C]=O,,-,Compound_None,[NH3+]CCO[P]([O])([O])OCC(CO[C]=O)O[C]=O,,-,Compound_None
NME,all_aminoct94ildn.lib_NME_sybyl.mol2,1c5490cb17ab140ca5ca03facdf5595e21c0b592d7344846ad5aafbbbe71523e,[NH]C,6329,CHEBI:16830,METHYLAMINE,C[NH],6329,CHEBI:16830,METHYLAMINE,C[NH],6329,CHEBI:16830,METHYLAMINE
COLT,GLYCAM_aminoct_06j_12SB.lib_COLT_sybyl.mol2,7a86502c35c50264bc09f3d138c8fc3cf4e3ccd81947d6773e2ad740ae109199,[NH][C@@H]([C@@H](C)[O])[C]([O-])[O-],,-,Compound_None,C[C@@H]([O])[C@H]([NH])[C]([O-])[O-],,-,Compound_None,CC([O])C([NH])[C]([O-])[O-],,-,Compound_None
DG5,terminal_monophosphate.lib_DG5_sybyl.mol2,8f2085d98b9f9fd13ec540f6af66a82cebe66113b948d2df2e2ec3b1416b1fe4,[P]([O])([O])(O)OC[C@H]1O[C@H](C[C@@H]1[O])N1C2=C(C(=O)NC(=N2)N)N=C1,,-,Compound_None,Nc1nc2c(ncn2[C@H]2C[C@H]([O])[C@@H](CO[P]([O])([O])O)O2)c(=O)[nH]1,,-,Compound_None,Nc1nc2c(ncn2C2CC([O])C(CO[P]([O])([O])O)O2)c(=O)[nH]1,,-,Compound_None
NTYR,nab.lib_NTYR_sybyl.mol2,413b48b013145740a43b8949fe8e97bcbfc6372f72dc88cd2e0d8cd0f360fb51,[NH3+][C@@H](Cc1ccc(O)cc1)[C][O],6951151,-,[(2S)-1-hydroxy-3-(4-hydroxyphenyl)propan-2-yl]azanium,[NH3+][C@H]([C][O])Cc1ccc(O)cc1,6951151,-,[(2S)-1-hydroxy-3-(4-hydroxyphenyl)propan-2-yl]azanium,[NH3+]C([C][O])Cc1ccc(O)cc1,78428316,-,[1-hydroxy-3-(4-hydroxyphenyl)propan-2-yl]azanium
DTN,DNA_CI.lib_DTN_sybyl.mol2,454c8beac898ff93c74f2a50cd8d7b28c64d7cd4c004518da1ce5a8e80dd1f51,OC[C@H]1O[C@@H](N2C=C(C)C(=O)NC2=O)C[C@@H]1O,5789,CHEBI:17748,thymidine,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,5789,CHEBI:17748,thymidine,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,1134,CHEBI:188725,DTXSID20936337
ILE,uni_amino03.lib_ILE_sybyl.mol2,a2025d36ed92e71a5a77540ec097ffed57cfbbc2429358941a3d6d279d48866c,[NH][C@@H]([C]([C])[C][C])[C][O],11789185,-,(2S)-2-amino-3-methylpentan-1-ol,[C][C][C]([C])[C@H]([NH])[C][O],11789185,-,(2S)-2-amino-3-methylpentan-1-ol,[C][C][C]([C])C([NH])[C][O],91202,-,2-Amino-3-methylpentan-1-ol
DAN,DNA.OL15.lib_DAN_sybyl.mol2,76b623182268ca7a21ea39a7655e8b3599c44f68495aaf7149f3fc88108bbdd7,OC[C@H]1O[C@@H](N2C=Nc3c(N)ncnc23)C[C@@H]1O,13730,CHEBI:17256,2'-deoxyadenosine,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,13730,CHEBI:17256,2'-deoxyadenosine,Nc1ncnc2c1ncn2C1CC(O)C(CO)O1,636,-,RefChem:1072483
CCYM,aminoct15ipq-vac_10.0.lib_CCYM_sybyl.mol2,a36b4a1c34c135dc8b54e9132b27c797d5a7d6564992f6d4ec9435581941b8d0,[NH][C@@H](C[S])[C]([O-])[O-],,-,Compound_None,[NH][C@@H](C[S])[C]([O-])[O-],,-,Compound_None,[NH]C(C[S])[C]([O-])[O-],,-,Compound_None
CYS,all_amino94ildn.lib_CYS_sybyl.mol2,4468b1bdbd0ae089afc5dc4ac12d96481349f39a79faaa684e617dec306b24e5,[NH][C@@H](CS)[C][O],11018820,-,125509-78-6,[NH][C@H]([C][O])CS,11018820,-,125509-78-6,[NH]C([C][O])CS,10197647,-,"1-Propanol, 2-amino-3-mercapto-"
DGN,all_nucleic94.nmr.lib_DGN_sybyl.mol2,c3ec322cb914c4b8c427c7d8d5c3194bf7cb482406616737e666a797ae400b60,OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)C[C@@H]1O,135398592,CHEBI:17172,2'-deoxyguanosine,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,135398592,CHEBI:17172,2'-deoxyguanosine,Nc1nc2c(ncn2C2CC(O)C(CO)O2)c(=O)[nH]1,135402018,-,Desoxyguanosine
NCYX,all_aminont94ildn.lib_NCYX_sybyl.mol2,ce8fdab4f52bd3e4ff00fe04edb3f73ae14fa4a18bcfac53325c41c0fe0111f8,[NH3+][C@@H](C[S])[C][O],,-,Compound_None,[NH3+][C@H]([C][O])C[S],,-,Compound_None,[NH3+]C([C][O])C[S],,-,Compound_None
DC,all_nucleic94.nmr.lib_DC_sybyl.mol2,69e0390ff217e0ee5a91ba1ba090cc48c4607f550700f30ae58c72a6b58c35b8,[P](=O)([O])OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)C[C@@H]1[O],42626896,-,DC DNA 5'OH 3'OH,Nc1ccn([C@H]2C[C@H]([O])[C@@H](CO[P]([O])=O)O2)c(=O)n1,42626896,-,DC DNA 5'OH 3'OH,Nc1ccn(C2CC([O])C(CO[P]([O])=O)O2)c(=O)n1,74828980,-,[5-(4-amino-2-oxopyrimidin-1-yl)-3-hydroxyoxolan-2-yl]methoxy-hydroxy-oxophosphanium
ACE,nab.lib_ACE_sybyl.mol2,8c3e1e2bddb43a9a0fdc3072e5f0b3d6d87234765781bf38e03633e027e88f7f,C[C][O],702,CHEBI:16236,ethanol,C[C][O],702,CHEBI:16236,ethanol,C[C][O],702,CHEBI:16236,ethanol
NHID,nab.lib_NHID_sybyl.mol2,b3ca0cf19c1600f2475b4f939e6a3d0fefd6896d86a30b7b2a540eedec0d6097,[NH3+][C@@H](C[C]1N[CH][N][CH]1)[C][O],,-,Compound_None,[NH3+][C@H]([C][O])C[C]1[CH][N][CH]N1,,-,Compound_None,[NH3+]C([C][O])C[C]1[CH][N][CH]N1,,-,Compound_None
